cohort,tests,primary_estimated_q05,fixed001_q05,median_estimated_correlation,estimated_correlation_q25,estimated_correlation_q75,identical_test_and_gene_count_sets,source_sha256
GSE136831,49,0,14,0.0714332398400409,0.0501517217266299,0.102636625289789,True,7a85c5791bbeaae8e2466c82b535bd4636fde40db38e7dd7849fde6291ac56f9
GSE135893,36,0,12,0.0684828084970617,0.0401446186807721,0.1249788238759155,True,7993843239706db80ef0227b742b74d08dbaf84fd6f90f17be8af1fb2dea3ba8
GSE300288,46,0,4,0.0390899580623314,0.017323036512448875,0.07486130478306968,True,be3cfe9796bfdf66119f6e58f7d457a65901c601166db1f2e40d89e593824c54
GSE308103,279,0,148,0.0405544712955854,0.016836182011431347,0.07923558053313885,True,067388109a7839e63cb191935ebb18742099d292058c6aef3e96ad7a8d7e7ad0
