library,floor_only_barcodes,median_counts_extra,datp_like_among_extra,datp_fraction_D2b,datp_fraction_if_added,abs_change
PBS_AT2_Tomato,2156,1218.0,0,0.003055229142185664,0.0020277647792856027,0.0010274643629000612
Day14_AT2_Tomato,844,1108.0,7,0.18246380770281345,0.14983351831298558,0.03263028938982787
Day28_AT2_Tomato,1257,1134.0,1,0.0629746835443038,0.04527960153950645,0.01769508200479735
