library,AT1_n,DATP_n,cAT2_n,hAT2_n,AT1_frac,DATP_frac,cAT2_frac,hAT2_frac,cells_in_window
PBS_AT2_Tomato,35,7,0,2681,0.012853470437017995,0.002570694087403599,0.0,0.9845758354755784,2723
Day14_AT2_Tomato,39,162,27,1151,0.028281363306744016,0.11747643219724438,0.019579405366207395,0.8346627991298042,1379
Day28_AT2_Tomato,112,44,4,1229,0.08063354931605471,0.03167746580273578,0.0028797696184305254,0.884809215262779,1389
