well,cell_set,cells,B_atac,null_mean,null_sd,null_pairs,reading,why
wildtype_PBS,AT2,5748,1146.0,1.0438,0.2426,268.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
wildtype_PBS,transitional,48,,,,,not computable,"U1, fewer than 500 cells"
wildtype_SeV,AT2,4446,837.0,1.0195,0.2582,246.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
wildtype_SeV,transitional,284,,,,,not computable,"U1, fewer than 500 cells"
AP1mut_PBS,AT2,10822,945.0,1.0325,0.1438,228.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
AP1mut_PBS,transitional,46,,,,,not computable,"U1, fewer than 500 cells"
AP1mut_SeV,AT2,8042,1052.0,1.0318,0.1779,245.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
AP1mut_SeV,transitional,195,,,,,not computable,"U1, fewer than 500 cells"
7wk_control,AT2,5799,2200.0,1.0203,0.1002,295.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
7wk_control,transitional,131,,,,,not computable,"U1, fewer than 500 cells"
7wk_Cebpa_mutant,AT2,8281,2060.0,1.0374,0.0876,294.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
7wk_Cebpa_mutant,transitional,344,,,,,not computable,"U1, fewer than 500 cells"
SeV_control,AT2,8624,1939.0,1.0314,0.1131,273.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
SeV_control,transitional,121,,,,,not computable,"U1, fewer than 500 cells"
SeV_Cebpa_mutant,AT2,7364,2964.0,1.0253,0.0937,298.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
SeV_Cebpa_mutant,transitional,773,5967.0,1.0131,0.0919,299.0,unreadable,"U4, the physical control Krt8-Krt18 did not clear"
