cluster,genes
0,"Calcrl, Cdh5, Ramp2"
1,"Scgb1a1, Pigr, Cldn10"
2,"Vegfa, Pmp22, Spock2"
3,"Col4a4, Akap5, Lmo7"
4,"Ifi27l2a, Isg15, Ly6e"
5,"Ccdc153, Tmem212, Fam183b"
6,"Pltp, Clic6, Dnah12"
7,"Hopx, Tmsb4x, S100a6"
8,"Cd52, Laptm5, Ptprc"
9,"Lamp3, Slc34a2, Cxcl15"
10,"Hc, Malat1, Sftpc"
11,"Ctsh, Slc12a2, Cd74"
12,"Clu, Gapdh, Tubb5"
13,"Fxyd3, Aqp3, Cyp2f2"
14,"Bgn, Sparcl1, Col3a1"
15,"Tpt1, Rack1, Fau"
