subcluster,n_cells,n_labelled,top_label,purity,label_entropy,entropy_flag,n_animals,max_round_fraction,dominant_round,pct_cells_from_6dpi
0,411,411,iMON,0.859,0.407,low,10,0.749,2022-07-06,92.0
1,605,605,iMON,0.858,0.53,low,16,0.767,2022-07-06,22.0
2,329,329,cDC2,0.641,1.073,HIGH,16,0.754,2022-07-06,18.5
3,1068,1068,aMAC,0.997,0.019,low,16,0.793,2022-07-06,2.1
4,209,209,aMAC,0.617,0.691,HIGH,16,0.828,2022-07-06,6.7
5,1224,1224,aMAC,0.897,0.331,low,14,0.757,2022-07-06,0.0
6,760,760,Neutrophil,1.0,-0.0,low,16,0.546,2022-07-06,13.0
7,503,502,pMON,0.886,0.416,low,16,0.742,2022-07-06,6.8
8,488,488,cMON,0.967,0.173,low,16,0.762,2022-07-06,1.2
9,160,160,aMAC,1.0,-0.0,low,15,0.769,2022-07-06,0.6
10,494,494,iMAC,0.949,0.209,low,16,0.719,2022-07-06,0.6
11,234,234,cDC1,0.893,0.531,low,16,0.722,2022-07-06,3.4
12,72,65,cDC2,0.292,1.733,HIGH,15,0.681,2022-07-06,1.4
13,113,112,aMAC,0.259,1.914,HIGH,15,0.752,2022-07-06,3.5
14,49,49,cDC2,0.98,0.1,low,14,0.735,2022-07-06,22.4
