ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,ITGB1,ITGB1,0.6111111111111112,0.10670268993163312,Macrophage,Fibroblast,0.006341296338083751,051I,IPF,consensus
CXCL12,CXCL12,0.4097222222222222,0.03908317824051377,7.8763456,CD4,CD4,0.5540540540540541,0.07979967047932801,Fibroblast,Macrophage_Alveolar,0.006198982410287152,051I,IPF,consensus
FGF7,FGF7,0.589041095890411,0.09455938038722245,7.8763456,NRP1,NRP1,0.418,0.03260585212508882,Myofibroblast,Macrophage,0.006128587160720564,051I,IPF,consensus
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,ITGB1,ITGB1,0.639269406392694,0.1030132846156806,Macrophage,Myofibroblast,0.0061233791306561335,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,ITGB5,ITGB5,0.4027777777777778,0.03196430163517172,Macrophage_Alveolar,Fibroblast,0.006105253855504329,051I,IPF,consensus
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,ITGAV,ITGAV,0.6438356164383562,0.10233238853606941,Macrophage,Myofibroblast,0.006083151097334916,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,TGFBR3,TGFBR3,0.5296803652968036,0.06449410743995743,Macrophage,Myofibroblast,0.005083976262941595,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,SDC2,SDC2,0.4337899543378995,0.025250001443009595,Macrophage_Alveolar,Myofibroblast,0.004829000278233559,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,ITGB5,ITGB5,0.5388127853881278,0.05718231693186415,Macrophage,Myofibroblast,0.00451019807766866,051I,IPF,consensus
HBEGF,HBEGF,0.5405405405405406,0.08494391383225164,7.8763456,CD9,CD9,0.3835616438356164,0.02626344503915079,Macrophage_Alveolar,Myofibroblast,0.004442020043643021,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,ENG,ENG,0.4018264840182648,0.022380809875191532,Macrophage_Alveolar,Myofibroblast,0.00428262447907259,051I,IPF,consensus
VEGFA,VEGFA,0.3424657534246575,0.019764197620278923,7.8763456,NRP1,NRP1,0.6351351351351351,0.09821286253843431,Myofibroblast,Macrophage_Alveolar,0.0038671836798328386,051I,IPF,consensus
TGFB1,TGFB1,0.3835616438356164,0.021115773585610453,7.8763456,ENG,ENG,0.581081081081081,0.09109863051753708,Myofibroblast,Macrophage_Alveolar,0.003832491611807358,051I,IPF,consensus
CXCL12,CXCL12,0.3378995433789954,0.021629704894953194,7.8763456,CD4,CD4,0.5540540540540541,0.07979967047932801,Myofibroblast,Macrophage_Alveolar,0.00344021074080573,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,CAV1,CAV1,0.4652777777777778,0.04345708368225565,Macrophage,Fibroblast,0.003431348682189436,051I,IPF,consensus
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,ITGAV,ITGAV,0.4930555555555556,0.05165243685410159,Macrophage,Fibroblast,0.0030797585487354557,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,SIRPA,SIRPA,0.4864864864864865,0.03723106742305082,Fibroblast,Macrophage_Alveolar,0.002942729079949809,051I,IPF,consensus
CXCL12,CXCL12,0.4097222222222222,0.03908317824051377,7.8763456,CXCR4,CXCR4,0.448,0.03656663076693045,Fibroblast,Macrophage,0.0028501338145154645,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,ITGB1,ITGB1,0.448,0.034986485436224735,Fibroblast,Macrophage,0.0027658088778377593,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,TGFBR1,TGFBR1_TGFBR2,0.2569444444444444,0.014348776278877151,Macrophage_Alveolar,Fibroblast,0.0027499010304210367,051I,IPF,consensus
CXCL12,CXCL12,0.4097222222222222,0.03908317824051377,7.8763456,ITGB1,ITGB1,0.448,0.034986485436224735,Fibroblast,Macrophage,0.0027273075444295513,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,SIRPA,SIRPA,0.464,0.03447980100293735,Fibroblast,Macrophage,0.002725862816287109,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,EGFR,EGFR,0.3287671232876712,0.01410433113738535,Macrophage_Alveolar,Myofibroblast,0.002703180470028068,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,VASN,VASN,0.4166666666666667,0.033475606846042893,Macrophage,Fibroblast,0.0026453013196953137,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,ITGAV,ITGAV,0.408,0.03340646402416714,Fibroblast,Macrophage,0.002641232347484439,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,CAV1,CAV1,0.4611872146118721,0.03341975453566404,Macrophage,Myofibroblast,0.002640899427648923,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,ACVR1,ACVR1_TGFBR2,0.3242009132420091,0.013693143522436613,Macrophage_Alveolar,Myofibroblast,0.0026245807079847226,051I,IPF,consensus
CXCL12,CXCL12,0.4097222222222222,0.03908317824051377,7.8763456,ITGAV,ITGAV,0.408,0.03340646402416714,Fibroblast,Macrophage,0.002604460647669032,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,NRP1,NRP1,0.418,0.03260585212508882,Fibroblast,Macrophage,0.00257809635092152,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,ITGB5,ITGB5,0.4027777777777778,0.03196430163517172,Macrophage,Fibroblast,0.0025261770155126954,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,NRP2,NRP2,0.38,0.02994468969726105,Fibroblast,Macrophage,0.002368180484782207,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,ITGB1,ITGB1,0.44594594594594594,0.029351163359153942,Fibroblast,Macrophage_Alveolar,0.0023213503233237526,051I,IPF,consensus
CXCL12,CXCL12,0.4097222222222222,0.03908317824051377,7.8763456,ITGB1,ITGB1,0.44594594594594594,0.029351163359153942,Fibroblast,Macrophage_Alveolar,0.002289021856083141,051I,IPF,consensus
FGF7,FGF7,0.4027777777777778,0.03456573338271762,7.8763456,NRP1,NRP1,0.418,0.03260585212508882,Fibroblast,Macrophage,0.0022490208861945613,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,ITGAV,ITGAV,0.4189189189189189,0.027485425747145187,Fibroblast,Macrophage_Alveolar,0.0021741120551115253,051I,IPF,consensus
CXCL12,CXCL12,0.4097222222222222,0.03908317824051377,7.8763456,ITGAV,ITGAV,0.4189189189189189,0.027485425747145187,Fibroblast,Macrophage_Alveolar,0.0021438297069493197,051I,IPF,consensus
CXCL12,CXCL12,0.4097222222222222,0.03908317824051377,7.8763456,SDC4,SDC4,0.356,0.027123756402362975,Fibroblast,Macrophage,0.0021156796217178444,051I,IPF,consensus
HBEGF,HBEGF,0.5405405405405406,0.08494391383225164,7.8763456,CD82,CD82,0.2876712328767123,0.011910200121390269,Macrophage_Alveolar,Myofibroblast,0.0020193121534479927,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,SDC2,SDC2,0.4337899543378995,0.025250001443009595,Macrophage,Myofibroblast,0.0019965973079046424,051I,IPF,consensus
