ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
IL1B,IL1B,0.562,0.08525678735580766,7.6103044,IL1RAP,IL1R1_IL1RAP,0.15789473684210525,0.0,Macrophage_Alveolar,Fibroblast,0.0,1372C,control,cellchatdb
TGFB1,TGFB1,0.656,0.08981185310452333,7.6103044,ACVR1B,ACVR1B_TGFBR2,0.15263157894736842,0.0,Macrophage_Alveolar,Fibroblast,0.0,1372C,control,cellchatdb
VEGFA,VEGFA,0.48947368421052634,0.04334805331188085,7.6103044,FLT1,FLT1,0.162,0.0,Fibroblast,Macrophage,0.0,1372C,control,cellchatdb
TGFB1,TGFB1,0.32105263157894737,0.02421375270487125,7.6103044,TGFBR1,TGFBR1_TGFBR2,0.148,0.0,Fibroblast,Macrophage,0.0,1372C,control,cellchatdb
FGF7,FGF7,0.38421052631578945,0.03758959359332148,7.6103044,FGFR1,FGFR1,0.174,0.0,Fibroblast,Macrophage,0.0,1372C,control,cellchatdb
TGFB1,TGFB1,0.32105263157894737,0.02421375270487125,7.6103044,ACVR1B,ACVR1B_TGFBR2,0.162,0.0,Fibroblast,Macrophage,0.0,1372C,control,cellchatdb
TGFB1,TGFB1,0.32105263157894737,0.02421375270487125,7.6103044,ACVR1,ACVR1_TGFBR1_TGFBR2,0.114,0.0,Fibroblast,Macrophage,0.0,1372C,control,cellchatdb
TGFB1,TGFB1,0.32105263157894737,0.02421375270487125,7.6103044,TGFBR1,TGFBR1_TGFBR2,0.164,0.0,Fibroblast,Macrophage_Alveolar,0.0,1372C,control,cellchatdb
TGFB1,TGFB1,0.32105263157894737,0.02421375270487125,7.6103044,ACVR1B,ACVR1B_TGFBR2,0.226,0.0,Fibroblast,Macrophage_Alveolar,0.0,1372C,control,cellchatdb
TGFB1,TGFB1,0.32105263157894737,0.02421375270487125,7.6103044,ACVR1,ACVR1_TGFBR1_TGFBR2,0.186,0.0,Fibroblast,Macrophage_Alveolar,0.0,1372C,control,cellchatdb
