ligand,receptor,family
FGF10,FGFR1,exploratory
FGF10,FGFR2,exploratory
FGF10,FGFRL1,exploratory
TGFB1,ITGAV_ITGB6,core
TGFB1,ACVR1B_TGFBR2,core
TGFB1,TGFBR1_TGFBR2,core
TGFB1,ACVR1_TGFBR1_TGFBR2,core
TGFB1,ACVR1_TGFBR2,core
TGFB1,ACVR1C_TGFBR2,core
TGFB1,EGFR,core
TGFB1,ITGB3,core
TGFB1,ITGB1,core
TGFB1,ITGB5,core
TGFB1,ITGB8,core
TGFB1,SDC2,core
TGFB1,ACVRL1,core
TGFB1,CXCR4,core
TGFB1,TGFBR3,core
TGFB1,VASN,core
IL1A,IL1R1_IL1RAP,core
IL1A,IL1R2_IL1RAP,core
IL1B,IL1R1_IL1RAP,core
IL1B,IL1R2_IL1RAP,core
IL1B,ADRB2,core
IL1B,SIGIRR,core
CXCL1,ADRA2A,exploratory
CXCL1,CXCR1,exploratory
CXCL1,CXCR2,exploratory
CXCL1,MTNR1A,exploratory
CXCL1,GRM7,exploratory
CXCL1,ACKR1,exploratory
CCL2,CCR1,exploratory
CCL2,CCR2,exploratory
CCL2,CCR10,exploratory
CCL2,CCR3,exploratory
CCL2,CCR4,exploratory
CCL2,CCR5,exploratory
CCL2,ACKR1,exploratory
CCL2,ACKR4,exploratory
AREG,EGFR_ERBB2,core
AREG,ERBB3,core
VEGFA,FLT1_KDR,exploratory
VEGFA,NRP1,exploratory
VEGFA,NRP2,exploratory
VEGFA,EGFR,exploratory
VEGFA,ITGB3,exploratory
VEGFA,ITGB1,exploratory
VEGFA,ITGAV,exploratory
VEGFA,RET,exploratory
VEGFA,EPHB2,exploratory
VEGFA,GPC1,exploratory
VEGFA,SIRPA,exploratory
VEGFA,TYRO3,exploratory
VEGFA,ITGA9,exploratory
CXCL2,CXCR1,exploratory
CXCL2,CXCR2,exploratory
CXCL2,XCR1,exploratory
CXCL2,MTNR1A,exploratory
CXCL2,GRM7,exploratory
CXCL2,ACKR1,exploratory
FGF7,NRP1,exploratory
FGF7,FGFR1,exploratory
FGF7,FGFR2,exploratory
FGF7,FGFR4,exploratory
FGF7,FGFR3,exploratory
CXCL12,CD4,exploratory
CXCL12,ITGB3,exploratory
CXCL12,ITGB1,exploratory
CXCL12,ITGAV,exploratory
CXCL12,ITGA5,exploratory
CXCL12,ITGA4,exploratory
CXCL12,ACKR3,exploratory
CXCL12,AVPR1A,exploratory
CXCL12,MTNR1A,exploratory
CXCL12,CXCR3,exploratory
CXCL12,CCR4,exploratory
CXCL12,CXCR4,exploratory
CXCL12,GRM7,exploratory
HBEGF,EGFR_ERBB2,core
HBEGF,ERBB2_ERBB4,core
HBEGF,CD44,core
HBEGF,PRLR,core
CCL2,ACKR2,exploratory
CXCL2,DPP4,exploratory
CXCL12,DPP4,exploratory
TGFB1,ENG,core
HBEGF,CD9,core
HBEGF,CD82,core
TGFB1,CAV1,core
CXCL12,SDC4,exploratory
VEGFA,GRIN2B,exploratory
VEGFA,CD44,exploratory
TGFB1,LPP,core
