contrast,compartment,collection,set,size,nes,fdr,matched_p,matched_nes,matched_draws,clears_both
PC,myeloid,hallmark,HALLMARK_G2M_CHECKPOINT,191,0.40427457247059195,1.0,1.0,0.377874377874126,500,False
PC,capillary,hallmark,HALLMARK_G2M_CHECKPOINT,174,1.1520801142075774,0.2498721141675099,0.128,1.1597015877302972,500,False
