compartment,set,nes,fdr,clears,required
myeloid,HALLMARK_G2M_CHECKPOINT,0.40427457247059195,1.0,False,True
capillary,HALLMARK_G2M_CHECKPOINT,1.1520801142075774,0.2498721141675099,False,False
