set,es,nes,p_perm,fdr,leading_edge,size
HALLMARK_IL2_STAT5_SIGNALING,0.35144559460547065,1.4387238389300014,0.007172131147540984,0.047230102702821575,Ctsz;Hopx;Il3ra;Ckap4;Ecm1;P2rx4;Prnp;Tnfrsf1b;Hk2;Gucy1b1;Gbp3;Pnp;Mapkapk2;Ifitm3;Pdcd2l;Gpr65;Flt3l;Csf1;Itgav;Fgl2;Bcl2l1;Capg;Itga6;Socs1;Rnh1;Tnfsf10;Nfkbiz;Bcl2;Il10ra;Irf8;Il4ra;Car2;Casp3;Rhoh;Smpdl3a;Myo1c;Gadd45b;Cd86;Cxcl10;Abcb1a;Ndrg1;Ptrh2;Sell;Cst7;Arl4a;Cyfip1;Syt11;Map3k8;Igf2r;Eef1akmt1;Spp1;Phtf2;Spry4;Col6a1;Mxd1;Pim1;Ncoa3;Furin,172
HALLMARK_COAGULATION,0.37047878209283747,1.4322226970226155,0.02583423035522067,0.04728013459127796,Fbn1;Ctsb;Mmp14;Gng12;Ctsh;C3;Ctsl;Cpq;Cfb;P2ry1;Lgmn;Thbs1;Mmp2;F10;Sparc;Adam9;Rabif;Ctse;Iscu;Lamp2;C2;Htra1;Sh2b2;C1s1;Timp3;Prss23;Plau;C1qa;Gnb2,89
HALLMARK_BILE_ACID_METABOLISM,-0.29100532712401184,-1.416584956425396,0.01098901098901099,0.05610654576367243,Sult2b1;Pnpla8;Abca5;Nudt12;Atxn1;Rxra;Dhcr24;Abca9;Scp2;Nr3c2;Slc22a18;Bcar3;Pxmp2;Idh1;Abcd2;Cat;Cyp8b1;Pecr;Abcd3;Abca2;Pex11g;Bmp6;Slc29a1;Hsd17b4;Pex6,75
HALLMARK_MYC_TARGETS_V1,0.3282286500685026,1.351495377644488,0.02349336057201226,0.10110645828563,Psmb2;Ssbp1;Psmd8;Vdac3;Eif4h;Snrpb2;Snrpd2;Psma2;Acp1;Cyc1;Pwp1;Pgk1;Psma7;Psma4;Eif4e;Psmc6;Psmc4;Mrps18b;Psmd3;Slc25a3;Eif3d;Eif2s1;Ppia;Pole3;Ruvbl2;Mrpl9;Psmb3;Ldha;Rps2;Srsf2;Cdk4;Cops5;Psma1;Bub3;Psmd14;Rpl18;Srsf7;Hnrnpa1;Cct3;Rps10;Srsf3;Eif2s2;Snrpd3;Got2;Rpl6;Sf3a1;Mrpl23;Aimp2;Rplp0;Eif4a1;Prdx4;Ran;Rps6;Cct2;Prpf31;Rnps1;Uba2;Snrpg;Snrpd1;Ranbp1;Vdac1;Hnrnpd;Psma6;Phb2,186
HALLMARK_MTORC1_SIGNALING,0.3259490826200292,1.3318074628229875,0.036231884057971016,0.11402505626296613,Ctsc;Pfkl;Glrx;Ccnf;Skap2;Eno1b;Pgm1;Ddit4;Gpi1;Gla;Slc2a1;Lgmn;Hk2;Atp6v1d;Pnp;Tpi1;Psmc2;Pgk1;Psma4;Psmc6;Nampt;Psmc4;Fgl2;Gbe1;Ppa1;Trib3;Ifi30;Nupr1;Coro1a;Tomm40;Psmd12;Psma3;Ppia;Ddit3;Ddx39a;Ldha;Nmt1;Nufip1;Cops5;Aurka;Psmd14;Ufm1;Edem1;M6pr;Eif2s2;Ebp;Psmg1;Abcf2;Mthfd2;Tbk1;Psmd13;Actr3;Uchl5;Ube2d3;Arpc5l;Nfyc;Psat1;Pno1;Insig1;Dapp1;Hmbs;Tubg1;Ppp1r15a;Eef1e1;Serp1;Dhfr;Nfkbib;Cxcr4;Rab1a,182
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.34545989311997927,1.3270368656581177,0.0511727078891258,0.11307959150366514,Il2rg;Cfl1;Mknk1;Csnk2b;Slc2a1;Pin1;Hras;Eif4e;Stat2;Trib3;Grb2;Vav3;Arf1;Sfn;Ddit3;Arpc3;Tnfrsf1a;Traf2;Cdk4;Ppp1ca;Mapk9;Atf1;Nod1;Myd88;Tbk1;Ube2n;Ap2m1;Actr3;Ube2d3;Arhgdia;Irak4;Akt1;Dapp1;Nfkbib;Cxcr4;Grk2;Prkcb;Ralb;Pfn1;Tiam1,90
HALLMARK_APOPTOSIS,0.32592729024651174,1.3136538846367005,0.04672897196261682,0.12033383915022762,Tap1;Sat1;Ier3;H1f0;Bid;Vdac2;Lgals3;Ifitm3;Casp1;Bax;Gadd45a;Casp6;Mmp2;Cd38;Irf1;Tspo;Tnf;Bcl2l1;Sod2;Hmgb2;Cd69;Pdgfrb;Tnfsf10;Gch1;Isg20;Igfbp6;Ddit3;Psen1;Smad7;Casp3;Cflar;Timp3;Casp4;Gadd45b;Jun;Ebp;Btg3;Igf2r;Gpx3;Casp8;Hmox1;Il1b;Hgf;Diablo;Fas;Birc3,141
HALLMARK_ANGIOGENESIS,0.3988911945186733,1.2591813929618962,0.18295739348370926,0.18542430497302834,Lrpap1;Itgav;Vegfa;Col3a1;S100a4;Pdgfa;Postn;Vcan;Col5a2;Pglyrp1;Spp1,27
HALLMARK_XENOBIOTIC_METABOLISM,0.3102901515979113,1.2518914712352054,0.09205020920502092,0.18806791941317244,Id2;Cyfip2;Cfb;Dcxr;Papss2;Acp2;Ddt;Sar1b;Acp1;Casp6;Arg1;Psmb10;F10;Abcc3;Cndp2;Upp1;Gstt2;Tpst1;Adh5;Apoe;Gch1;Bphl;Tnfrsf1a;Xdh;Ninj1;Aco2;Irf8;Cdo1;Car2;Blvrb;Nmt1;Bcar1;Asl;Kynu;Ptges;Hes6;Slc35b1;Hmox1;Smox;Ndrg2;Sertad1;Csad;Fas,139
HALLMARK_KRAS_SIGNALING_DN,-0.25042587688948315,-1.2416220572631098,0.0970873786407767,0.16104656654387456,Klk8;Prkn;Cd207;Synpo;Gprc5c;Ryr1;Tg;Cpeb3;Cacna1f;Kmt2d;Il12b;Slc16a7;Thrb;Krt1;Zbtb16;Snn;Sgk1;Nr4a2;Tgfb2;Mfsd6;Selenop;Camk1d;Coq8a;Copz2;Pdk2;Nr6a1;Ifng,62
