day,median_icap_pct,animals
0.0,1.997,2
6.0,0.522,2
11.0,12.504,2
19.0,29.1535,2
25.0,37.540499999999994,2
42.0,26.2825,8
90.0,33.0335,4
366.0,21.654,3
