row_0,0,1,2,3,4,5,6,7
0,796,39,1,5,3,0,13,1
1,2,1,1132,0,6,300,2,0
2,39,2,11,0,714,11,0,0
3,13,437,0,1320,0,0,32,0
4,1,0,10,0,112,318,7,0
5,42,35,0,70,3,37,688,0
6,0,1,0,0,0,0,0,77
