leiden_cluster,n_cells,median_pct_mt,median_total_counts,median_n_genes,mean_doublet_score,n_samples_present,max_single_sample_fraction,dominant_sample
0,4130,2.4974542,3854.5,1782.5,0.03144744,33,0.5956416464891041,EEM-scRNA-162
1,31808,3.4556904,5220.0,2215.0,0.036964633,33,0.0707683601609658,EEM-scRNA-250
10,5763,3.4693313,15305.0,3464.0,0.03563175,33,0.05622071837584591,EEM-scRNA-251
11,16,0.20680228,10157.5,3302.0,0.08090863,3,0.875,EEM-scRNA-170
12,6357,0.5208334,1212.0,618.0,0.025382694,33,0.09548529180431022,EEM-scRNA-162
13,5543,2.8195488,3917.0,1515.0,0.020227356,33,0.06711167237957785,EEM-scRNA-167
14,24886,2.5641026,10083.0,3195.0,0.029180994,33,0.0651772080687937,EEM-scRNA-239
15,6440,2.1533673,8606.5,2866.0,0.027138561,33,0.09083850931677019,EEM-scRNA-237
16,4284,2.6612315,5613.0,2141.0,0.027554616,33,0.08683473389355742,EEM-scRNA-310
17,5679,2.4594371,14257.0,3618.0,0.02985085,33,0.07272407113928508,EEM-scRNA-180
18,1674,3.3946688,13960.5,4397.0,0.0473572,33,0.08004778972520908,EEM-scRNA-311
19,1612,3.07392,10696.5,3123.5,0.034300234,31,0.23076923076923078,EEM-scRNA-126
2,1047,1.9693607,19524.0,4995.0,0.051444784,33,0.17000955109837632,EEM-scRNA-116
20,2364,2.9337482,5409.0,2184.0,0.025444759,33,0.09306260575296109,EEM-scRNA-118
21,11006,2.7981348,7827.0,2948.0,0.033987183,33,0.07377793930583318,EEM-scRNA-181
22,5152,2.998038,5044.5,2126.5,0.032280717,33,0.060364906832298136,EEM-scRNA-166
23,2912,2.9635406,1867.5,1095.5,0.041953985,12,0.7822802197802198,EEM-scRNA-289
24,1500,1.1498976,2503.5,934.0,0.03473993,33,0.06533333333333333,EEM-scRNA-239
25,1367,2.9084783,6023.0,2299.0,0.036368553,33,0.07095830285296269,EEM-scRNA-237
26,1120,2.67829,13394.0,3835.0,0.04965155,32,0.06428571428571428,EEM-scRNA-116
27,54,5.027048,1808.0,612.0,0.023167117,23,0.1111111111111111,EEM-scRNA-167
28,176,1.6804827,3364.5,1161.0,0.078097984,26,0.1534090909090909,EEM-scRNA-167
3,14467,3.1652617,5342.0,2182.0,0.033349715,33,0.06774037464574549,EEM-scRNA-237
4,5728,3.6821704,855.0,517.0,0.021644514,33,0.10212988826815643,EEM-scRNA-158
5,6462,1.7388996,8009.5,2405.0,0.039215807,33,0.10817084493964717,EEM-scRNA-162
6,3301,3.4188037,3455.0,1328.0,0.01824053,33,0.08239927294759164,EEM-scRNA-172
7,2038,2.5681047,21099.0,5286.5,0.07236218,33,0.09813542688910697,EEM-scRNA-239
8,1584,3.3910737,8320.0,2822.0,0.03473177,33,0.052398989898989896,EEM-scRNA-166
9,3705,3.1480386,8605.0,3016.0,0.033477757,33,0.060458839406207825,EEM-scRNA-238
