sample,min_genes,max_genes,min_counts,max_counts,max_pct_mt,max_pct_top20,n_mads_counts,n_mads_genes,n_mads_mt,rationale
DD046Q,200,102303,500,1101940,14.5807,43.3498,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,1101940]; log1p(genes) median+/-5.0MAD -> [200,102303] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=14.58 bracketed to [5.0,20.0] -> 14.58; pct_top20 median+5MAD -> 43.35"
DD047Q,200,31251,500,214072,15.3825,50.042,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,214072]; log1p(genes) median+/-5.0MAD -> [200,31251] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=15.38 bracketed to [5.0,20.0] -> 15.38; pct_top20 median+5MAD -> 50.04"
DD073R,200,33071,500,229293,14.7997,46.0733,5.0,5.0,3.0,"log1p(counts) median+/-5.0MAD -> [500,229293]; log1p(genes) median+/-5.0MAD -> [200,33071] (lower bounds floored at 500 counts / 200 genes); pct_mt median+3.0MAD=14.80 bracketed to [5.0,20.0] -> 14.80; pct_top20 median+5MAD -> 46.07"
