"compartment","label","genes","max_q_difference"
"AT2","ATII",8246,4.9960036108132e-16
"fibroblasts","__broad__",12501,5.55111512312578e-16
"fibroblasts","Fibroblast",10087,5.55111512312578e-16
"macrophages","__broad__",20384,5.55111512312578e-16
"macrophages","Macrophage",17339,5.55111512312578e-16
"macrophages","Macrophage_Alveolar",15952,5.55111512312578e-16
