"compartment","label","direction","gene"
"AT2","ATII","up","DDX3Y"
"AT2","ATII","up","EGFEM1P"
"AT2","ATII","up","HS6ST3"
"AT2","ATII","up","TIMP3"
"AT2","ATII","up","TXLNGY"
"AT2","ATII","up","USP9Y"
"fibroblasts","__broad__","up","A2M"
"fibroblasts","__broad__","up","ABHD2"
"fibroblasts","__broad__","up","ABRACL"
"fibroblasts","__broad__","up","ACTG1"
"fibroblasts","__broad__","up","ACTN1"
"fibroblasts","__broad__","up","ADAM12"
"fibroblasts","__broad__","up","ADAMTS14"
"fibroblasts","__broad__","up","ADAMTS16"
"fibroblasts","__broad__","up","AIG1"
"fibroblasts","__broad__","up","ALDH18A1"
"fibroblasts","__broad__","up","ANKH"
"fibroblasts","__broad__","up","ANKRD10"
"fibroblasts","__broad__","up","APBB2"
"fibroblasts","__broad__","up","APOE"
"fibroblasts","__broad__","up","ARHGEF26"
"fibroblasts","__broad__","up","ARHGEF9"
"fibroblasts","__broad__","up","ARL15"
"fibroblasts","__broad__","up","ASAP1"
"fibroblasts","__broad__","up","ASPN"
"fibroblasts","__broad__","up","ASXL2"
"fibroblasts","__broad__","up","BGN"
"fibroblasts","__broad__","up","BHLHE22"
"fibroblasts","__broad__","up","BMP5"
"fibroblasts","__broad__","up","C1QTNF3-AMACR"
"fibroblasts","__broad__","up","C1QTNF5"
"fibroblasts","__broad__","up","CAB39"
"fibroblasts","__broad__","up","CACNA1C"
"fibroblasts","__broad__","up","CALM1"
"fibroblasts","__broad__","up","CAMK2A"
"fibroblasts","__broad__","up","CAPZB"
"fibroblasts","__broad__","up","CASK"
"fibroblasts","__broad__","up","CAV2"
"fibroblasts","__broad__","up","CCDC14"
"fibroblasts","__broad__","up","CD2AP"
"fibroblasts","__broad__","up","CDH11"
"fibroblasts","__broad__","up","CDK14"
"fibroblasts","__broad__","up","CDK6"
"fibroblasts","__broad__","up","CDKL5"
"fibroblasts","__broad__","up","CERCAM"
"fibroblasts","__broad__","up","CERS6"
"fibroblasts","__broad__","up","CFH"
"fibroblasts","__broad__","up","CFI"
"fibroblasts","__broad__","up","CHN1"
"fibroblasts","__broad__","up","CHPF"
"fibroblasts","__broad__","up","CHSY3"
"fibroblasts","__broad__","up","CLEC11A"
"fibroblasts","__broad__","up","CLSTN1"
"fibroblasts","__broad__","up","CMTM3"
"fibroblasts","__broad__","up","COL10A1"
"fibroblasts","__broad__","up","COL14A1"
"fibroblasts","__broad__","up","COL15A1"
"fibroblasts","__broad__","up","COL18A1"
"fibroblasts","__broad__","up","COL1A1"
"fibroblasts","__broad__","up","COL1A2"
"fibroblasts","__broad__","up","COL3A1"
"fibroblasts","__broad__","up","COL5A1"
"fibroblasts","__broad__","up","COL5A2"
"fibroblasts","__broad__","up","COL6A3"
"fibroblasts","__broad__","up","COL8A1"
"fibroblasts","__broad__","up","COPZ2"
"fibroblasts","__broad__","up","CRABP2"
"fibroblasts","__broad__","up","CRIP2"
"fibroblasts","__broad__","up","CRISPLD1"
"fibroblasts","__broad__","up","CSGALNACT2"
"fibroblasts","__broad__","up","CSRP1"
"fibroblasts","__broad__","up","CTHRC1"
"fibroblasts","__broad__","up","CXCL12"
"fibroblasts","__broad__","up","CYP7B1"
"fibroblasts","__broad__","up","DCBLD1"
"fibroblasts","__broad__","up","DDAH1"
"fibroblasts","__broad__","up","DENR"
"fibroblasts","__broad__","up","DGKH"
"fibroblasts","__broad__","up","DKK3"
"fibroblasts","__broad__","up","DNAH14"
"fibroblasts","__broad__","up","DOCK10"
"fibroblasts","__broad__","up","DTNA"
"fibroblasts","__broad__","up","EDIL3"
"fibroblasts","__broad__","up","EFEMP2"
"fibroblasts","__broad__","up","EMILIN1"
"fibroblasts","__broad__","up","ENAH"
"fibroblasts","__broad__","up","ENOX1"
"fibroblasts","__broad__","up","ENPP2"
"fibroblasts","__broad__","up","ENTPD1"
"fibroblasts","__broad__","up","ENTPD1-AS1"
"fibroblasts","__broad__","up","EPSTI1"
"fibroblasts","__broad__","up","EXTL2"
"fibroblasts","__broad__","up","EZR"
"fibroblasts","__broad__","up","F2R"
"fibroblasts","__broad__","up","FAM155A"
"fibroblasts","__broad__","up","FAP"
"fibroblasts","__broad__","up","FARS2"
"fibroblasts","__broad__","up","FBLIM1"
"fibroblasts","__broad__","up","FHL2"
"fibroblasts","__broad__","up","FHL3"
"fibroblasts","__broad__","up","FILIP1L"
"fibroblasts","__broad__","up","FMNL3"
"fibroblasts","__broad__","up","FN1"
"fibroblasts","__broad__","up","FRMD4B"
"fibroblasts","__broad__","up","FRS2"
"fibroblasts","__broad__","up","FRY"
"fibroblasts","__broad__","up","GOLGA5"
"fibroblasts","__broad__","up","GOLIM4"
"fibroblasts","__broad__","up","GOLM1"
"fibroblasts","__broad__","up","GUCY1A1"
"fibroblasts","__broad__","up","GUCY1B1"
"fibroblasts","__broad__","up","HACD3"
"fibroblasts","__broad__","up","HCFC1R1"
"fibroblasts","__broad__","up","HECTD2"
"fibroblasts","__broad__","up","HEPH"
"fibroblasts","__broad__","up","HIBCH"
"fibroblasts","__broad__","up","HMCN1"
"fibroblasts","__broad__","up","HMGN1"
"fibroblasts","__broad__","up","HPSE2"
"fibroblasts","__broad__","up","IGFBP3"
"fibroblasts","__broad__","up","INPP4A"
"fibroblasts","__broad__","up","ITGA8"
"fibroblasts","__broad__","up","ITGBL1"
"fibroblasts","__broad__","up","ITIH5"
"fibroblasts","__broad__","up","KALRN"
"fibroblasts","__broad__","up","KCTD12"
"fibroblasts","__broad__","up","KDELR3"
"fibroblasts","__broad__","up","KIAA1217"
"fibroblasts","__broad__","up","KIF13B"
"fibroblasts","__broad__","up","KIF26B"
"fibroblasts","__broad__","up","KLF12"
"fibroblasts","__broad__","up","KLHL4"
"fibroblasts","__broad__","up","LAMB1"
"fibroblasts","__broad__","up","LBH"
"fibroblasts","__broad__","up","LGALS1"
"fibroblasts","__broad__","up","LIMS1"
"fibroblasts","__broad__","up","LINC00511"
"fibroblasts","__broad__","up","LINC00578"
"fibroblasts","__broad__","up","LMO7"
"fibroblasts","__broad__","up","LRMDA"
"fibroblasts","__broad__","up","LRRC17"
"fibroblasts","__broad__","up","LUM"
"fibroblasts","__broad__","up","MACROD2"
"fibroblasts","__broad__","up","MAGED1"
"fibroblasts","__broad__","up","MAGED4"
"fibroblasts","__broad__","up","MAGED4B"
"fibroblasts","__broad__","up","MAPK10"
"fibroblasts","__broad__","up","MAPKAP1"
"fibroblasts","__broad__","up","MAPRE2"
"fibroblasts","__broad__","up","MARCKS"
"fibroblasts","__broad__","up","MAST4"
"fibroblasts","__broad__","up","MCRIP1"
"fibroblasts","__broad__","up","MDK"
"fibroblasts","__broad__","up","MEST"
"fibroblasts","__broad__","up","MFAP2"
"fibroblasts","__broad__","up","MICAL2"
"fibroblasts","__broad__","up","MINDY3"
"fibroblasts","__broad__","up","MMP19"
"fibroblasts","__broad__","up","MOXD1"
"fibroblasts","__broad__","up","MPDZ"
"fibroblasts","__broad__","up","MRTFB"
"fibroblasts","__broad__","up","MSRB3"
"fibroblasts","__broad__","up","MXRA5"
"fibroblasts","__broad__","up","MYL9"
"fibroblasts","__broad__","up","MYLK"
"fibroblasts","__broad__","up","MYO1B"
"fibroblasts","__broad__","up","MYOF"
"fibroblasts","__broad__","up","NCAM2"
"fibroblasts","__broad__","up","NCKAP5"
"fibroblasts","__broad__","up","NEBL"
"fibroblasts","__broad__","up","NEK6"
"fibroblasts","__broad__","up","NINL"
"fibroblasts","__broad__","up","NRXN3"
"fibroblasts","__broad__","up","NTM"
"fibroblasts","__broad__","up","P3H3"
"fibroblasts","__broad__","up","P3H4"
"fibroblasts","__broad__","up","PALLD"
