donor,tissue,compartment,n_cells,det_AREG,mean_AREG,det_EREG,mean_EREG,det_HBEGF,mean_HBEGF,det_TGFA,mean_TGFA,det_EGF,mean_EGF,det_BTC,mean_BTC,det_EPGN,mean_EPGN,det_EGFR,mean_EGFR,evaluable
LUNG_N01,nLung,endothelial,112,0.4464,1.2859,0.1875,0.5282,0.4196,0.8737,0.0268,0.0174,0.0089,0.0045,0.0357,0.0346,0.0,0.0,0.1607,0.1835,True
LUNG_N01,nLung,epithelial,153,0.7451,2.3261,0.0392,0.0542,0.5556,0.8763,0.0261,0.0228,0.0196,0.0154,0.1503,0.1691,0.0,0.0,0.4706,0.5818,True
LUNG_N01,nLung,lymphoid,453,0.1987,0.5483,0.0066,0.0152,0.0243,0.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_N01,nLung,mesenchymal,10,0.0,0.0,0.0,0.0,0.1,0.2157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3225,False
LUNG_N01,nLung,myeloid,686,0.3134,0.9177,0.0379,0.0753,0.0889,0.1876,0.0029,0.0042,0.0,0.0,0.0029,0.003,0.0,0.0,0.0015,0.001,True
LUNG_N01,nLung,neutrophil,1434,0.3466,0.8938,0.2762,0.7178,0.537,1.0697,0.0098,0.0078,0.0007,0.0004,0.0028,0.0023,0.0007,0.0006,0.0126,0.0096,True
LUNG_N01,nLung,other immune,51,0.3725,1.3868,0.0,0.0,0.0392,0.0753,0.0,0.0,0.0,0.0,0.0196,0.0276,0.0,0.0,0.0196,0.0578,True
LUNG_N01,nLung,unassigned,295,0.4644,1.77,0.0678,0.2585,0.0746,0.1571,0.0034,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0089,True
LUNG_N06,nLung,endothelial,99,0.1313,0.2805,0.1818,0.4596,0.4545,0.6435,0.0101,0.0029,0.0,0.0,0.0202,0.014,0.0,0.0,0.0303,0.0338,True
LUNG_N06,nLung,epithelial,149,0.3557,0.8161,0.0336,0.0568,0.1208,0.1722,0.0604,0.0661,0.0,0.0,0.1275,0.149,0.0,0.0,0.1812,0.2007,True
LUNG_N06,nLung,lymphoid,272,0.1066,0.285,0.0,0.0,0.0221,0.0485,0.0037,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_N06,nLung,mesenchymal,9,0.0,0.0,0.0,0.0,0.1111,0.2736,0.1111,0.2629,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.1517,False
LUNG_N06,nLung,myeloid,527,0.1044,0.2642,0.019,0.0458,0.0171,0.0372,0.0038,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.002,True
LUNG_N06,nLung,neutrophil,1478,0.1171,0.1485,0.1705,0.2416,0.5778,0.7697,0.0041,0.0057,0.0007,0.0001,0.0027,0.0025,0.0,0.0,0.0041,0.0028,True
LUNG_N06,nLung,other immune,21,0.0952,0.2134,0.0476,0.1884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,unassigned,284,0.1197,0.2988,0.088,0.265,0.0493,0.0904,0.0141,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0082,True
LUNG_N08,nLung,endothelial,272,0.136,0.2817,0.1544,0.3672,0.3015,0.4969,0.0147,0.0143,0.0037,0.0005,0.0184,0.0171,0.0,0.0,0.0441,0.0637,True
LUNG_N08,nLung,epithelial,247,0.2834,0.5543,0.0162,0.0326,0.1903,0.3343,0.0283,0.0376,0.0081,0.0089,0.0891,0.1127,0.0081,0.0063,0.2348,0.3523,True
LUNG_N08,nLung,lymphoid,293,0.1331,0.3472,0.0102,0.024,0.0307,0.0725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
LUNG_N08,nLung,mesenchymal,21,0.0476,0.0909,0.0,0.0,0.0476,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.1664,False
LUNG_N08,nLung,myeloid,552,0.1377,0.326,0.0254,0.0522,0.038,0.0695,0.0,0.0,0.0,0.0,0.0036,0.0039,0.0,0.0,0.0018,0.0018,True
LUNG_N08,nLung,neutrophil,1491,0.1375,0.2423,0.2126,0.3823,0.5949,0.9184,0.008,0.0087,0.0,0.0,0.0034,0.0023,0.0,0.0,0.0101,0.0068,True
LUNG_N08,nLung,other immune,19,0.1579,0.4633,0.0,0.0,0.0526,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LUNG_N08,nLung,unassigned,485,0.1526,0.442,0.0536,0.1542,0.0722,0.1465,0.0062,0.0112,0.0,0.0,0.0021,0.003,0.0,0.0,0.0082,0.0149,True
LUNG_N09,nLung,endothelial,146,0.3288,0.8162,0.0822,0.15,0.4521,0.87,0.0137,0.011,0.0,0.0,0.0342,0.0285,0.0,0.0,0.1575,0.1681,True
LUNG_N09,nLung,epithelial,343,0.6443,1.4224,0.0146,0.0124,0.3382,0.4751,0.035,0.029,0.0262,0.0199,0.0875,0.087,0.0087,0.0075,0.4519,0.5096,True
LUNG_N09,nLung,lymphoid,347,0.1527,0.3743,0.0,0.0,0.0202,0.0442,0.0,0.0,0.0,0.0,0.0029,0.0057,0.0,0.0,0.0029,0.0069,True
LUNG_N09,nLung,mesenchymal,43,0.0233,0.0674,0.0,0.0,0.093,0.1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2326,0.3317,False
LUNG_N09,nLung,myeloid,226,0.323,1.0145,0.0265,0.0579,0.208,0.5079,0.0044,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0044,0.0065,True
LUNG_N09,nLung,neutrophil,1047,0.1882,0.3217,0.2569,0.3928,0.8329,1.6034,0.0162,0.0124,0.0,0.0,0.001,0.0009,0.0,0.0,0.0105,0.0105,True
LUNG_N09,nLung,other immune,49,0.3878,1.5515,0.0204,0.1158,0.0204,0.0689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
LUNG_N09,nLung,unassigned,327,0.3394,1.3312,0.0489,0.1384,0.1009,0.252,0.0153,0.0313,0.0,0.0,0.0061,0.014,0.0,0.0,0.0061,0.0128,True
LUNG_N18,nLung,endothelial,452,0.2456,0.5927,0.2389,0.4747,0.5442,1.0976,0.0111,0.0197,0.0,0.0,0.0133,0.0138,0.0,0.0,0.0221,0.034,True
LUNG_N18,nLung,epithelial,404,0.4455,1.164,0.0693,0.1227,0.2748,0.4666,0.0347,0.0418,0.0,0.0,0.1188,0.1426,0.0124,0.017,0.1881,0.2702,True
LUNG_N18,nLung,lymphoid,556,0.2014,0.57,0.0072,0.0141,0.0288,0.0595,0.0018,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
