accession,Actb,Gapdh,Ubc,Ppia,n_housekeeping_ge1,passes_partial_housekeeping_rule
GSM2943007,2149.43,41.3146,599.403,288.774,4,True
GSM2943008,1921.91,5.27121,1008.06,190.347,4,True
GSM2943009,1857.34,63.8197,100.23,205.659,4,True
GSM2943010,1467.27,11.3323,354.474,265.142,4,True
GSM2943011,4257.53,57.6041,556.893,747.799,4,True
GSM2943012,3620.82,33.0833,170.049,451.097,4,True
GSM2943013,1960.81,18.3595,230.672,217.019,4,True
GSM2943014,1419.01,35.5983,108.132,141.585,4,True
GSM2943015,4677.86,13.2832,262.598,339.042,4,True
GSM2943016,3330.9,12.8124,1231.96,104.395,4,True
GSM2943017,2504.42,6.23139,178.406,97.0456,4,True
GSM2943018,3297.62,0.882567,566.893,115.033,3,True
GSM2943019,4009.15,8.21113,859.063,360.717,4,True
GSM2943020,2930.67,4.61386,611.017,484.898,4,True
GSM2943021,880.069,48.4838,242.567,103.394,4,True
GSM2943022,1348.75,16.3421,932.364,39.4867,4,True
GSM2943023,3067.54,1.1582,184.158,296.013,4,True
GSM2943024,1529.22,23.0955,1107.12,150.678,4,True
GSM2943025,2019.83,25.6902,224.048,125.369,4,True
GSM2943026,2353.66,14.3256,68.5544,304.226,4,True
GSM2943027,1799.32,5.66143,1000.15,221.11,4,True
GSM2943028,1801.85,11.6343,380.294,267.8,4,True
GSM2943029,2769.4,47.9097,227.529,294.376,4,True
GSM2943030,3058.17,6.38435,189.126,127.964,4,True
GSM2943031,1242.92,12.6565,76.2813,188.463,4,True
GSM2943032,4143.1,35.5951,162.686,340.425,4,True
GSM2943033,3459.6,49.4515,792.235,354.72,4,True
GSM2943034,2278.81,75.7506,854.395,200.384,4,True
GSM2943035,2212.64,4.09568,1243.99,220.756,4,True
GSM2943036,4118.45,59.0364,1087.68,317.427,4,True
GSM2943037,2953.92,33.3614,408.775,176.496,4,True
GSM2943038,3747.77,9.32477,847.814,257.434,4,True
GSM2943039,2506.32,41.3473,599.488,161.685,4,True
GSM2943040,1445.14,0,138.198,137.219,3,True
GSM2943041,1775.61,46.4854,74.8721,209.003,4,True
GSM2943042,1811.44,37.8375,198.197,121.383,4,True
GSM2943043,2241.45,58.0049,145.301,188.987,4,True
GSM2943044,3341.08,48.392,692.705,207.497,4,True
GSM2943045,3211.54,6.41945,392.463,155.283,4,True
GSM2943046,3164.18,38.1585,152.08,85.9436,4,True
GSM2943047,2126.71,0,384.461,362.693,3,True
GSM2943048,1429.95,2.27561,160.36,63.0044,4,True
GSM2943049,2447.73,23.3012,850.98,40.2841,4,True
GSM2943050,3084.39,15.7131,285.389,135.291,4,True
GSM2943051,2095.02,4.27185,343.661,127.603,4,True
GSM2943052,3074.11,29.0262,77.4848,186.565,4,True
GSM2943053,4698.23,109.211,808.079,159.733,4,True
