gsm,features,barcodes,stored_entries,total_counts,zero_count_barcodes,matrix_format,status
GSM9057712,31053,3565,5219251,14306254,0,%%MatrixMarket matrix coordinate integer general,input_checks_passed
GSM9057713,31053,4247,6475466,17544592,0,%%MatrixMarket matrix coordinate integer general,input_checks_passed
