"compartment","label","cell_floor","n_control","n_antiIL1B","eligible"
"alveolar","__broad__",50,4,3,TRUE
"alveolar","__broad__",30,4,3,TRUE
"alveolar","__broad__",100,3,2,FALSE
"alveolar","AT1_like",50,3,2,FALSE
"alveolar","AT1_like",30,4,2,FALSE
"alveolar","AT1_like",100,3,2,FALSE
"alveolar","mixed_AT2_AT1_alveolar",50,3,1,FALSE
"alveolar","mixed_AT2_AT1_alveolar",30,3,3,TRUE
"alveolar","mixed_AT2_AT1_alveolar",100,2,1,FALSE
"fibroblast","__broad__",50,4,3,TRUE
"fibroblast","__broad__",30,4,3,TRUE
"fibroblast","__broad__",100,3,3,TRUE
"fibroblast","fibroblast_Gsn",50,4,3,TRUE
"fibroblast","fibroblast_Gsn",30,4,3,TRUE
"fibroblast","fibroblast_Gsn",100,2,3,FALSE
"fibroblast","fibroblast_Itga8",50,3,3,TRUE
"fibroblast","fibroblast_Itga8",30,3,3,TRUE
"fibroblast","fibroblast_Itga8",100,3,2,FALSE
"fibroblast","fibroblast_Pi16",50,3,3,TRUE
"fibroblast","fibroblast_Pi16",30,3,3,TRUE
"fibroblast","fibroblast_Pi16",100,3,3,TRUE
"myeloid","__broad__",50,4,3,TRUE
"myeloid","__broad__",30,4,3,TRUE
"myeloid","__broad__",100,4,3,TRUE
"myeloid","CSF1R_myeloid",50,4,3,TRUE
"myeloid","CSF1R_myeloid",30,4,3,TRUE
"myeloid","CSF1R_myeloid",100,3,3,TRUE
"myeloid","inflammatory_CSF1R_CSF3R_myeloid",50,3,2,FALSE
"myeloid","inflammatory_CSF1R_CSF3R_myeloid",30,3,3,TRUE
"myeloid","inflammatory_CSF1R_CSF3R_myeloid",100,0,2,FALSE
"myeloid","macrophage_candidate",50,0,0,FALSE
"myeloid","macrophage_candidate",30,0,0,FALSE
"myeloid","macrophage_candidate",100,0,0,FALSE
