"compartment","label","genes_tested","q05_up","q05_down"
"alveolar","__broad__",9814,0,0
"fibroblast","__broad__",11625,0,0
"fibroblast","fibroblast_Gsn",9738,0,0
"fibroblast","fibroblast_Itga8",7126,0,0
"fibroblast","fibroblast_Pi16",10052,0,0
"myeloid","__broad__",9667,0,0
"myeloid","CSF1R_myeloid",9047,0,0
