cluster,n_cells,Sftpc,hAT2_canonical,AT2_identity,AT2_lipid,pAT2_inflammatory,cAT2,DATP,AT1_canonical,AT1_early,AT1_late,DATP_figure7,p53,arrest,hypoxia,hypoxia_without_Ndrg1,ifng_response,glycolysis,responder,ciliated,mesenchyme,immune,endothelium,club_or_airway,state,rule,AT1_reference_detection
0,1444,1.000000000000031,1.000000000000031,0.7583102493074932,0.4854570637119133,0.1386426592797775,0.005078485687903971,0.21551246537396698,0.04316712834718376,0.22668513388735098,0.34591412742382893,0.040166204986149555,0.2659279778393333,0.3611495844875404,0.16066481994459733,0.2839335180055381,0.16707063711911252,0.2825484764542976,0.08518005540166186,0.07479224376731264,0.0005771006463527239,0.0012119113573407201,0.00623268698060942,0.32571560480148154,hAT2,7,
1,1363,0.9999999999999748,0.9999999999999748,0.7992174125702967,0.5553925165076977,0.15964783565663956,0.002690144289557349,0.19486426999265924,0.02641232575201762,0.18635363169479177,0.3354732208363848,0.012472487160674985,0.22505502567865027,0.29640498899486306,0.14159941305942672,0.2582538517975035,0.13573000733675672,0.26265590608950584,0.038884812912692614,0.033259965761799966,0.00024455857177794083,0.001467351430667645,0.006113964294448523,0.32648569332354654,hAT2,7,
2,880,0.9999999999999885,0.9999999999999885,0.39772727272727443,0.36439393939394066,0.242272727272728,0.018181818181818184,0.4284090909090888,0.2871212121212117,0.45416666666666505,0.371590909090908,0.37272727272727285,0.5312500000000011,0.4960227272727224,0.27386363636363686,0.38636363636363785,0.42727272727272664,0.40757575757575415,0.06136363636363638,0.17840909090909066,0.00643939393939394,0.005681818181818182,0.008333333333333335,0.34318181818181553,DATP,4,
3,1214,0.9999999999999892,0.9999999999999892,0.805052169137829,0.5516199890170205,0.2657331136738049,0.004393190554640308,0.18846787479406749,0.04228445908841296,0.19494783086216308,0.31095551894563217,0.02114222954420648,0.2353789126853383,0.24135090609555093,0.13714991762767806,0.25864909390445,0.23064250411861692,0.28445908841295786,0.06672158154859967,0.022240527182866555,0.0,0.0012355848434925866,0.0032948929159802303,0.2825370675453042,hAT2,7,
4,816,0.9999999999999968,0.9999999999999968,0.839869281045749,0.5833333333333316,0.2034313725490191,0.004493464052287581,0.2004901960784308,0.04656862745098039,0.2352941176470582,0.36213235294117535,0.019607843137254895,0.3088235294117639,0.346813725490195,0.1587009803921565,0.2855392156862738,0.14338235294117616,0.30882352941176383,0.061274509803921615,0.06944444444444436,0.0008169934640522876,0.002144607843137255,0.011437908496732022,0.40359477124182885,hAT2,7,
5,362,1.0000000000000075,1.0000000000000075,0.7946593001841661,0.5570902394106826,0.2961325966850832,0.0055248618784530384,0.21049723756906175,0.05156537753222834,0.24217311233885833,0.32734806629834406,0.0626151012891344,0.3121546961325969,0.29143646408839774,0.15607734806629806,0.28729281767955744,0.17127071823204393,0.2909760589318608,0.024861878453038673,0.2394106813996322,0.0009208103130755064,0.004834254143646409,0.013812154696132596,0.6519337016574628,hAT2,7,
6,1815,0.9999999999999795,0.9999999999999795,0.7261707988980594,0.47327823691459586,0.09785123966942191,0.0031221303948576677,0.15393939393939143,0.026997245179063337,0.1535353535353528,0.26115702479338543,0.009550045913682277,0.138154269972452,0.14517906336088196,0.09338842975206639,0.173553719008265,0.1057851239669422,0.18108356290174288,0.044077134986225855,0.01267217630853995,0.00018365472910927456,0.0008264462809917355,0.0047750229568411405,0.1961432506887036,hAT2,7,
7,1308,0.9999999999999785,0.9999999999999784,0.8616207951070164,0.6381243628949945,0.2218654434250742,0.006371049949031601,0.1712538226299664,0.028032619775739034,0.1977573904179384,0.3407874617736945,0.012996941896024468,0.27178899082568536,0.2454128440366942,0.13111620795107082,0.23547400611620892,0.1246177370030585,0.2724260958205872,0.03975535168195718,0.038226299694189614,0.00038226299694189603,0.00095565749235474,0.015290519877675832,0.39092762487257277,hAT2,5 (reference),
8,205,1.0000000000000007,1.0000000000000007,0.31056910569105706,0.36260162601626034,0.38243902439024413,0.014634146341463414,0.3912195121951222,0.1707317073170733,0.4146341463414637,0.12073170731707321,0.3284552845528457,0.3963414634146344,0.42195121951219544,0.12195121951219517,0.2048780487804879,0.3109756097560978,0.48455284552845557,0.23414634146341476,0.6894308943089436,0.0016260162601626016,0.0036585365853658534,0.0065040650406504065,0.6504065040650411,pAT2,6,
9,337,0.9999999999999976,0.998021760633034,0.224530168150346,0.2215628090999009,0.14124629080118684,0.008902077151335312,0.23204747774480666,0.7032640949554881,0.7873392680514324,0.7010385756676543,0.16815034619188915,0.17655786350148353,0.2804154302670618,0.08456973293768545,0.1572700296735905,0.22922848664688394,0.2888229475766562,0.10385756676557868,0.07319485657764589,0.02522255192878338,0.00370919881305638,0.002967359050445104,0.29673590504450975,hAT2,7,
