library,hAT2_n,cAT2_n,pAT2_n,DATP_n,hAT2_frac,cAT2_frac,pAT2_frac,DATP_frac,alveolar_cells,contaminant_cells
PBS_AT2_Tomato,4253,5,48,13,0.9847186848807594,0.0011576753878212549,0.011113683723084047,0.003009956008335263,4319,0
Day14_AT2_Tomato,2790,261,71,668,0.7361477572559367,0.06886543535620053,0.018733509234828496,0.1762532981530343,3790,0
Day28_AT2_Tomato,3242,47,86,199,0.9071068830442082,0.01315053161723559,0.024062674874090653,0.05567991046446558,3574,0
