"compartment","label","omitted_donor","direction","n_control","n_IPF","tested_genes","mapped_background","targets","mapped_targets","eligible","reason"
"AT2","AT2","__none__","up",6,8,10469,9757,466,439,TRUE,"eligible"
"AT2","AT2","__none__","down",6,8,10469,9757,194,175,TRUE,"eligible"
"AT2","AT2","THD0001","up",5,8,9751,9124,429,403,TRUE,"eligible"
"AT2","AT2","THD0001","down",5,8,9751,9124,169,150,TRUE,"eligible"
"AT2","AT2","THD0002","up",5,8,9798,9168,379,358,TRUE,"eligible"
"AT2","AT2","THD0002","down",5,8,9798,9168,144,130,TRUE,"eligible"
"AT2","AT2","TILD028","up",6,7,10851,10075,488,456,TRUE,"eligible"
"AT2","AT2","TILD028","down",6,7,10851,10075,186,167,TRUE,"eligible"
"AT2","AT2","VUHD071","up",5,8,11237,10390,562,516,TRUE,"eligible"
"AT2","AT2","VUHD071","down",5,8,11237,10390,215,194,TRUE,"eligible"
"AT2","AT2","VUHD65","up",5,8,9833,9205,373,348,TRUE,"eligible"
"AT2","AT2","VUHD65","down",5,8,9833,9205,136,124,TRUE,"eligible"
"AT2","AT2","VUHD66","up",5,8,9813,9189,576,540,TRUE,"eligible"
"AT2","AT2","VUHD66","down",5,8,9813,9189,266,242,TRUE,"eligible"
"AT2","AT2","VUHD67","up",5,8,9837,9204,291,274,TRUE,"eligible"
"AT2","AT2","VUHD67","down",5,8,9837,9204,107,92,TRUE,"eligible"
"AT2","AT2","VUILD53","up",6,7,10872,10090,422,396,TRUE,"eligible"
"AT2","AT2","VUILD53","down",6,7,10872,10090,153,137,TRUE,"eligible"
"AT2","AT2","VUILD59","up",6,7,9444,8849,307,289,TRUE,"eligible"
"AT2","AT2","VUILD59","down",6,7,9444,8849,128,119,TRUE,"eligible"
"AT2","AT2","VUILD60","up",6,7,10875,10104,382,360,TRUE,"eligible"
"AT2","AT2","VUILD60","down",6,7,10875,10104,137,124,TRUE,"eligible"
"AT2","AT2","VUILD61","up",6,7,9496,8897,516,484,TRUE,"eligible"
"AT2","AT2","VUILD61","down",6,7,9496,8897,237,216,TRUE,"eligible"
"AT2","AT2","VUILD63","up",6,7,10938,10153,600,563,TRUE,"eligible"
"AT2","AT2","VUILD63","down",6,7,10938,10153,280,251,TRUE,"eligible"
"AT2","AT2","VUILD64","up",6,7,10883,10102,347,327,TRUE,"eligible"
"AT2","AT2","VUILD64","down",6,7,10883,10102,105,93,TRUE,"eligible"
"AT2","AT2","VUILD65","up",6,7,10903,10118,402,373,TRUE,"eligible"
"AT2","AT2","VUILD65","down",6,7,10903,10118,154,134,TRUE,"eligible"
"fibroblasts","__broad__","__none__","up",3,7,8135,7727,1,1,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","__broad__","__none__","down",3,7,8135,7727,2,2,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"macrophages","__broad__","__none__","up",9,12,11573,10623,417,395,TRUE,"eligible"
"macrophages","__broad__","__none__","down",9,12,11573,10623,310,292,TRUE,"eligible"
"macrophages","__broad__","THD0001","up",8,12,11667,10698,322,308,TRUE,"eligible"
"macrophages","__broad__","THD0001","down",8,12,11667,10698,230,215,TRUE,"eligible"
"macrophages","__broad__","THD0002","up",8,12,11674,10706,361,345,TRUE,"eligible"
"macrophages","__broad__","THD0002","down",8,12,11674,10706,246,229,TRUE,"eligible"
"macrophages","__broad__","THD0005","up",8,12,11636,10679,497,463,TRUE,"eligible"
"macrophages","__broad__","THD0005","down",8,12,11636,10679,434,407,TRUE,"eligible"
"macrophages","__broad__","TILD001","up",9,11,11518,10580,325,309,TRUE,"eligible"
"macrophages","__broad__","TILD001","down",9,11,11518,10580,246,231,TRUE,"eligible"
"macrophages","__broad__","TILD006","up",9,11,11460,10532,359,340,TRUE,"eligible"
"macrophages","__broad__","TILD006","down",9,11,11460,10532,273,255,TRUE,"eligible"
"macrophages","__broad__","TILD010","up",9,11,11510,10570,300,285,TRUE,"eligible"
"macrophages","__broad__","TILD010","down",9,11,11510,10570,203,190,TRUE,"eligible"
"macrophages","__broad__","TILD015","up",9,11,11391,10487,355,335,TRUE,"eligible"
"macrophages","__broad__","TILD015","down",9,11,11391,10487,268,252,TRUE,"eligible"
"macrophages","__broad__","TILD028","up",9,11,11411,10501,335,318,TRUE,"eligible"
"macrophages","__broad__","TILD028","down",9,11,11411,10501,240,226,TRUE,"eligible"
"macrophages","__broad__","VUHD071","up",8,12,11623,10661,395,376,TRUE,"eligible"
"macrophages","__broad__","VUHD071","down",8,12,11623,10661,312,289,TRUE,"eligible"
"macrophages","__broad__","VUHD65","up",8,12,11595,10644,307,288,TRUE,"eligible"
"macrophages","__broad__","VUHD65","down",8,12,11595,10644,187,176,TRUE,"eligible"
"macrophages","__broad__","VUHD66","up",8,12,11680,10713,431,411,TRUE,"eligible"
"macrophages","__broad__","VUHD66","down",8,12,11680,10713,339,318,TRUE,"eligible"
"macrophages","__broad__","VUHD67","up",8,12,11619,10663,251,236,TRUE,"eligible"
