cohort,cell_floor,prior_count,donor,disease_case,label_case,cells_case,unit_id_case,full_library_sum_case,module,assayed_source_fraction_case,eligible_case,score_case,disease_reference,label_reference,cells_reference,unit_id_reference,full_library_sum_reference,assayed_source_fraction_reference,eligible_reference,score_reference,difference,case,reference,scope
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.62154519700056,IPF,AT2,1838,GSE135893_108,12300163,0.954314720812183,True,2.18698822395689,0.43455697304367025,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.4028409540938,IPF,AT2,137,GSE135893_116,1029209,0.954314720812183,True,2.01446310855451,0.3883778455392899,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.58854837659292,IPF,AT2,428,GSE135893_139,1980747,0.954314720812183,True,2.65987251616294,-0.07132413957002015,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_P53_PATHWAY,0.935,True,5.14693890081691,IPF,AT2,1838,GSE135893_108,12300163,0.935,True,4.8887224962416,0.25821640457531014,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_P53_PATHWAY,0.935,True,5.31267104485029,IPF,AT2,137,GSE135893_116,1029209,0.935,True,4.70383968924113,0.6088313556091594,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_P53_PATHWAY,0.935,True,5.12544141189766,IPF,AT2,428,GSE135893_139,1980747,0.935,True,4.90754500736499,0.21789640453267012,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_author_top100,0.79,True,4.44720126506295,IPF,AT2,1838,GSE135893_108,12300163,0.79,True,3.46461369116734,0.9825875738956098,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_author_top100,0.79,True,4.40442180367747,IPF,AT2,137,GSE135893_116,1029209,0.79,True,3.11972488313376,1.2846969205437095,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_author_top100,0.79,True,4.55314673208379,IPF,AT2,428,GSE135893_139,1980747,0.79,True,3.78326305487482,0.7698836772089699,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_excluding_operational_markers,0.795918367346939,True,4.45590761180137,IPF,AT2,1838,GSE135893_108,12300163,0.795918367346939,True,3.50946670394414,0.9464409078572302,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_excluding_operational_markers,0.795918367346939,True,4.41723506468956,IPF,AT2,137,GSE135893_116,1029209,0.795918367346939,True,3.15250881336942,1.2647262513201403,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_excluding_operational_markers,0.795918367346939,True,4.55878444162137,IPF,AT2,428,GSE135893_139,1980747,0.795918367346939,True,3.83293966289008,0.72584477873129,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.19545998151889,IPF,AT2,1838,GSE135893_108,12300163,0.802197802197802,True,3.25667532080853,0.9387846607103598,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.11675297505132,IPF,AT2,137,GSE135893_116,1029209,0.802197802197802,True,2.88169988621864,1.2350530888326796,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.2926469576306,IPF,AT2,428,GSE135893_139,1980747,0.802197802197802,True,3.60228191258551,0.6903650450450902,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,Han_ISR_source_symbols,0.837209302325581,True,4.02268703756437,IPF,AT2,1838,GSE135893_108,12300163,0.837209302325581,True,4.14421872558155,-0.12153168801718017,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_source_symbols,0.837209302325581,True,3.99970662190304,IPF,AT2,137,GSE135893_116,1029209,0.837209302325581,True,4.11690098992749,-0.11719436802445049,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_source_symbols,0.837209302325581,True,3.9141368740782,IPF,AT2,428,GSE135893_139,1980747,0.837209302325581,True,4.00234216727646,-0.08820529319825976,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.6098760465909,IPF,AT2,1838,GSE135893_108,12300163,0.857142857142857,True,3.75072392813431,-0.1408478815434102,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.54132458062736,IPF,AT2,137,GSE135893_116,1029209,0.857142857142857,True,3.71648816952,-0.17516358889263994,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.51175931344903,IPF,AT2,428,GSE135893_139,1980747,0.857142857142857,True,3.54613406681495,-0.03437475336592,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,ADI_published_holdout,0.85929648241206,True,7.93485635177089,IPF,AT2,1838,GSE135893_108,12300163,0.85929648241206,True,7.88039222283382,0.05446412893706931,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,ADI_published_holdout,0.85929648241206,True,8.13372069376047,IPF,AT2,137,GSE135893_116,1029209,0.85929648241206,True,7.86810456266092,0.2656161310995495,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,ADI_published_holdout,0.85929648241206,True,7.90522270386819,IPF,AT2,428,GSE135893_139,1980747,0.85929648241206,True,7.85640193787372,0.04882076599446972,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,AT1_published_holdout,0.882205513784461,True,6.41656575068199,IPF,AT2,1838,GSE135893_108,12300163,0.882205513784461,True,6.15276331999783,0.26380243068415954,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT1_published_holdout,0.882205513784461,True,6.50107627598573,IPF,AT2,137,GSE135893_116,1029209,0.882205513784461,True,5.76773236406585,0.7333439119198797,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT1_published_holdout,0.882205513784461,True,6.35599545244379,IPF,AT2,428,GSE135893_139,1980747,0.882205513784461,True,6.00394688934898,0.3520485630948098,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,AT2_published_holdout,0.889447236180905,True,4.40971365355134,IPF,AT2,1838,GSE135893_108,12300163,0.889447236180905,True,5.15885088494464,-0.7491372313933002,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT2_published_holdout,0.889447236180905,True,4.40669746461051,IPF,AT2,137,GSE135893_116,1029209,0.889447236180905,True,4.73376121801588,-0.32706375340537,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT2_published_holdout,0.889447236180905,True,4.31566514064381,IPF,AT2,428,GSE135893_139,1980747,0.889447236180905,True,5.12756368133259,-0.8118985406887802,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_HYPOXIA,0.914572864321608,True,3.80154776853993,IPF,AT2,1838,GSE135893_108,12300163,0.914572864321608,True,3.51496996748172,0.2865778010582103,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_HYPOXIA,0.914572864321608,True,3.85700772837011,IPF,AT2,137,GSE135893_116,1029209,0.914572864321608,True,2.95999893356665,0.89700879480346,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_HYPOXIA,0.914572864321608,True,3.69325912684621,IPF,AT2,428,GSE135893_139,1980747,0.914572864321608,True,3.49740511380714,0.19585401303907002,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.33034031510477,IPF,AT2,1838,GSE135893_108,12300163,0.954314720812183,True,1.86911963348634,0.4612206816184299,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.07451469013642,IPF,AT2,137,GSE135893_116,1029209,0.954314720812183,True,1.61586081876455,0.4586538713718702,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.25502437335333,IPF,AT2,428,GSE135893_139,1980747,0.954314720812183,True,2.35180402460349,-0.09677965125015975,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_P53_PATHWAY,0.935,True,5.09130110467196,IPF,AT2,1838,GSE135893_108,12300163,0.935,True,4.82395917175585,0.26734193291610975,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_P53_PATHWAY,0.935,True,5.26664172524745,IPF,AT2,137,GSE135893_116,1029209,0.935,True,4.61388751374044,0.65275421150701,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_P53_PATHWAY,0.935,True,5.06019188191404,IPF,AT2,428,GSE135893_139,1980747,0.935,True,4.82667948148955,0.23351240042449017,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_author_top100,0.79,True,4.38507060858437,IPF,AT2,1838,GSE135893_108,12300163,0.79,True,3.33508969280173,1.04998091578264,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_author_top100,0.79,True,4.32318377707159,IPF,AT2,137,GSE135893_116,1029209,0.79,True,2.93845055607914,1.3847332209924503,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_author_top100,0.79,True,4.46110614865367,IPF,AT2,428,GSE135893_139,1980747,0.79,True,3.65409531062543,0.8070108380282397,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_excluding_operational_markers,0.795918367346939,True,4.39323478300094,IPF,AT2,1838,GSE135893_108,12300163,0.795918367346939,True,3.38219158965736,1.0110431933435802,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_excluding_operational_markers,0.795918367346939,True,4.33528335291815,IPF,AT2,137,GSE135893_116,1029209,0.795918367346939,True,2.97140148201488,1.36388187090327,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_excluding_operational_markers,0.795918367346939,True,4.46576378497673,IPF,AT2,428,GSE135893_139,1980747,0.795918367346939,True,3.70620352162787,0.7595602633488596,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.12858683104081,IPF,AT2,1838,GSE135893_108,12300163,0.802197802197802,True,3.12091552409867,1.00767130694214,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.02925879917444,IPF,AT2,137,GSE135893_116,1029209,0.802197802197802,True,2.68850836264406,1.3407504365303802,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HPCS_without_ADI_or_operational_markers,0.802197802197802,True,4.19333680010211,IPF,AT2,428,GSE135893_139,1980747,0.802197802197802,True,3.46721752428561,0.7261192758165005,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,Han_ISR_source_symbols,0.837209302325581,True,3.92337763364221,IPF,AT2,1838,GSE135893_108,12300163,0.837209302325581,True,4.04635326640897,-0.12297563276676016,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_source_symbols,0.837209302325581,True,3.89164555341548,IPF,AT2,137,GSE135893_116,1029209,0.837209302325581,True,3.9832218851464,-0.09157633173091995,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_source_symbols,0.837209302325581,True,3.78648396103179,IPF,AT2,428,GSE135893_139,1980747,0.837209302325581,True,3.88367553091065,-0.09719156987885968,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.49365039822516,IPF,AT2,1838,GSE135893_108,12300163,0.857142857142857,True,3.6357526488451,-0.14210225061993986,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.41608703330077,IPF,AT2,137,GSE135893_116,1029209,0.857142857142857,True,3.56028389621803,-0.1441968629172603,KRT5-/KRT17+,AT2,primary
GSE135893,50,0.5,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,Han_ISR_without_HPCS_ADI_or_operational_markers,0.857142857142857,True,3.36178895221328,IPF,AT2,428,GSE135893_139,1980747,0.857142857142857,True,3.40590745877332,-0.044118506560039794,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,ADI_published_holdout,0.85929648241206,True,7.94837913151716,IPF,AT2,1838,GSE135893_108,12300163,0.85929648241206,True,7.89479805983969,0.053581071677469616,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,ADI_published_holdout,0.85929648241206,True,8.14692379211854,IPF,AT2,137,GSE135893_116,1029209,0.85929648241206,True,7.88894474074591,0.25797905137263033,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,ADI_published_holdout,0.85929648241206,True,7.91676579134974,IPF,AT2,428,GSE135893_139,1980747,0.85929648241206,True,7.87175439785192,0.045011393497819796,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,AT1_published_holdout,0.882205513784461,True,6.45825168116887,IPF,AT2,1838,GSE135893_108,12300163,0.882205513784461,True,6.22411822158641,0.23413345958246,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT1_published_holdout,0.882205513784461,True,6.5546842124925,IPF,AT2,137,GSE135893_116,1029209,0.882205513784461,True,5.8740013520203,0.6806828604722002,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT1_published_holdout,0.882205513784461,True,6.41449413479704,IPF,AT2,428,GSE135893_139,1980747,0.882205513784461,True,6.09017736742377,0.3243167673732694,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,AT2_published_holdout,0.889447236180905,True,4.63229269009429,IPF,AT2,1838,GSE135893_108,12300163,0.889447236180905,True,5.3299291735391,-0.6976364834448106,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT2_published_holdout,0.889447236180905,True,4.63599590293818,IPF,AT2,137,GSE135893_116,1029209,0.889447236180905,True,4.99578042213469,-0.3597845191965101,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT2_published_holdout,0.889447236180905,True,4.57415266467767,IPF,AT2,428,GSE135893_139,1980747,0.889447236180905,True,5.31442465700909,-0.7402719923314196,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_HYPOXIA,0.914572864321608,True,4.13289377536905,IPF,AT2,1838,GSE135893_108,12300163,0.914572864321608,True,3.86453910096843,0.2683546744006202,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_HYPOXIA,0.914572864321608,True,4.17297931216031,IPF,AT2,137,GSE135893_116,1029209,0.914572864321608,True,3.47646043437095,0.6965188777893596,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_HYPOXIA,0.914572864321608,True,4.04450255194505,IPF,AT2,428,GSE135893_139,1980747,0.914572864321608,True,3.88736322000553,0.15713933193952023,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.93928153279287,IPF,AT2,1838,GSE135893_108,12300163,0.954314720812183,True,2.551347068961,0.38793446383187025,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.76447119543674,IPF,AT2,137,GSE135893_116,1029209,0.954314720812183,True,2.43368307949069,0.3307881159460502,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_INFLAMMATORY_RESPONSE,0.954314720812183,True,2.94475809615495,IPF,AT2,428,GSE135893_139,1980747,0.954314720812183,True,3.00220488308883,-0.057446786933879945,KRT5-/KRT17+,AT2,primary
GSE135893,50,2.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_P53_PATHWAY,0.935,True,5.21787035527831,IPF,AT2,1838,GSE135893_108,12300163,0.935,True,4.9747958799694,0.24307447530891046,KRT5-/KRT17+,AT2,primary
