cohort,cell_floor,prior_count,donor,disease_case,label_case,cells_case,unit_id_case,full_library_sum_case,module,assayed_source_fraction_case,eligible_case,score_case,disease_reference,label_reference,cells_reference,unit_id_reference,full_library_sum_reference,assayed_source_fraction_reference,eligible_reference,score_reference,difference,case,reference,scope
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,ADI_published_holdout,0.834170854271357,True,7.43732109519237,IPF,ATII,43,GSE136831_132,483947,0.834170854271357,True,7.42343326252345,0.01388783266892002,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,AT1_published_holdout,0.867167919799499,True,6.46012197411551,IPF,ATII,43,GSE136831_132,483947,0.867167919799499,True,6.15533854067969,0.30478343343582015,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,AT2_published_holdout,0.876884422110553,True,5.10828069947203,IPF,ATII,43,GSE136831_132,483947,0.876884422110553,True,5.60882042126056,-0.5005397217885301,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,HALLMARK_HYPOXIA,0.889447236180905,True,4.55783943780435,IPF,ATII,43,GSE136831_132,483947,0.889447236180905,True,4.026078698035,0.53176073976935,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,HALLMARK_INFLAMMATORY_RESPONSE,0.949238578680203,True,3.45701171499807,IPF,ATII,43,GSE136831_132,483947,0.949238578680203,True,3.09935598094674,0.3576557340513302,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,HALLMARK_P53_PATHWAY,0.945,True,5.1504853295099,IPF,ATII,43,GSE136831_132,483947,0.945,True,4.8797859091432,0.27069942036670014,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,HPCS_author_top100,0.78,True,5.10606120422085,IPF,ATII,43,GSE136831_132,483947,0.78,True,3.97571170044898,1.1303495037718703,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,HPCS_excluding_operational_markers,0.785714285714286,True,5.12531883590064,IPF,ATII,43,GSE136831_132,483947,0.785714285714286,True,4.02854066601932,1.0967781698813202,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,HPCS_without_ADI_or_operational_markers,0.791208791208791,True,4.90650289171134,IPF,ATII,43,GSE136831_132,483947,0.791208791208791,True,3.8646848686331,1.04181802307824,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,Han_ISR_source_symbols,0.821705426356589,True,4.16586740861078,IPF,ATII,43,GSE136831_132,483947,0.821705426356589,True,4.38676221399059,-0.22089480537980943,Aberrant_Basaloid,ATII,primary
GSE136831,30,1.0,157I,IPF,Aberrant_Basaloid,33,GSE136831_133,558052,Han_ISR_without_HPCS_ADI_or_operational_markers,0.847619047619048,True,3.8103536386784,IPF,ATII,43,GSE136831_132,483947,0.847619047619048,True,4.09795458130368,-0.28760094262528035,Aberrant_Basaloid,ATII,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,ADI_published_holdout,0.85929648241206,True,7.9403814465624,IPF,AT2,1838,GSE135893_108,12300163,0.85929648241206,True,7.88582163055316,0.05455981600923998,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,ADI_published_holdout,0.85929648241206,True,8.13912979673782,IPF,AT2,137,GSE135893_116,1029209,0.85929648241206,True,7.87623624586021,0.26289355087760935,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,ADI_published_holdout,0.85929648241206,True,7.90928226890489,IPF,AT2,428,GSE135893_139,1980747,0.85929648241206,True,7.86252873367971,0.046753535225179554,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,AT1_published_holdout,0.882205513784461,True,6.43295422337924,IPF,AT2,1838,GSE135893_108,12300163,0.882205513784461,True,6.18177830306631,0.2511759203129298,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT1_published_holdout,0.882205513784461,True,6.52361446799563,IPF,AT2,137,GSE135893_116,1029209,0.882205513784461,True,5.81518057354721,0.7084338944484196,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT1_published_holdout,0.882205513784461,True,6.38080340429035,IPF,AT2,428,GSE135893_139,1980747,0.882205513784461,True,6.04139319563027,0.3394102086600794,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,AT2_published_holdout,0.889447236180905,True,4.51182191148057,IPF,AT2,1838,GSE135893_108,12300163,0.889447236180905,True,5.23359391415832,-0.7217720026777492,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,AT2_published_holdout,0.889447236180905,True,4.51079136781587,IPF,AT2,137,GSE135893_116,1029209,0.889447236180905,True,4.85853966151396,-0.34774829369809,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,AT2_published_holdout,0.889447236180905,True,4.43563281345511,IPF,AT2,428,GSE135893_139,1980747,0.889447236180905,True,5.21212077412061,-0.7764879606654995,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360,HALLMARK_HYPOXIA,0.914572864321608,True,3.95610595602012,IPF,AT2,1838,GSE135893_108,12300163,0.914572864321608,True,3.67150212894039,0.28460382707972975,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585,HALLMARK_HYPOXIA,0.914572864321608,True,4.00147031243875,IPF,AT2,137,GSE135893_116,1029209,0.914572864321608,True,3.20715352866319,0.7943167837755598,KRT5-/KRT17+,AT2,primary
GSE135893,50,1.0,VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054,HALLMARK_HYPOXIA,0.914572864321608,True,3.85687268179441,IPF,AT2,428,GSE135893_139,1980747,0.914572864321608,True,3.67762403617817,0.17924864561623988,KRT5-/KRT17+,AT2,primary
