pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
TIMP1 to CD63,26,1.0,TIMP1,CD63,1,connectomedb2020
HSP90AA1 to EGFR,26,4.5,HSP90AA1,EGFR,2,connectomedb2020
VIM to CD44,26,5.0,VIM,CD44,3,connectomedb2020
CDH1 to EGFR,26,11.0,CDH1,EGFR,4,connectomedb2020
MMP7 to CD44,24,11.0,MMP7,CD44,5,connectomedb2020
ANXA1 to EGFR,26,12.0,ANXA1,EGFR,6,connectomedb2020
C3 to LRP1,26,13.5,C3,LRP1,7,connectomedb2020
A2M to LRP1,18,14.5,A2M,LRP1,8,connectomedb2020
SLIT3 to ROBO2,22,14.5,SLIT3,ROBO2,9,connectomedb2020
APP to LRP1,26,15.0,APP,LRP1,10,connectomedb2020
PSAP to LRP1,26,16.5,PSAP,LRP1,11,connectomedb2020
HLA-A to APLP2,26,16.5,HLA-A,APLP2,12,connectomedb2020
FN1 to CD44,26,17.0,FN1,CD44,13,connectomedb2020
CNTN4 to PTPRG,26,17.5,CNTN4,PTPRG,14,connectomedb2020
ALCAM to NRP1,26,18.0,ALCAM,NRP1,15,connectomedb2020
SERPINF1 to PLXDC2,26,23.5,SERPINF1,PLXDC2,16,connectomedb2020
CDH1 to PTPRM,26,23.5,CDH1,PTPRM,17,connectomedb2020
CDH1 to IGF1R,26,25.0,CDH1,IGF1R,18,connectomedb2020
MDK to LRP1,26,25.5,MDK,LRP1,19,connectomedb2020
APP to CD74,26,25.5,APP,CD74,20,connectomedb2020
SERPING1 to LRP1,26,26.5,SERPING1,LRP1,21,connectomedb2020
C3 to NRP1,26,28.5,C3,NRP1,22,connectomedb2020
SERPINA1 to LRP1,26,29.5,SERPINA1,LRP1,23,connectomedb2020
APOE to LRP1,26,29.5,APOE,LRP1,24,connectomedb2020
LGALS1 to ITGB1,26,29.5,LGALS1,ITGB1,25,connectomedb2020
COL1A2 to CD44,19,30.0,COL1A2,CD44,26,connectomedb2020
FN1 to ITGA8,23,33.0,FN1,ITGA8,27,connectomedb2020
SLPI to PLSCR4,25,36.0,SLPI,PLSCR4,28,connectomedb2020
SLIT2 to ROBO2,26,38.5,SLIT2,ROBO2,29,connectomedb2020
ANOS1 to FGFR1,26,42.0,ANOS1,FGFR1,30,connectomedb2020
