pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
TIMP1 to CD63,26,2.0,TIMP1,CD63,1,consensus
FGF14 to FGFR1,26,8.5,FGF14,FGFR1,2,consensus
VIM to CD44,26,9.5,VIM,CD44,3,consensus
CALM1 to RYR2,25,10.0,CALM1,RYR2,4,consensus
GSTP1 to EGFR,26,10.5,GSTP1,EGFR,5,consensus
CALM1 to CACNA1C,26,13.0,CALM1,CACNA1C,6,consensus
COL4A2 to CD44,25,14.0,COL4A2,CD44,7,consensus
ANXA1 to EGFR,26,17.5,ANXA1,EGFR,8,consensus
C3 to LRP1,26,19.0,C3,LRP1,9,consensus
SLIT3 to ROBO2,22,20.0,SLIT3,ROBO2,10,consensus
CDH1 to EGFR,26,20.5,CDH1,EGFR,11,consensus
PKM to CD44,26,21.0,PKM,CD44,12,consensus
MMP7 to CD44,24,21.0,MMP7,CD44,13,consensus
APP to LRP1,26,21.5,APP,LRP1,14,consensus
A2M to LRP1,18,21.5,A2M,LRP1,15,consensus
TIMP3 to CD44,26,22.5,TIMP3,CD44,16,consensus
CNTN4 to PTPRG,26,22.5,CNTN4,PTPRG,17,consensus
COL6A2 to CD44,21,24.0,COL6A2,CD44,18,consensus
HLA-A to APLP2,26,24.5,HLA-A,APLP2,19,consensus
FN1 to CD44,26,25.0,FN1,CD44,20,consensus
PSAP to LRP1,26,25.5,PSAP,LRP1,21,consensus
ALCAM to NRP1,26,25.5,ALCAM,NRP1,22,consensus
CEACAM6 to EGFR,25,30.0,CEACAM6,EGFR,23,consensus
SERPINF1 to PLXDC2,26,35.0,SERPINF1,PLXDC2,24,consensus
LAMB3 to CD44,26,36.5,LAMB3,CD44,25,consensus
CDH1 to IGF1R,26,38.0,CDH1,IGF1R,26,consensus
CDH1 to PTPRM,26,38.5,CDH1,PTPRM,27,consensus
APP to CD74,26,38.5,APP,CD74,28,consensus
SERPING1 to LRP1,26,39.5,SERPING1,LRP1,29,consensus
SERPINA1 to LRP1,26,39.5,SERPINA1,LRP1,30,consensus
C3 to NRP1,26,40.5,C3,NRP1,31,consensus
MDK to LRP1,26,41.5,MDK,LRP1,32,consensus
LAMC1 to CD44,26,43.0,LAMC1,CD44,33,consensus
COL4A1 to CD44,25,44.0,COL4A1,CD44,34,consensus
C3 to CD81,26,44.0,C3,CD81,35,consensus
S100A4 to EGFR,26,45.0,S100A4,EGFR,36,consensus
LGALS1 to ITGB1,26,45.5,LGALS1,ITGB1,37,consensus
APOE to LRP1,26,46.0,APOE,LRP1,38,consensus
LAMC2 to CD44,26,46.5,LAMC2,CD44,39,consensus
COL1A2 to CD44,19,47.0,COL1A2,CD44,40,consensus
SLPI to PLSCR4,25,53.0,SLPI,PLSCR4,41,consensus
LAMA3 to CD44,26,54.5,LAMA3,CD44,42,consensus
RIMS1 to CACNA1C,25,57.0,RIMS1,CACNA1C,43,consensus
ADAM10 to CD44,26,58.5,ADAM10,CD44,44,consensus
SLIT2 to ROBO2,26,60.5,SLIT2,ROBO2,45,consensus
COL1A1 to CD44,24,60.5,COL1A1,CD44,46,consensus
ANOS1 to FGFR1,26,61.5,ANOS1,FGFR1,47,consensus
CXCL8 to SDC2,26,63.0,CXCL8,SDC2,48,consensus
SPARC to FGFR1,25,66.0,SPARC,FGFR1,49,consensus
SLIT3 to ROBO1,22,67.5,SLIT3,ROBO1,50,consensus
NRG1 to EGFR,26,68.5,NRG1,EGFR,51,consensus
LIPH to LPAR1,26,71.0,LIPH,LPAR1,52,consensus
COPA to CD74,26,71.5,COPA,CD74,53,consensus
PSEN1 to CD44,26,71.5,PSEN1,CD44,54,consensus
GDF15 to TGFBR2,26,71.5,GDF15,TGFBR2,55,consensus
LAMA2 to RPSA,26,72.0,LAMA2,RPSA,56,consensus
MDK to SDC2,26,72.5,MDK,SDC2,57,consensus
LRIG1 to EGFR,26,76.5,LRIG1,EGFR,58,consensus
VEGFA to CD44,25,78.0,VEGFA,CD44,59,consensus
LAMA2 to CD44,26,79.5,LAMA2,CD44,60,consensus
COL6A1 to CD44,20,79.5,COL6A1,CD44,61,consensus
COL1A1 to DDR2,24,80.0,COL1A1,DDR2,62,consensus
COL4A5 to CD44,26,80.0,COL4A5,CD44,63,consensus
TIMP2 to CD44,26,80.5,TIMP2,CD44,64,consensus
ADAM9 to ITGAV,26,80.5,ADAM9,ITGAV,65,consensus
CALM1 to PTPRA,26,82.0,CALM1,PTPRA,66,consensus
CD99 to CD81,26,83.0,CD99,CD81,67,consensus
COL4A2 to ITGA1_ITGB1,25,83.0,COL4A2,ITGA1_ITGB1,68,consensus
FN1 to SDC2,26,83.5,FN1,SDC2,69,consensus
ST6GAL1 to EGFR,26,84.0,ST6GAL1,EGFR,70,consensus
NTRK3 to PTPRS,17,84.0,NTRK3,PTPRS,71,consensus
ADAM9 to ITGB1,26,90.0,ADAM9,ITGB1,72,consensus
HSPG2 to FGFR1,26,90.0,HSPG2,FGFR1,73,consensus
LAMA5 to CD44,26,91.0,LAMA5,CD44,74,consensus
HSPG2 to LRP1,26,91.5,HSPG2,LRP1,75,consensus
GAS6 to AXL,26,93.0,GAS6,AXL,76,consensus
NID1 to ITGB1,19,97.0,NID1,ITGB1,77,consensus
COL4A2 to ITGB5,25,97.0,COL4A2,ITGB5,78,consensus
SLIT2 to APP,26,97.0,SLIT2,APP,79,consensus
FN1 to ITGAV_ITGB1,26,97.0,FN1,ITGAV_ITGB1,80,consensus
COL4A3 to CD44,25,98.0,COL4A3,CD44,81,consensus
TGFB1 to LPP,26,100.0,TGFB1,LPP,82,consensus
LAMB1 to CD44,21,101.0,LAMB1,CD44,83,consensus
COL4A4 to CD44,23,101.0,COL4A4,CD44,84,consensus
MDK to NCL,26,102.0,MDK,NCL,85,consensus
SLPI to PLSCR1,26,102.0,SLPI,PLSCR1,86,consensus
LGALS3BP to ITGB1,26,105.5,LGALS3BP,ITGB1,87,consensus
FN1 to ITGA8_ITGB1,23,106.0,FN1,ITGA8_ITGB1,88,consensus
APOE to ABCA1,26,106.5,APOE,ABCA1,89,consensus
COL6A2 to ITGA1_ITGB1,21,107.0,COL6A2,ITGA1_ITGB1,90,consensus
LTF to LRP1,22,107.0,LTF,LRP1,91,consensus
TFPI to LRP1,26,108.5,TFPI,LRP1,92,consensus
ITGAV to THY1,26,109.5,ITGAV,THY1,93,consensus
APP to NOTCH2,26,110.5,APP,NOTCH2,94,consensus
CNTN3 to PTPRG,25,111.0,CNTN3,PTPRG,95,consensus
CGN to TGFBR2,26,111.0,CGN,TGFBR2,96,consensus
LAMA4 to CD44,24,111.5,LAMA4,CD44,97,consensus
NTRK3 to PTPRD,17,112.0,NTRK3,PTPRD,98,consensus
GRN to EGFR,26,112.5,GRN,EGFR,99,consensus
THBS1 to LRP1,26,114.0,THBS1,LRP1,100,consensus
TNC to EGFR,26,114.5,TNC,EGFR,101,consensus
AGRN to LRP1,26,116.0,AGRN,LRP1,102,consensus
APOE to SDC2,26,116.0,APOE,SDC2,103,consensus
LAMB2 to RPSA,25,116.0,LAMB2,RPSA,104,consensus
NTN1 to UNC5C,26,116.5,NTN1,UNC5C,105,consensus
MMP7 to CD151,24,116.5,MMP7,CD151,106,consensus
ADAM10 to AXL,26,117.5,ADAM10,AXL,107,consensus
ADAM10 to GPNMB,26,117.5,ADAM10,GPNMB,108,consensus
TGFB2 to TGFBR3,26,118.0,TGFB2,TGFBR3,109,consensus
NRXN3 to NLGN1,26,119.0,NRXN3,NLGN1,110,consensus
VCL to ITGB5,26,119.0,VCL,ITGB5,111,consensus
HSPG2 to PTPRS,26,119.0,HSPG2,PTPRS,112,consensus
FN1 to PLAUR,26,120.0,FN1,PLAUR,113,consensus
NID1 to ITGAV,19,122.0,NID1,ITGAV,114,consensus
SERPINE1 to LRP1,22,123.5,SERPINE1,LRP1,115,consensus
C3 to CD46,26,124.0,C3,CD46,116,consensus
ANOS1 to SDC2,26,124.0,ANOS1,SDC2,117,consensus
EFEMP1 to EGFR,26,125.0,EFEMP1,EGFR,118,consensus
LGALS3 to ENG,26,125.0,LGALS3,ENG,119,consensus
LRPAP1 to LRP1,26,126.0,LRPAP1,LRP1,120,consensus
ADAM9 to ITGB5,26,126.5,ADAM9,ITGB5,121,consensus
LAMB3 to CD151,26,127.0,LAMB3,CD151,122,consensus
COL18A1 to PTPRS,24,128.5,COL18A1,PTPRS,123,consensus
LAMA3 to SDC2,26,130.0,LAMA3,SDC2,124,consensus
CALM1 to INSR,26,130.5,CALM1,INSR,125,consensus
HBEGF to CD44,26,131.0,HBEGF,CD44,126,consensus
LAMB2 to CD44,25,132.0,LAMB2,CD44,127,consensus
CALM1 to PDE1A,23,136.0,CALM1,PDE1A,128,consensus
COL3A1 to DDR2,20,136.5,COL3A1,DDR2,129,consensus
FGF13 to FGFR1,26,137.5,FGF13,FGFR1,130,consensus
VEGFA to EGFR,25,141.0,VEGFA,EGFR,131,consensus
ADAM17 to ITGB1,26,141.0,ADAM17,ITGB1,132,consensus
VEGFA to ITGB1,25,144.0,VEGFA,ITGB1,133,consensus
TGFB1 to TGFBR3,26,145.0,TGFB1,TGFBR3,134,consensus
PLAU to LRP1,24,145.0,PLAU,LRP1,135,consensus
ADAM12 to ITGB1,26,146.0,ADAM12,ITGB1,136,consensus
SPON2 to ITGB1,26,148.5,SPON2,ITGB1,137,consensus
NRG4 to EGFR,26,150.0,NRG4,EGFR,138,consensus
LAMC2 to CD151,26,150.5,LAMC2,CD151,139,consensus
COL8A1 to ITGA1_ITGB1,26,151.0,COL8A1,ITGA1_ITGB1,140,consensus
SLIT2 to ROBO1,26,153.5,SLIT2,ROBO1,141,consensus
TGM2 to ITGB1,24,153.5,TGM2,ITGB1,142,consensus
TFPI to F3,26,155.0,TFPI,F3,143,consensus
SORBS1 to ITGA1,26,156.0,SORBS1,ITGA1,144,consensus
LAMC1 to ITGA1,26,157.0,LAMC1,ITGA1,145,consensus
VEGFA to ITGAV,25,157.0,VEGFA,ITGAV,146,consensus
BSG to SLC16A7,26,157.5,BSG,SLC16A7,147,consensus
LTBP1 to ITGB5,26,158.5,LTBP1,ITGB5,148,consensus
MFGE8 to ITGAV,26,160.0,MFGE8,ITGAV,149,consensus
COL1A2 to ITGA1_ITGB1,19,160.0,COL1A2,ITGA1_ITGB1,150,consensus
MDK to NOTCH2,26,161.5,MDK,NOTCH2,151,consensus
HSPG2 to ITGB1,26,162.5,HSPG2,ITGB1,152,consensus
COL4A1 to ITGA1_ITGB1,25,163.0,COL4A1,ITGA1_ITGB1,153,consensus
NAMPT to INSR,26,163.5,NAMPT,INSR,154,consensus
SPTAN1 to PTPRA,26,164.0,SPTAN1,PTPRA,155,consensus
GNAI2 to EGFR,26,164.5,GNAI2,EGFR,156,consensus
GRN to TNFRSF1A,26,165.0,GRN,TNFRSF1A,157,consensus
VEGFA to NRP1,25,165.0,VEGFA,NRP1,158,consensus
C1QB to LRP1,26,168.5,C1QB,LRP1,159,consensus
COL21A1 to ITGA1_ITGB1,26,168.5,COL21A1,ITGA1_ITGB1,160,consensus
TIMP2 to ITGB1,26,170.0,TIMP2,ITGB1,161,consensus
TGFB1 to EGFR,26,173.0,TGFB1,EGFR,162,consensus
TNC to ITGA8_ITGB1,23,173.0,TNC,ITGA8_ITGB1,163,consensus
MFGE8 to ITGB5,26,173.0,MFGE8,ITGB5,164,consensus
EDIL3 to ITGAV,25,175.0,EDIL3,ITGAV,165,consensus
C4BPA to LRP1,22,177.0,C4BPA,LRP1,166,consensus
COL4A1 to CD47,25,178.0,COL4A1,CD47,167,consensus
TGFB1 to SDC2,26,180.5,TGFB1,SDC2,168,consensus
PROS1 to AXL,26,181.0,PROS1,AXL,169,consensus
CALR to LRP1,26,181.0,CALR,LRP1,170,consensus
SEMA3C to NRP1_PLXNA2,25,181.0,SEMA3C,NRP1_PLXNA2,171,consensus
PTGS2 to CAV1,26,181.5,PTGS2,CAV1,172,consensus
FGF13 to EGFR,26,182.0,FGF13,EGFR,173,consensus
LAMA2 to ITGA1,26,183.5,LAMA2,ITGA1,174,consensus
SORBS1 to ITGB5,26,184.5,SORBS1,ITGB5,175,consensus
IL16 to CD9,26,184.5,IL16,CD9,176,consensus
ADAM10 to NOTCH2,26,185.5,ADAM10,NOTCH2,177,consensus
AGRN to ITGB1,26,186.5,AGRN,ITGB1,178,consensus
NAMPT to ITGA5_ITGB1,24,187.5,NAMPT,ITGA5_ITGB1,179,consensus
BMP1 to BMPR2,25,192.0,BMP1,BMPR2,180,consensus
TLN1 to ITGB5,26,192.5,TLN1,ITGB5,181,consensus
GNAI2 to IGF1R,26,193.0,GNAI2,IGF1R,182,consensus
AGTRAP to RACK1,26,194.0,AGTRAP,RACK1,183,consensus
CNTN6 to PTPRG,23,195.0,CNTN6,PTPRG,184,consensus
COL1A1 to ITGA1_ITGB1,24,199.5,COL1A1,ITGA1_ITGB1,185,consensus
APP to LRP10,26,200.5,APP,LRP10,186,consensus
TFF3 to ACKR3,24,203.0,TFF3,ACKR3,187,consensus
COL4A5 to ITGA1_ITGB1,26,204.0,COL4A5,ITGA1_ITGB1,188,consensus
CALM3 to EGFR,26,205.0,CALM3,EGFR,189,consensus
CALM3 to RYR2,25,205.0,CALM3,RYR2,190,consensus
ANGPT1 to ITGB1,14,205.5,ANGPT1,ITGB1,191,consensus
LAMB1 to ITGA1,21,206.0,LAMB1,ITGA1,192,consensus
LRIG2 to EGFR,26,206.5,LRIG2,EGFR,193,consensus
TGFB1 to ITGB1,26,206.5,TGFB1,ITGB1,194,consensus
PSEN1 to NOTCH2,26,209.5,PSEN1,NOTCH2,195,consensus
PTPN6 to EGFR,26,210.0,PTPN6,EGFR,196,consensus
VCAN to CD44,19,211.0,VCAN,CD44,197,consensus
SPARC to ENG,25,211.0,SPARC,ENG,198,consensus
CALM3 to CACNA1C,26,213.0,CALM3,CACNA1C,199,consensus
DCN to EGFR,24,213.0,DCN,EGFR,200,consensus
COL18A1 to ITGB5,24,213.0,COL18A1,ITGB5,201,consensus
GNAI2 to CAV1,26,213.5,GNAI2,CAV1,202,consensus
COL6A1 to ITGA1_ITGB1,20,213.5,COL6A1,ITGA1_ITGB1,203,consensus
COL4A2 to ITGA9_ITGB1,25,214.0,COL4A2,ITGA9_ITGB1,204,consensus
TGFB1 to CAV1,26,214.5,TGFB1,CAV1,205,consensus
FN1 to ITGA5_ITGB1,24,217.5,FN1,ITGA5_ITGB1,206,consensus
JAG1 to NOTCH2,26,218.5,JAG1,NOTCH2,207,consensus
FAM3C to LAMP1,26,224.0,FAM3C,LAMP1,208,consensus
HBEGF to CD9,26,226.0,HBEGF,CD9,209,consensus
SPP1 to CD44,19,226.0,SPP1,CD44,210,consensus
CALR to ITGAV,26,226.0,CALR,ITGAV,211,consensus
C4BPA to BMPR2,22,226.5,C4BPA,BMPR2,212,consensus
BSG to SLC16A1,26,229.5,BSG,SLC16A1,213,consensus
COL5A2 to ITGA1_ITGB1,23,232.0,COL5A2,ITGA1_ITGB1,214,consensus
PLAU to ITGB1,24,234.0,PLAU,ITGB1,215,consensus
AZGP1 to ITGAV,21,234.0,AZGP1,ITGAV,216,consensus
EDIL3 to ITGB5,25,237.0,EDIL3,ITGB5,217,consensus
MFGE8 to PDGFRB,26,238.0,MFGE8,PDGFRB,218,consensus
COL18A1 to ITGA1_ITGB1,24,239.0,COL18A1,ITGA1_ITGB1,219,consensus
PAM to FAP,22,240.0,PAM,FAP,220,consensus
SERPINE1 to PLAUR,22,240.0,SERPINE1,PLAUR,221,consensus
COL3A1 to ITGA1_ITGB1,20,241.0,COL3A1,ITGA1_ITGB1,222,consensus
LGALS9 to CD44,23,242.0,LGALS9,CD44,223,consensus
COL4A5 to CD47,26,243.0,COL4A5,CD47,224,consensus
FN1 to ITGA9,26,244.0,FN1,ITGA9,225,consensus
SEMA3E to NRP1,26,244.0,SEMA3E,NRP1,226,consensus
COL28A1 to ITGA1_ITGB1,26,244.5,COL28A1,ITGA1_ITGB1,227,consensus
JAG1 to CD46,26,247.5,JAG1,CD46,228,consensus
COL6A2 to ITGA9_ITGB1,21,248.0,COL6A2,ITGA9_ITGB1,229,consensus
ARF1 to INSR,26,249.0,ARF1,INSR,230,consensus
LGALS9 to LRP1,23,252.0,LGALS9,LRP1,231,consensus
THBS1 to CD47,26,252.5,THBS1,CD47,232,consensus
SCEL to ENG,25,253.0,SCEL,ENG,233,consensus
NRG1 to HLA-DPB1,26,253.0,NRG1,HLA-DPB1,234,consensus
TGFB1 to ITGB5,26,253.5,TGFB1,ITGB5,235,consensus
COL4A4 to ITGA1_ITGB1,23,258.0,COL4A4,ITGA1_ITGB1,236,consensus
FARP2 to PLXNA2,25,261.0,FARP2,PLXNA2,237,consensus
COL4A4 to CD47,23,263.0,COL4A4,CD47,238,consensus
SEMA4A to NRP1_PLXNA2,25,264.0,SEMA4A,NRP1_PLXNA2,239,consensus
COL4A3 to CD47,25,266.0,COL4A3,CD47,240,consensus
C4B to CD46,26,266.5,C4B,CD46,241,consensus
COL4A1 to ITGA9_ITGB1,25,267.0,COL4A1,ITGA9_ITGB1,242,consensus
EFNA5 to EPHA3,22,267.0,EFNA5,EPHA3,243,consensus
PLAU to PLAUR,24,268.5,PLAU,PLAUR,244,consensus
ITGB3BP to ITGB5,26,269.5,ITGB3BP,ITGB5,245,consensus
GPC3 to LRP1,26,270.5,GPC3,LRP1,246,consensus
ANGPTL4 to SDC2,25,271.0,ANGPTL4,SDC2,247,consensus
ANGPTL4 to CDH11,25,272.0,ANGPTL4,CDH11,248,consensus
TGFB2 to ENG,26,275.5,TGFB2,ENG,249,consensus
C4A to NRP1,24,276.5,C4A,NRP1,250,consensus
FBLN1 to ITGB1,24,277.5,FBLN1,ITGB1,251,consensus
LAMC1 to ITGA9_ITGB1,26,277.5,LAMC1,ITGA9_ITGB1,252,consensus
SPON2 to ITGA5,24,281.0,SPON2,ITGA5,253,consensus
COL12A1 to ITGA1_ITGB1,26,281.0,COL12A1,ITGA1_ITGB1,254,consensus
SERPINE1 to ITGB5,22,282.5,SERPINE1,ITGB5,255,consensus
COL4A3 to ITGA1_ITGB1,25,283.0,COL4A3,ITGA1_ITGB1,256,consensus
