resource,pairs,abundance_share_top15,guard_fires,n_egfr_ligands_present,areg_rank_among_egfr_ligands,egfr_ligand_order,top_pair
cellchatdb,313,0.8,True,5,1.0,"AREG, HBEGF, TGFA, EREG, BTC",COL4A2 to CD44
cellphonedb,216,0.4,False,3,1.0,"AREG, EREG, BTC",APP to CD74
consensus,790,0.267,False,0,,,TIMP1 to CD63
connectomedb2020,406,0.2,False,5,1.0,"AREG, HBEGF, TGFA, EREG, BTC",TIMP1 to CD63
italk,539,0.2,False,5,1.0,"AREG, HBEGF, TGFA, EREG, BTC",TIMP1 to CD63
