library,arm,clone,timepoint,state,n_cells,mean_Areg,det_Areg,mean_Ereg,det_Ereg,mean_Hbegf,det_Hbegf,mean_Tgfa,det_Tgfa
Expt1_ConfettiRFP,Confetti_RFP,wild type,Confetti baseline,AT2,3936,0.3594,0.2017,0.0018,0.0013,0.158,0.1174,0.0406,0.0323
Expt1_ConfettiRFP,Confetti_RFP,wild type,Confetti baseline,Cd177_positive,33,0.0746,0.0606,0.0237,0.0303,0.0,0.0,0.0,0.0
Expt1_ConfettiRFP,Confetti_RFP,wild type,Confetti baseline,unassigned,137,0.2604,0.1387,0.0,0.0,0.275,0.1898,0.0077,0.0073
Expt1_ConfettiYFP,Confetti_YFP,wild type,Confetti baseline,AT2,4622,0.2973,0.159,0.0008,0.0006,0.138,0.0939,0.0502,0.0353
Expt1_ConfettiYFP,Confetti_YFP,wild type,Confetti baseline,Cd177_positive,36,0.0597,0.0556,0.2839,0.1944,0.0,0.0,0.0,0.0
Expt1_ConfettiYFP,Confetti_YFP,wild type,Confetti baseline,unassigned,222,0.1351,0.0676,0.0,0.0,0.217,0.1306,0.0041,0.0045
Expt1_4dRFPr1,4d_RFP,KrasG12D,4 days,AT2,3641,0.5353,0.3145,0.0214,0.0181,0.2541,0.2082,0.053,0.0508
Expt1_4dRFPr1,4d_RFP,KrasG12D,4 days,DATP_like,44,2.5535,0.8409,0.4417,0.3864,0.5697,0.4318,0.1824,0.1818
Expt1_4dRFPr1,4d_RFP,KrasG12D,4 days,unassigned,97,0.183,0.1237,0.0,0.0,0.2014,0.1443,0.0102,0.0103
Expt1_4dRFPr2,4d_RFP,KrasG12D,4 days,AT2,1008,0.4935,0.3125,0.0306,0.0258,0.3038,0.2401,0.0658,0.0615
Expt1_4dRFPr2,4d_RFP,KrasG12D,4 days,Cd177_positive,54,0.0,0.0,0.0429,0.037,0.0174,0.0185,0.0,0.0
Expt1_4dRFPr2,4d_RFP,KrasG12D,4 days,DATP_like,541,2.1185,0.854,0.5099,0.3567,0.6746,0.451,0.2398,0.2218
Expt1_4dRFPr2,4d_RFP,KrasG12D,4 days,unassigned,318,0.0877,0.0535,0.007,0.0063,0.0162,0.0126,0.0046,0.0031
Expt1_4dYFPr1,4d_YFP,wild type,4 days,AT2,1741,0.3622,0.2315,0.0045,0.004,0.1701,0.1528,0.0528,0.0551
Expt1_4dYFPr1,4d_YFP,wild type,4 days,Cd177_positive,25,0.1213,0.08,0.0557,0.04,0.0255,0.04,0.0,0.0
Expt1_4dYFPr1,4d_YFP,wild type,4 days,unassigned,159,0.1421,0.0818,0.0,0.0,0.2507,0.195,0.025,0.0189
Expt1_4dYFPr2,4d_YFP,wild type,4 days,AT2,2817,0.4038,0.2872,0.0,0.0,0.1535,0.1416,0.0363,0.0376
Expt1_4dYFPr2,4d_YFP,wild type,4 days,Cd177_positive,44,0.0157,0.0227,0.017,0.0227,0.0,0.0,0.0,0.0
Expt1_4dYFPr2,4d_YFP,wild type,4 days,unassigned,84,0.0442,0.0357,0.0,0.0,0.023,0.0238,0.0,0.0
Expt1_2wRFPr1,2w_RFP,KrasG12D,2 weeks,AT2,3003,1.1283,0.7239,0.1613,0.1815,0.6817,0.6707,0.0635,0.1462
Expt1_2wRFPr1,2w_RFP,KrasG12D,2 weeks,Cd177_positive,42,0.0887,0.0952,0.0504,0.0714,0.0303,0.0476,0.0,0.0
Expt1_2wRFPr1,2w_RFP,KrasG12D,2 weeks,DATP_like,818,2.9211,0.978,0.9357,0.7164,1.3555,0.8619,0.2448,0.4511
Expt1_2wRFPr1,2w_RFP,KrasG12D,2 weeks,unassigned,89,0.1944,0.191,0.0041,0.0112,0.1735,0.191,0.0242,0.0562
Expt1_2wRFPr2,2w_RFP,KrasG12D,2 weeks,AT2,1678,0.6862,0.5185,0.1337,0.1752,0.4994,0.5024,0.0581,0.1132
Expt1_2wRFPr2,2w_RFP,KrasG12D,2 weeks,Cd177_positive,510,0.1371,0.1627,0.0458,0.0765,0.0151,0.0275,0.0,0.0
Expt1_2wRFPr2,2w_RFP,KrasG12D,2 weeks,DATP_like,1058,2.8343,0.9367,0.4922,0.4461,1.2782,0.8072,0.1,0.1758
Expt1_2wRFPr2,2w_RFP,KrasG12D,2 weeks,unassigned,169,0.2154,0.1124,0.0035,0.0059,0.0138,0.0296,0.0103,0.0178
Expt1_2wYFPr1,2w_YFP,wild type,2 weeks,AT2,4047,0.7754,0.449,0.0026,0.0025,0.3522,0.2847,0.0321,0.0343
Expt1_2wYFPr1,2w_YFP,wild type,2 weeks,Cd177_positive,64,0.1322,0.125,0.0,0.0,0.032,0.0312,0.0,0.0
Expt1_2wYFPr1,2w_YFP,wild type,2 weeks,DATP_like,21,2.7558,0.9524,1.197,0.6667,1.4529,0.9048,0.3178,0.4762
Expt1_2wYFPr1,2w_YFP,wild type,2 weeks,unassigned,132,0.2833,0.1439,0.0,0.0,0.1384,0.1061,0.0068,0.0076
Expt1_2wYFPr2,2w_YFP,wild type,2 weeks,AT2,1217,0.271,0.1906,0.0108,0.0131,0.1292,0.1224,0.0178,0.0222
Expt1_2wYFPr2,2w_YFP,wild type,2 weeks,Cd177_positive,599,0.065,0.0601,0.0514,0.0534,0.0074,0.01,0.0,0.0
Expt1_2wYFPr2,2w_YFP,wild type,2 weeks,DATP_like,36,2.3767,0.8611,0.3482,0.3333,0.9445,0.6111,0.1608,0.3056
Expt1_2wYFPr2,2w_YFP,wild type,2 weeks,unassigned,156,0.1319,0.0577,0.0,0.0,0.0149,0.0192,0.0,0.0
