library,arm,clone,timepoint,state,n_cells,pct_of_library
Expt1_ConfettiRFP,Confetti_RFP,wild type,Confetti baseline,AT2,3936,95.86
Expt1_ConfettiRFP,Confetti_RFP,wild type,Confetti baseline,Cd177_positive,33,0.8
Expt1_ConfettiRFP,Confetti_RFP,wild type,Confetti baseline,DATP_like,0,0.0
Expt1_ConfettiRFP,Confetti_RFP,wild type,Confetti baseline,unassigned,137,3.34
Expt1_ConfettiYFP,Confetti_YFP,wild type,Confetti baseline,AT2,4622,94.71
Expt1_ConfettiYFP,Confetti_YFP,wild type,Confetti baseline,Cd177_positive,36,0.74
Expt1_ConfettiYFP,Confetti_YFP,wild type,Confetti baseline,DATP_like,0,0.0
Expt1_ConfettiYFP,Confetti_YFP,wild type,Confetti baseline,unassigned,222,4.55
Expt1_4dRFPr1,4d_RFP,KrasG12D,4 days,AT2,3641,95.89
Expt1_4dRFPr1,4d_RFP,KrasG12D,4 days,Cd177_positive,15,0.4
Expt1_4dRFPr1,4d_RFP,KrasG12D,4 days,DATP_like,44,1.16
Expt1_4dRFPr1,4d_RFP,KrasG12D,4 days,unassigned,97,2.55
Expt1_4dRFPr2,4d_RFP,KrasG12D,4 days,AT2,1008,52.47
Expt1_4dRFPr2,4d_RFP,KrasG12D,4 days,Cd177_positive,54,2.81
Expt1_4dRFPr2,4d_RFP,KrasG12D,4 days,DATP_like,541,28.16
Expt1_4dRFPr2,4d_RFP,KrasG12D,4 days,unassigned,318,16.55
Expt1_4dYFPr1,4d_YFP,wild type,4 days,AT2,1741,90.39
Expt1_4dYFPr1,4d_YFP,wild type,4 days,Cd177_positive,25,1.3
Expt1_4dYFPr1,4d_YFP,wild type,4 days,DATP_like,1,0.05
Expt1_4dYFPr1,4d_YFP,wild type,4 days,unassigned,159,8.26
Expt1_4dYFPr2,4d_YFP,wild type,4 days,AT2,2817,95.56
Expt1_4dYFPr2,4d_YFP,wild type,4 days,Cd177_positive,44,1.49
Expt1_4dYFPr2,4d_YFP,wild type,4 days,DATP_like,3,0.1
Expt1_4dYFPr2,4d_YFP,wild type,4 days,unassigned,84,2.85
Expt1_2wRFPr1,2w_RFP,KrasG12D,2 weeks,AT2,3003,75.99
Expt1_2wRFPr1,2w_RFP,KrasG12D,2 weeks,Cd177_positive,42,1.06
Expt1_2wRFPr1,2w_RFP,KrasG12D,2 weeks,DATP_like,818,20.7
Expt1_2wRFPr1,2w_RFP,KrasG12D,2 weeks,unassigned,89,2.25
Expt1_2wRFPr2,2w_RFP,KrasG12D,2 weeks,AT2,1678,49.14
Expt1_2wRFPr2,2w_RFP,KrasG12D,2 weeks,Cd177_positive,510,14.93
Expt1_2wRFPr2,2w_RFP,KrasG12D,2 weeks,DATP_like,1058,30.98
Expt1_2wRFPr2,2w_RFP,KrasG12D,2 weeks,unassigned,169,4.95
Expt1_2wYFPr1,2w_YFP,wild type,2 weeks,AT2,4047,94.91
Expt1_2wYFPr1,2w_YFP,wild type,2 weeks,Cd177_positive,64,1.5
Expt1_2wYFPr1,2w_YFP,wild type,2 weeks,DATP_like,21,0.49
Expt1_2wYFPr1,2w_YFP,wild type,2 weeks,unassigned,132,3.1
Expt1_2wYFPr2,2w_YFP,wild type,2 weeks,AT2,1217,60.61
Expt1_2wYFPr2,2w_YFP,wild type,2 weeks,Cd177_positive,599,29.83
Expt1_2wYFPr2,2w_YFP,wild type,2 weeks,DATP_like,36,1.79
Expt1_2wYFPr2,2w_YFP,wild type,2 weeks,unassigned,156,7.77
