leiden_cluster,AT0,AT1,AT2,AT2 proliferating,Basal resting,CD4 T cells,Classical monocytes,Club (non-nasal),DC2,Deuterosomal,EC general capillary,Goblet (bronchial),Interstitial Mph perivascular,Ionocyte,Mast cells,Multiciliated (non-nasal),Neuroendocrine,Suprabasal,Tuft,Unknown,pre-TB secretory
0,0,0,330,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,196,0,241,0
10,0,0,7,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,51,18
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1413,0,0,0,9,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,11,0,1,8,2
14,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,52,0,0,0,32,7
15,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,3,0,61,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,48,0
17,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,394
18,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
19,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,5,0,2,0,2,1,1,0,0,0,1,0,0,68,0,1,0,68,26
3,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,236
4,75,6,126,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,117,1
5,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,7,0,100,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0
7,0,347,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1
8,0,0,1,0,0,0,0,41,0,2,0,5,0,0,1,3,0,10,0,132,32
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,389,0,0,0,26,0
