donor,n_cells,mean_uncertainty,median_uncertainty,unknown_fraction_u0.2,unknown_fraction_u0.3
DD046Q,8957,0.1621,0.08,0.3346,0.2356
DD047Q,10493,0.0926,0.0,0.183,0.1243
DD073R,8279,0.156,0.0601,0.3255,0.2341
