cohort,module,eligible_units,minimum,maximum,positive
GSE247130,ADI_published_holdout,5,0.012615161880832892,0.06048159574179682,5
GSE247130,AT1_published_holdout,5,-0.001269909305260386,0.04656831183333526,4
GSE247130,AT2_published_holdout,5,-0.07005730636997132,-0.002385192118928292,0
GSE247130,DATP_PATS_holdout_panel,5,0.040863792766269606,0.09124528101834431,5
GSE247130,HALLMARK_HYPOXIA,5,0.004341724128691202,0.018774217831746903,5
GSE247130,HALLMARK_INFLAMMATORY_RESPONSE,5,0.0025531509958044984,0.009110887581203105,5
GSE247130,HALLMARK_P53_PATHWAY,5,0.002683774558774596,0.015275499278255403,5
GSE247130,HPCS_author_top100,5,0.020133511391872097,0.0520867464209149,5
GSE247130,HPCS_excluding_operational_markers,5,0.010021099425351704,0.04254652599900689,5
GSE247130,HPCS_without_ADI_or_operational_markers,5,0.008555791997988602,0.03854098163639609,5
GSE277777,ADI_published_holdout,2,0.09576923999394032,0.13118285914996675,2
GSE277777,AT1_published_holdout,2,0.02561513354122802,0.06030520010321111,2
GSE277777,AT2_published_holdout,2,-0.11408071479147361,-0.10866416038597182,0
GSE277777,DATP_PATS_holdout_panel,2,0.267154857361043,0.30307173256301145,2
GSE277777,HALLMARK_HYPOXIA,2,0.025007554208036825,0.04313637542970521,2
GSE277777,HALLMARK_INFLAMMATORY_RESPONSE,2,0.004930358237918403,0.0129249335707513,2
GSE277777,HALLMARK_P53_PATHWAY,2,0.005285131058327008,0.035853050783920315,2
GSE277777,HPCS_author_top100,2,0.0777450549699655,0.09288315427606578,2
GSE277777,HPCS_excluding_operational_markers,2,0.0737018823895972,0.0895596972002323,2
GSE277777,HPCS_without_ADI_or_operational_markers,2,0.0662617581996709,0.077865894494657,2
GSE300288,ADI_published_holdout,4,0.01026297131042031,0.05853199837640388,4
GSE300288,AT1_published_holdout,4,-0.212719739125449,-0.1931142623397874,0
GSE300288,AT2_published_holdout,4,-0.03260768874478928,0.006798264238541907,3
GSE300288,DATP_PATS_holdout_panel,4,-0.05792127748984449,0.05105263157894738,2
GSE300288,HALLMARK_HYPOXIA,4,-0.008197313147037505,6.608511763149527e-05,1
GSE300288,HALLMARK_INFLAMMATORY_RESPONSE,4,-0.013734382641945597,-0.0033266053674217005,0
GSE300288,HALLMARK_P53_PATHWAY,4,-0.005507716434916099,0.0234413352970054,3
GSE300288,HPCS_author_top100,4,-0.007154096581660302,0.011763150938408698,1
GSE300288,HPCS_excluding_operational_markers,4,-0.0096371191135734,0.01002506265664159,1
GSE300288,HPCS_without_ADI_or_operational_markers,4,-0.0138935406698565,0.004682817182817198,1
GSE310539,ADI_published_holdout,2,0.06000732985544588,0.08333427274346727,2
GSE310539,AT1_published_holdout,2,0.034752402966310714,0.03682157984193457,2
GSE310539,AT2_published_holdout,2,-0.0773643303388834,-0.057759287791608716,0
GSE310539,DATP_PATS_holdout_panel,2,0.1384877449711103,0.1410053915183095,2
GSE310539,HALLMARK_HYPOXIA,2,0.016842217500457293,0.017427891453650396,2
GSE310539,HALLMARK_INFLAMMATORY_RESPONSE,2,0.008679298630003503,0.009036306930054791,2
GSE310539,HALLMARK_P53_PATHWAY,2,0.016257161669571307,0.018305606817194994,2
GSE310539,HPCS_author_top100,2,0.046537998630174895,0.0633712320314464,2
GSE310539,HPCS_excluding_operational_markers,2,0.03696145573876179,0.0535937521885899,2
GSE310539,HPCS_without_ADI_or_operational_markers,2,0.0323274034038698,0.046943761423421396,2
