"NGenes","Correlation","Direction","PValue","FDR","set","compartment","label","cell_floor","correlation_setting","n_control","n_antiIL1B","assayed_fraction","FDR_global_early","FDR_reserving_late_family"
162,0.157255526666443,"Down",0.748658680063709,0.773500760334052,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","alveolar","__broad__",50,"estimated",4,3,0.98469387755102,0.844561368196336,1
111,0.0387488272940905,"Up",0.504860570299733,0.773500760334052,"HALLMARK_INFLAMMATORY_RESPONSE","alveolar","__broad__",50,"estimated",4,3,0.99492385786802,0.83646590542218,1
59,0.0327446291739973,"Down",0.66888868622466,0.773500760334052,"HALLMARK_IL6_JAK_STAT3_SIGNALING","alveolar","__broad__",50,"estimated",4,3,0.976470588235294,0.841528415398144,1
142,0.00936877459414359,"Up",0.704553166506588,0.773500760334052,"HALLMARK_HYPOXIA","alveolar","__broad__",50,"estimated",4,3,0.974874371859297,0.844561368196336,1
147,0.0316830755896083,"Up",0.773500760334052,0.773500760334052,"HALLMARK_GLYCOLYSIS","alveolar","__broad__",50,"estimated",4,3,0.985,0.847167499413485,1
167,0.0247088063428991,"Down",0.166310852151481,0.49250494644581,"HALLMARK_P53_PATHWAY","alveolar","__broad__",50,"estimated",4,3,0.97,0.829862052259875,1
123,0.0742384900412304,"Down",0.123093715872941,0.49250494644581,"HALLMARK_E2F_TARGETS","alveolar","__broad__",50,"estimated",4,3,0.979899497487437,0.829862052259875,1
120,0.0394310888305723,"Down",0.184689354917179,0.49250494644581,"HALLMARK_G2M_CHECKPOINT","alveolar","__broad__",50,"estimated",4,3,0.969230769230769,0.829862052259875,1
162,0.01,"Down",0.283678564884894,0.453885703815831,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","alveolar","__broad__",50,"fixed001",4,3,0.98469387755102,0.449396779653597,0.898793559307194
111,0.01,"Up",0.256468655125241,0.453885703815831,"HALLMARK_INFLAMMATORY_RESPONSE","alveolar","__broad__",50,"fixed001",4,3,0.99492385786802,0.449396779653597,0.898793559307194
59,0.01,"Down",0.538973841441003,0.693455338658646,"HALLMARK_IL6_JAK_STAT3_SIGNALING","alveolar","__broad__",50,"fixed001",4,3,0.976470588235294,0.635712736058619,1
142,0.01,"Up",0.693455338658646,0.693455338658646,"HALLMARK_HYPOXIA","alveolar","__broad__",50,"fixed001",4,3,0.974874371859297,0.771672923327319,1
147,0.01,"Up",0.646490388449306,0.693455338658646,"HALLMARK_GLYCOLYSIS","alveolar","__broad__",50,"fixed001",4,3,0.985,0.743463946716701,1
167,0.01,"Down",0.0251744140867603,0.0671317708980274,"HALLMARK_P53_PATHWAY","alveolar","__broad__",50,"fixed001",4,3,0.97,0.107338968101351,0.214677936202703
123,0.01,"Down",8.37833225577445e-05,0.000670266580461956,"HALLMARK_E2F_TARGETS","alveolar","__broad__",50,"fixed001",4,3,0.979899497487437,0.00128467761255208,0.00256935522510416
120,0.01,"Down",0.0133368265810101,0.0533473063240405,"HALLMARK_G2M_CHECKPOINT","alveolar","__broad__",50,"fixed001",4,3,0.969230769230769,0.0876420032466380,0.175284006493276
162,0.157255526666443,"Down",0.748658680063709,0.773500760334052,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","alveolar","__broad__",30,"estimated",4,3,0.98469387755102,0.850341377559999,1
111,0.0387488272940905,"Up",0.504860570299733,0.773500760334052,"HALLMARK_INFLAMMATORY_RESPONSE","alveolar","__broad__",30,"estimated",4,3,0.99492385786802,0.850341377559999,1
59,0.0327446291739973,"Down",0.66888868622466,0.773500760334052,"HALLMARK_IL6_JAK_STAT3_SIGNALING","alveolar","__broad__",30,"estimated",4,3,0.976470588235294,0.850341377559999,1
142,0.00936877459414359,"Up",0.704553166506588,0.773500760334052,"HALLMARK_HYPOXIA","alveolar","__broad__",30,"estimated",4,3,0.974874371859297,0.850341377559999,1
147,0.0316830755896083,"Up",0.773500760334052,0.773500760334052,"HALLMARK_GLYCOLYSIS","alveolar","__broad__",30,"estimated",4,3,0.985,0.857882661461403,1
167,0.0247088063428991,"Down",0.166310852151481,0.49250494644581,"HALLMARK_P53_PATHWAY","alveolar","__broad__",30,"estimated",4,3,0.97,0.850341377559999,1
123,0.0742384900412304,"Down",0.123093715872941,0.49250494644581,"HALLMARK_E2F_TARGETS","alveolar","__broad__",30,"estimated",4,3,0.979899497487437,0.850341377559999,1
120,0.0394310888305723,"Down",0.184689354917179,0.49250494644581,"HALLMARK_G2M_CHECKPOINT","alveolar","__broad__",30,"estimated",4,3,0.969230769230769,0.850341377559999,1
162,0.01,"Down",0.283678564884894,0.453885703815831,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","alveolar","__broad__",30,"fixed001",4,3,0.98469387755102,0.47047832194856,0.940956643897119
111,0.01,"Up",0.256468655125241,0.453885703815831,"HALLMARK_INFLAMMATORY_RESPONSE","alveolar","__broad__",30,"fixed001",4,3,0.99492385786802,0.460134940077638,0.920269880155276
59,0.01,"Down",0.538973841441003,0.693455338658646,"HALLMARK_IL6_JAK_STAT3_SIGNALING","alveolar","__broad__",30,"fixed001",4,3,0.976470588235294,0.657548086558024,1
142,0.01,"Up",0.693455338658646,0.693455338658646,"HALLMARK_HYPOXIA","alveolar","__broad__",30,"fixed001",4,3,0.974874371859297,0.7959041986975,1
147,0.01,"Up",0.646490388449306,0.693455338658646,"HALLMARK_GLYCOLYSIS","alveolar","__broad__",30,"fixed001",4,3,0.985,0.758382955680916,1
167,0.01,"Down",0.0251744140867603,0.0671317708980274,"HALLMARK_P53_PATHWAY","alveolar","__broad__",30,"fixed001",4,3,0.97,0.124548204834992,0.249096409669984
123,0.01,"Down",8.37833225577445e-05,0.000670266580461956,"HALLMARK_E2F_TARGETS","alveolar","__broad__",30,"fixed001",4,3,0.979899497487437,0.0012776956690056,0.00255539133801121
