resource,family,view,ligand,receptor,human_ligand,human_receptor,source,source_label,target,target_label,cell_floor,prior_count,gsm,treatment,ligand_min,receptor_min,score
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,-0.303634247139908,1.441984262571956
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,-0.303634247139911,1.8465514252958695
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,-0.303634247139913,0.8137580623632935
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,2.20447149954523,2.726031869906145
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,-0.303634247139911,1.2482997541939296
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,2.87301865476796,3.268518610932885
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,-0.303634247139908,1.200566456448316
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057709,Control IgG,3.18760277228382,-0.303634247139908,1.441984262571956
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057712,Control IgG,3.99673709773165,-0.303634247139911,1.8465514252958695
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057713,anti-IL-1β,1.9311503718665,-0.303634247139913,0.8137580623632935
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057716,Control IgG,3.24759224026706,2.20447149954523,2.726031869906145
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057717,anti-IL-1β,2.80023375552777,-0.303634247139911,1.2482997541939296
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057720,Control IgG,3.66401856709781,2.87301865476796,3.268518610932885
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,GSM9057721,anti-IL-1β,2.70476716003654,-0.303634247139908,1.200566456448316
