resource,family,view,ligand,receptor,human_ligand,human_receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_antiIL1B,difference_antiIL1B_minus_IgG,ligand_component_difference,receptor_component_difference,loo_min,loo_max,inference
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-1.2332301178415344,-1.0452705735348151,-1.4211896621482534,-1.5261592110431204,-0.9173144282561438,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-1.2332301178415344,-1.0452705735348151,-1.4211896621482534,-1.5261592110431204,-0.9173144282561438,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.7243661744371357,-1.0452705735348151,-0.4034617753394554,-0.8214892588285303,-0.6150766021480636,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.7243661744371357,-1.0452705735348151,-0.4034617753394554,-0.8214892588285303,-0.6150766021480636,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.6196176129929332,-1.0452705735348151,-0.19396465245105077,-0.774047471229454,-0.5097486567874543,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.593786539932387,-1.0452705735348151,-0.14230250632995745,-0.7326143911427354,-0.4857085640575085,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.6562948847863206,-1.0452705735348151,-0.2673191960378274,-0.7954981143963122,-0.526056561190825,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.6562948847863206,-1.0452705735348151,-0.2673191960378274,-0.7954981143963122,-0.526056561190825,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.37723327892145164,-1.0452705735348151,0.29080401569191094,-0.545983159311326,-0.17286130216896867,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.7748205409780944,-1.0452705735348151,-0.5043705084213732,-1.0324003614034476,-0.6066672815823901,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.6565379962071347,-1.0452705735348151,-0.2678054188794554,-1.0990797996907118,-0.11485829673584602,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.6081511581051533,-1.0452705735348151,-0.17103174267549187,-0.8085353063929912,-0.3993236610035755,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.605779206579137,-1.0452705735348151,-0.16628783962345928,-0.7449824361891286,-0.5134943757254313,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.34385960328096754,-1.0452705735348151,0.3575513669728805,-0.46648339169333486,-0.20283299527542997,descriptive_no_p_value
consensus,exploratory,broad,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,fibroblast,__broad__,alveolar,__broad__,50,1.0,4,3,-0.5540830743091956,-1.0452705735348151,-0.06289557508357646,-0.6439626081251975,-0.41540259629396914,descriptive_no_p_value
