compartment,set,early_days,late_days,animals,size,nes,fdr,matched_p,matched_nes,clears
myeloid,REPO_MYELOID_IMON_SUBCLUSTER_TOP20,"[6, 11]",[366],4 against 3,20,2.9829904782956596,0.0,0.0,2.2133279110845403,True
myeloid,HALLMARK_G2M_CHECKPOINT (context only),"[6, 11]",[366],,175,-0.9486945681705187,0.7287963464857354,,,
myeloid,HALLMARK_INFLAMMATORY_RESPONSE (context only),"[6, 11]",[366],,155,2.0654767802391674,0.002317720907774022,,,
capillary,REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,"[19, 25]",[366],4 against 3,20,2.072815042214476,0.0,0.008,1.6987424565388924,True
capillary,HALLMARK_G2M_CHECKPOINT (context only),"[19, 25]",[366],,170,-0.9022162106534498,1.0,,,
capillary,HALLMARK_INFLAMMATORY_RESPONSE (context only),"[19, 25]",[366],,120,1.5427247571592446,0.016709287457863535,,,
