weighting	contrast	effect_pp	permutations	extreme	p_two_sided
count_weighted_percent	(mut_de_novo-mut_in_situ)-(wt_de_novo-wt_in_situ)	24.55313398470798	20	2	0.1
equal_field_percent	(mut_de_novo-mut_in_situ)-(wt_de_novo-wt_in_situ)	24.267267349245106	20	2	0.1
