source_label	mouse_tag	group	library	gsm	driver	chase_days	harvest_week_as_listed	sex	slc4a11_genotype	rosa26_genotype	hopx_genotype	retained_cells	source_sheet	source_range	evidence	current_reporter
BO1535_B0302	BO1535	6wk_3d	IGO17402	GSM9193565	Slc4a11	3	6.0	F	FSF-MCD/+	mTmG/+	+/+	76	Mice	A81:M81	exact animal tag plus library and driver agreement	not available for these traced cells
BO1540_B0303	BO1540	6wk_3d	IGO17402	GSM9193565	Slc4a11	3	6.0	F	FSF-MCD/+	mTmG/+	+/+	146	Mice	A82:M82	exact animal tag plus library and driver agreement	not available for these traced cells
BR1128_B0307	BR1128	6wk_3d	IGO17402	GSM9193565	Slc4a11	3	6.0	M	FSF-MCD/+	mTmG/mTmG	+/+	28	Mice	A86:M86	exact animal tag plus library and driver agreement	not available for these traced cells
BR1615_B0304	BR1615	6wk_3d	IGO17402	GSM9193565	Slc4a11	3	6.0	F	FSF-MCD/FSF-MCD	mTmG/+	+/+	158	Mice	A83:M83	exact animal tag plus library and driver agreement	not available for these traced cells
BS1265_B0305	BS1265	6wk_3d	IGO17402	GSM9193565	Slc4a11	3	6.0	F	FSF-MCD/+	mTmG/+	+/+	178	Mice	A84:M84	exact animal tag plus library and driver agreement	not available for these traced cells
BH1065_B0301_GFP+	BH1065	8wk	IGO15601	GSM8529528	Slc4a11	14	8.0	F	FSF-MCD/+	mTmG/+	+/+	138	Mice	A7:M7	exact animal tag plus library and driver agreement	not available for these traced cells
BH1094_B0302_GFP+	BH1094	8wk	IGO15601	GSM8529528	Slc4a11	14	8.0	M	FSF-MCD/+	mTmG/+	+/+	376	Mice	A8:M8	exact animal tag plus library and driver agreement	not available for these traced cells
BH1129_B0303_GFP+	BH1129	8wk	IGO15601	GSM8529528	Slc4a11	14	8.0	M	FSF-MCD/+	mTmG/+	+/+	90	Mice	A9:M9	exact animal tag plus library and driver agreement	not available for these traced cells
BH1290_B0304_GFP+	BH1290	8wk	IGO15601	GSM8529528	Slc4a11	14	8.0	M	FSF-MCD/+	mTmG/+	+/+	138	Mice	A10:M10	exact animal tag plus library and driver agreement	not available for these traced cells
BL1121_B0304	BL1121	12wk_3d	IGO16686	GSM9193563	Slc4a11	3	12.0	F	MCD/MCD	mTmG/+	+/+	57	Mice	A74:M74	exact animal tag plus library and driver agreement	not available for these traced cells
BL1124_B0305	BL1124	12wk_3d	IGO16686	GSM9193563	Slc4a11	3	12.0	F	MCD/+	mTmG/+	+/+	67	Mice	A75:M75	exact animal tag plus library and driver agreement	not available for these traced cells
BL1233_B0306	BL1233	12wk_3d	IGO16686	GSM9193563	Slc4a11	3	12.0	F	MCD/MCD	mTmG/+	+/+	58	Mice	A76:M76	exact animal tag plus library and driver agreement	not available for these traced cells
BL1237_B0302	BL1237	12wk_3d	IGO16686	GSM9193563	Slc4a11	3	12.0	M	FSF-MCD/FSF-MCD	mTmG/+	+/+	239	Mice	A72:M72	exact animal tag plus library and driver agreement	not available for these traced cells
BL1606_B0303	BL1606	12wk_3d	IGO16686	GSM9193563	Slc4a11	3	12.0	M	FSF-MCD/FSF-MCD	mTmG/+	+/+	354	Mice	A73:M73	exact animal tag plus library and driver agreement	not available for these traced cells
BL1646_B0301	BL1646	12wk_3d	IGO16686	GSM9193563	Slc4a11	3	12.0	M	FSF-MCD/+	mTmG/mTmG	+/+	102	Mice	A71:M71	exact animal tag plus library and driver agreement	not available for these traced cells
BD1621_B0302_GFP+	BD1621	14wk	IGO15600	GSM8529526	Slc4a11	14	14.0	M	FSF-MCD/+	mTmG/+	+/+	119	Mice	A14:M14	exact animal tag plus library and driver agreement	not available for these traced cells
BF1303_B0301_GFP+	BF1303	14wk	IGO15600	GSM8529526	Slc4a11	14	14.0	M	FSF-MCD/+	mTmG/mTmG	+/+	811	Mice	A13:M13	exact animal tag plus library and driver agreement	not available for these traced cells
BH1066_GFP+	BH1066	14wk	IGO15771	GSM8529530	Slc4a11	14	14.0	F	FSF-MCD/FSF-MCD	mTmG/mTmG	+/+	61	Mice	A15:M15	exact animal tag plus library and driver agreement	not available for these traced cells
BQ1151_B0308	BQ1151	Hopx_12wk3d	IGO17402	GSM9193565	Hopx	3	12.0	M	+/+	mTmG/+	FSF-MACD/+	648	Mice	A87:M87	exact animal tag plus library and driver agreement	not available for these traced cells
BQ1152_B0309	BQ1152	Hopx_12wk3d	IGO17402	GSM9193565	Hopx	3	12.0	M	+/+	mTmG/+	FSF-MACD/+	578	Mice	A88:M88	exact animal tag plus library and driver agreement	not available for these traced cells
BP1479_B0309	BP1479	Hopx_12wk14d	IGO17543	GSM9193567	Hopx	14	14.0	M	+/+	mTmG/+	FSF-MACD/+	361	Mice	A92:M92	exact animal tag plus library and driver agreement	not available for these traced cells
BQ1920_B0308	BQ1920	Hopx_12wk14d	IGO17543	GSM9193567	Hopx	14	14.0	M	+/+	mTmG/+	FSF-MACD/+	550	Mice	A91:M91	exact animal tag plus library and driver agreement	not available for these traced cells
