genotype	region	weighting	n	mean	sd	minimum	maximum
wt	in_situ	count_weighted_percent	3	17.30038923933145	4.5005416833304785	14.043583535108958	22.435897435897438
wt	de_novo	count_weighted_percent	3	3.625702830662203	1.4466955493987623	2.108433734939759	4.98960498960499
mut	in_situ	count_weighted_percent	3	1.2404775185522932	0.1734004843059809	1.0638297872340425	1.4104372355430184
mut	de_novo	count_weighted_percent	3	12.118925094591026	6.104592396281795	8.01987224982257	19.13477537437604
wt	in_situ	equal_field_percent	3	17.540231401000874	5.592692468579294	13.728200787854089	23.960615545122586
wt	de_novo	equal_field_percent	3	3.8273118407938775	1.6731975366253482	1.9092503875112572	4.987265917602996
mut	in_situ	equal_field_percent	3	1.3871093755600534	0.13165169498530896	1.2508499663646142	1.5136102960675621
mut	de_novo	equal_field_percent	3	11.941457164598162	5.954950329590593	8.036629811059873	18.79547016528042
