genotype	mouse	region	field	positive	total	percent	sheet	source_range
wt	wt_1	in_situ	1	12	115	10.434782608695652	wt SeV in situ	A3:E3
wt	wt_1	in_situ	2	18	146	12.32876712328767	wt SeV in situ	A4:E4
wt	wt_1	in_situ	3	28	152	18.421052631578945	wt SeV in situ	A5:E5
wt	wt_2	in_situ	1	12	118	10.16949152542373	wt SeV in situ	A6:E6
wt	wt_2	in_situ	2	20	124	16.129032258064516	wt SeV in situ	A7:E7
wt	wt_2	in_situ	3	32	173	18.497109826589593	wt SeV in situ	A8:E8
wt	wt_3	in_situ	1	11	71	15.492957746478872	wt SeV in situ	A9:E9
wt	wt_3	in_situ	2	13	45	28.888888888888886	wt SeV in situ	A10:E10
wt	wt_3	in_situ	3	11	40	27.500000000000004	wt SeV in situ	A11:E11
wt	wt_1	de_novo	1	4	185	2.1621621621621623	wt SeV de novo	A3:E3
wt	wt_1	de_novo	2	1	180	0.5555555555555556	wt SeV de novo	A4:E4
wt	wt_1	de_novo	3	9	299	3.0100334448160537	wt SeV de novo	A5:E5
wt	wt_2	de_novo	1	6	323	1.8575851393188854	wt SeV de novo	A6:E6
wt	wt_2	de_novo	2	4	204	1.9607843137254901	wt SeV de novo	A7:E7
wt	wt_2	de_novo	3	16	161	9.937888198757763	wt SeV de novo	A8:E8
wt	wt_3	de_novo	1	22	445	4.943820224719101	wt SeV de novo	A9:E9
wt	wt_3	de_novo	2	11	250	4.3999999999999995	wt SeV de novo	A10:E10
wt	wt_3	de_novo	3	15	267	5.617977528089887	wt SeV de novo	A11:E11
mut	mut_1	in_situ	1	4	213	1.8779342723004695	mut SeV in situ	A3:E3
mut	mut_1	in_situ	2	3	173	1.7341040462427744	mut SeV in situ	A4:E4
mut	mut_1	in_situ	3	3	323	0.9287925696594427	mut SeV in situ	A5:E5
mut	mut_2	in_situ	1	3	127	2.3622047244094486	mut SeV in situ	A6:E6
mut	mut_2	in_situ	2	1	226	0.4424778761061947	mut SeV in situ	A7:E7
mut	mut_2	in_situ	3	2	211	0.9478672985781991	mut SeV in situ	A8:E8
mut	mut_3	in_situ	1	2	226	0.8849557522123894	mut SeV in situ	A9:E9
mut	mut_3	in_situ	2	6	516	1.1627906976744187	mut SeV in situ	A10:E10
mut	mut_3	in_situ	3	3	140	2.142857142857143	mut SeV in situ	A11:E11
mut	mut_1	de_novo	1	69	716	9.636871508379889	mut SeV de novo	A3:E3
mut	mut_1	de_novo	2	34	499	6.813627254509018	mut SeV de novo	A4:E4
mut	mut_1	de_novo	3	70	665	10.526315789473683	mut SeV de novo	A5:E5
mut	mut_2	de_novo	1	130	612	21.241830065359476	mut SeV de novo	A6:E6
mut	mut_2	de_novo	2	155	638	24.294670846394983	mut SeV de novo	A7:E7
mut	mut_2	de_novo	3	60	553	10.849909584086799	mut SeV de novo	A8:E8
mut	mut_3	de_novo	1	32	471	6.794055201698514	mut SeV de novo	A9:E9
mut	mut_3	de_novo	2	35	477	7.337526205450734	mut SeV de novo	A10:E10
mut	mut_3	de_novo	3	46	461	9.97830802603037	mut SeV de novo	A11:E11
