genotype	mouse	region	positive	total	fields	count_weighted_percent	equal_field_percent
wt	wt_1	in_situ	58	413	3	14.043583535108958	13.728200787854089
wt	wt_2	in_situ	64	415	3	15.421686746987953	14.931877870025946
wt	wt_3	in_situ	35	156	3	22.435897435897438	23.960615545122586
wt	wt_1	de_novo	14	664	3	2.108433734939759	1.9092503875112572
wt	wt_2	de_novo	26	688	3	3.77906976744186	4.585419217267379
wt	wt_3	de_novo	48	962	3	4.98960498960499	4.987265917602996
mut	mut_1	in_situ	10	709	3	1.4104372355430184	1.5136102960675621
mut	mut_2	in_situ	6	564	3	1.0638297872340425	1.2508499663646142
mut	mut_3	in_situ	11	882	3	1.2471655328798186	1.3968678642479837
mut	mut_1	de_novo	173	1880	3	9.202127659574467	8.992271517454196
mut	mut_2	de_novo	345	1803	3	19.13477537437604	18.79547016528042
mut	mut_3	de_novo	113	1409	3	8.01987224982257	8.036629811059873
