gene	supplied_set	source_cell	evidence
ABCA12	ATF3_unique	A3	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABCA4	HNF1B_unique	B3	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABI3BP	ATF3 _HNF1B_common	C3	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HABP2	iATCs _upregulated	D3	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABCC12	ATF3_unique	A4	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABHD17C	HNF1B_unique	B4	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADAMTS5	ATF3 _HNF1B_common	C4	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TM4SF4	iATCs _upregulated	D4	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABHD2	ATF3_unique	A5	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACAP2	HNF1B_unique	B5	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADGRB3	ATF3 _HNF1B_common	C5	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
BCAS1	iATCs _upregulated	D5	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABI1	ATF3_unique	A6	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADAM7	HNF1B_unique	B6	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADGRL2	ATF3 _HNF1B_common	C6	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZBTB20	iATCs _upregulated	D6	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABLIM1	ATF3_unique	A7	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADCY2	HNF1B_unique	B7	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADNP	ATF3 _HNF1B_common	C7	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
HGD	iATCs _upregulated	D7	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABRA	ATF3_unique	A8	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADCY8	HNF1B_unique	B8	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADRA1B	ATF3 _HNF1B_common	C8	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NFKBIZ	iATCs _upregulated	D8	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ABTB1	ATF3_unique	A9	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AGA	HNF1B_unique	B9	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AEBP2	ATF3 _HNF1B_common	C9	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CFTR	iATCs _upregulated	D9	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACCSL	ATF3_unique	A10	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AGXT2	HNF1B_unique	B10	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AGR3	ATF3 _HNF1B_common	C10	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CERS6	iATCs _upregulated	D10	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACE2	ATF3_unique	A11	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AKAP6	HNF1B_unique	B11	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AHR	ATF3 _HNF1B_common	C11	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
DIAPH2	iATCs _upregulated	D11	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACMSD	ATF3_unique	A12	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALCAM	HNF1B_unique	B12	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALPK2	ATF3 _HNF1B_common	C12	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
MTCL1	iATCs _upregulated	D12	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACO1	ATF3_unique	A13	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALDH1L2	HNF1B_unique	B13	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AMMECR1	ATF3 _HNF1B_common	C13	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SQOR	iATCs _upregulated	D13	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACPP	ATF3_unique	A14	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ALX1	HNF1B_unique	B14	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANXA2R	ATF3 _HNF1B_common	C14	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AREG	iATCs _upregulated	D14	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACSL5	ATF3_unique	A15	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANGPT1	HNF1B_unique	B15	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
APOB	ATF3 _HNF1B_common	C15	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
FOXA1	iATCs _upregulated	D15	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACTBL2	ATF3_unique	A16	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKRD30B	HNF1B_unique	B16	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
APP	ATF3 _HNF1B_common	C16	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CKAP4	iATCs _upregulated	D16	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACTL7B	ATF3_unique	A17	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKRD7	HNF1B_unique	B17	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
APPL2	ATF3 _HNF1B_common	C17	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC2A2	iATCs _upregulated	D17	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACTR2	ATF3_unique	A18	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANKS4B	HNF1B_unique	B18	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AREG	ATF3 _HNF1B_common	C18	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ZNF217	iATCs _upregulated	D18	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ACVR2A	ATF3_unique	A19	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ANLN	HNF1B_unique	B19	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARF6	ATF3 _HNF1B_common	C19	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CASP10	iATCs _upregulated	D19	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADAM10	ATF3_unique	A20	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AOAH	HNF1B_unique	B20	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGAP42	ATF3 _HNF1B_common	C20	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
C15orf48	iATCs _upregulated	D20	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADAM12	ATF3_unique	A21	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
AP2A2	HNF1B_unique	B21	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ARHGEF28	ATF3 _HNF1B_common	C21	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
NDUFV2	iATCs _upregulated	D21	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ADAMTS15	ATF3_unique	A22	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
APIP	HNF1B_unique	B22	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ASAP1	ATF3 _HNF1B_common	C22	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
CPNE8	iATCs _upregulated	D22	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
