accession	observed_status	scheduled_release	manuscript_claim	checked_utc	source_sha256
GSE335749	private	Jun 01, 2027	publicly available	2026-09-25T10:38:03.676483+00:00	1a953fbea592d871749358bd92f9192a96d806e31df1ffbe88e446a03dbf7a48
GSE335750	private	Jun 01, 2027	publicly available	2026-09-25T10:38:03.676483+00:00	a30e0b4370711aa4337066fed69f76c37c2d13f7f2b8a914f6a047548fb757da
