supplied_set	sign_class	genes	set_size
Sftpc MDM2-KO Unique	up	2049	3984
Sftpc MDM2-KO Unique	down	1935	3984
Ager MDM2-KO Unique	up	245	686
Ager MDM2-KO Unique	down	441	686
MDM2-KO Shared	both_up	493	868
MDM2-KO Shared	both_down	266	868
MDM2-KO Shared	opposite	109	868
