supplied_set	source_rows	unique_genes	duplicated_symbols
ATF3_unique	1339	1339	
HNF1B_unique	317	313	ZNF608,ZNF609,ZNF710,ZNRF3
ATF3 _HNF1B_common	325	325	
iATCs _upregulated	126	126	
