panel	marker	condition	replicate_column	value	unit	sheet	source_cell
9g	COL1A1	siCont	1	1	relative_to_siCont	Figure 9	C40
9g	COL1A1	siCont	2	1	relative_to_siCont	Figure 9	D40
9g	COL1A1	siCont	3	1	relative_to_siCont	Figure 9	E40
9g	COL1A1	siCont	4	1	relative_to_siCont	Figure 9	F40
9g	COL1A1	siATF3	1	0.295418	relative_to_siCont	Figure 9	C41
9g	COL1A1	siATF3	2	0.639152	relative_to_siCont	Figure 9	D41
9g	COL1A1	siATF3	3	0.499589	relative_to_siCont	Figure 9	E41
9g	COL1A1	siHNF1b	1	0.623243	relative_to_siCont	Figure 9	C42
9g	COL1A1	siHNF1b	2	0.361585	relative_to_siCont	Figure 9	D42
9g	COL1A1	siHNF1b	3	0.69105	relative_to_siCont	Figure 9	E42
9g	COL1A1	siHNF1b	4	0.362532	relative_to_siCont	Figure 9	F42
