symbol	contrast	primary_logFC	joint_FDR	omissions	same_direction	min_logFC	max_logFC
Ager	Mutant_minus_WT_CD44_interaction	-0.13259324081917	0.116665620435565	8	6	-0.16622784731884	0.0578048557108807
Ager	Mutant_positive_minus_negative	-0.0908201343322191	0.126295595838263	8	8	-0.124459627067327	-0.0291257167925294
Ager	WT_positive_minus_negative	0.0417731064869505	0.516524950620048	8	6	-0.0977689872044666	0.0417805300836544
Cdkn1a	Mutant_minus_WT_CD44_interaction	0.157209172496368	0.055888481116775	8	8	0.14296826244862	0.337921932689029
Cdkn1a	Mutant_positive_minus_negative	0.377095111304162	3.35000850454428e-08	8	8	0.362557302537831	0.428006116113781
Cdkn1a	WT_positive_minus_negative	0.219885938807794	0.0006075007061771	8	8	0.09008229987019	0.220346279261273
Cldn4	Mutant_minus_WT_CD44_interaction	-1.72221029188216	3.39003485986518e-13	8	8	-1.74927690132215	-1.53624048217292
Cldn4	Mutant_positive_minus_negative	1.22022269853164	2.1134266141778002e-20	8	8	1.19294467665491	1.27123141329344
Cldn4	WT_positive_minus_negative	2.94243299041379	1.50998489180356e-19	8	8	2.80741211644453	2.99923350100818
Itgb6	Mutant_minus_WT_CD44_interaction	-0.103582046423712	0.463755249583506	8	6	-0.141744212659345	0.0992091685555387
Itgb6	Mutant_positive_minus_negative	1.08188290472135	2.7803942155005603e-10	8	8	1.04285336146558	1.17855368246603
Itgb6	WT_positive_minus_negative	1.18546495114506	2.49322882378307e-09	8	8	1.03360649875324	1.18883059705943
Krt19	Mutant_minus_WT_CD44_interaction	-0.482592243373069	5.54505409958717e-08	8	8	-0.494217890303733	-0.349473173729071
Krt19	Mutant_positive_minus_negative	0.600035910373441	6.683543853983491e-14	8	8	0.588329110681555	0.650924202830914
Krt19	WT_positive_minus_negative	1.08262815374651	7.76671225364324e-18	8	8	1.00039347042489	1.08277794513526
Krt7	Mutant_minus_WT_CD44_interaction	0.197553010459018	0.0191152715566605	8	8	0.170491044339758	0.381314119761643
Krt7	Mutant_positive_minus_negative	0.770220320495485	2.17965618553922e-14	8	8	0.742609981430328	0.821134692971524
Krt7	WT_positive_minus_negative	0.572667310036467	1.87286651855475e-10	8	8	0.439774671231938	0.573530494462493
Krt8	Mutant_minus_WT_CD44_interaction	0.0547754326725343	0.520034598892788	8	8	0.0136994933919635	0.204603368790319
Krt8	Mutant_positive_minus_negative	0.346576194802242	9.11442932678381e-08	8	8	0.305342629949623	0.397559725580886
Krt8	WT_positive_minus_negative	0.291800762129707	8.81299559901213e-06	8	8	0.1928787434975	0.292117967450732
Sftpc	Mutant_minus_WT_CD44_interaction	-0.239219242138341	0.025143495804447	8	8	-0.261174534858341	-0.004609714876362
Sftpc	Mutant_positive_minus_negative	-0.808345912405899	6.342681758947729e-12	8	8	-0.830301679714199	-0.756248926890418
Sftpc	WT_positive_minus_negative	-0.569126670267558	7.487550303160981e-09	8	8	-0.752879709880841	-0.548921547759844
