comp,label,case,reference,direction,scope,ligand,primary_pearson,primary_rank,planned_omissions,eligible_omissions,complete_omission_coverage,min_rank,max_rank,minimum_pearson,maximum_pearson
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT10B,0.0405549001324348,15.0,12,12,True,9.0,16.0,0.0318848237456606,0.0550263202432009
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT11,0.0436571501012732,10.0,12,12,True,7.0,11.0,0.0324572776512111,0.0582719237524211
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT2,0.0504722677311269,4.0,12,12,True,2.0,7.0,0.0365176208629546,0.0674078029914029
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT2B,0.0418737544725705,12.0,12,11,False,8.0,13.0,0.0315374855425987,0.0556771706997484
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT3A,0.0758404513678562,1.0,12,12,True,1.0,2.0,0.0623445139437159,0.0966920159604862
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT4,0.041271301815384,14.0,12,12,True,11.0,15.0,0.0302364154916922,0.0535581710953284
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT5A,0.0352961507067463,17.0,12,12,True,8.0,18.0,0.0113102705865159,0.0665433458012267
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT5B,0.0414605388154399,13.0,12,12,True,8.0,14.0,0.03272203632548,0.0544573111956498
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT7A,0.04509264050469,6.0,12,12,True,3.0,9.0,0.0337876041556705,0.0604573342208831
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT7B,0.0443662430862637,7.0,12,12,True,5.0,11.0,0.0332851819690984,0.0577652982860518
AT2,AT2,LUAD,AIS,up,source_agnostic_planned_panel,WNT9A,0.0439496542294253,9.0,12,12,True,5.0,12.0,0.0344504723023988,0.0575244695006007
AT2,AT2,LUAD,normal,down,focused_triad,CXCL12,-0.0358881322892735,11.0,23,23,True,8.0,12.0,-0.0401572690102052,-0.0307958862207199
AT2,AT2,LUAD,normal,down,focused_triad,CXCL2,-0.0261617305388941,10.0,23,23,True,5.0,10.0,-0.0333990258374509,-0.0188616008949805
AT2,AT2,LUAD,normal,down,focused_triad,FGF10,-0.024764979181045,9.0,23,20,False,6.0,11.0,-0.031245725825486,-0.0209816534026646
AT2,AT2,LUAD,normal,down,focused_triad,FGF7,-0.041408585467942,12.0,23,23,True,9.0,12.0,-0.0448412332333349,-0.0349504518186993
AT2,AT2,LUAD,normal,down,focused_triad,HBEGF,0.0031802619025206,1.0,23,23,True,1.0,1.0,-0.0015241716559171,0.0077228181115708
AT2,AT2,LUAD,normal,down,focused_triad,TGFB1,-0.0470342790732821,13.0,23,23,True,10.0,13.0,-0.0528424642441103,-0.0387694029886365
AT2,AT2,LUAD,normal,down,focused_triad,VEGFA,-0.0154483760221961,3.0,23,23,True,2.0,9.0,-0.0232823508800563,-0.0094515311025706
AT2,AT2,LUAD,normal,down,focused_triad,WNT10B,-0.0226707051749096,8.0,23,20,False,7.0,9.0,-0.027634915274667,-0.0175144313879625
AT2,AT2,LUAD,normal,down,focused_triad,WNT11,-0.018906470232005,5.0,23,23,True,2.0,5.0,-0.0238806004096912,-0.0136510780072508
AT2,AT2,LUAD,normal,down,focused_triad,WNT2,-0.0208414700418482,7.0,23,23,True,5.0,8.0,-0.0262934590437212,-0.0151055361362262
