"comp","label","case","reference","direction","mapped_background","mapped_targets","prior_ligands","constant_prior_columns","nonfinite_exactly_constant","maximum_finite_score_difference","reconstructed_warning_messages"
"AT2","AT2","AIS","normal","up",12523,30,1226,1,TRUE,5.20417042793042e-17,"the standard deviation is zero"
"AT2","AT2","MIA","normal","up",11283,118,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"AT2","AT2","MIA","normal","down",11283,80,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"AT2","AT2","LUAD","normal","up",13159,2934,1226,1,TRUE,3.19189119579733e-16,"the standard deviation is zero"
"AT2","AT2","LUAD","normal","down",13159,2644,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"AT2","AT2","LUAD","AAH","up",12686,781,1226,1,TRUE,2.63677968348475e-16,"the standard deviation is zero"
"AT2","AT2","LUAD","AAH","down",12686,645,1226,1,TRUE,5.20417042793042e-17,"the standard deviation is zero"
"AT2","AT2","LUAD","AIS","up",12884,41,1226,1,TRUE,5.13478148889135e-16,"the standard deviation is zero"
"AT2","__broad__","AIS","normal","up",12549,30,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"AT2","__broad__","MIA","normal","up",11286,117,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"AT2","__broad__","MIA","normal","down",11286,81,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"AT2","__broad__","LUAD","normal","up",13215,3013,1226,1,TRUE,4.71844785465692e-16,"the standard deviation is zero"
"AT2","__broad__","LUAD","normal","down",13215,2801,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"AT2","__broad__","LUAD","AAH","up",12747,908,1226,1,TRUE,4.71844785465692e-16,"the standard deviation is zero"
"AT2","__broad__","LUAD","AAH","down",12747,801,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"AT2","__broad__","LUAD","AIS","up",12939,43,1226,1,TRUE,4.30211422042248e-16,"the standard deviation is zero"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","up",8638,201,1226,1,TRUE,2.91433543964104e-16,"the standard deviation is zero"
"fibroblasts","Adventitial fibroblasts","LUAD","AIS","down",8638,21,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","up",12149,1091,1226,1,TRUE,4.85722573273506e-16,"the standard deviation is zero"
"fibroblasts","Alveolar fibroblasts","LUAD","normal","down",12149,616,1226,1,TRUE,5.20417042793042e-17,"the standard deviation is zero"
"fibroblasts","Alveolar fibroblasts","LUAD","AAH","up",12181,327,1226,1,TRUE,4.85722573273506e-16,"the standard deviation is zero"
"fibroblasts","Alveolar fibroblasts","LUAD","AAH","down",12181,29,1226,1,TRUE,5.03069808033274e-17,"the standard deviation is zero"
"fibroblasts","Alveolar fibroblasts","LUAD","AIS","up",11423,74,1226,1,TRUE,4.9960036108132e-16,"the standard deviation is zero"
"fibroblasts","Alveolar fibroblasts","LUAD","AIS","down",11423,25,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"fibroblasts","__broad__","LUAD","normal","up",12990,2115,1226,1,TRUE,5.13478148889135e-16,"the standard deviation is zero"
"fibroblasts","__broad__","LUAD","normal","down",12990,1873,1226,1,TRUE,4.02455846426619e-16,"the standard deviation is zero"
"fibroblasts","__broad__","LUAD","AAH","up",13066,520,1226,1,TRUE,4.57966997657877e-16,"the standard deviation is zero"
"fibroblasts","__broad__","LUAD","AAH","down",13066,177,1226,1,TRUE,5.20417042793042e-17,"the standard deviation is zero"
"fibroblasts","__broad__","LUAD","AIS","up",11828,49,1226,1,TRUE,5.13478148889135e-16,"the standard deviation is zero"
"fibroblasts","__broad__","LUAD","MIA","up",11247,160,1226,1,TRUE,3.60822483003176e-16,"the standard deviation is zero"
"fibroblasts","__broad__","LUAD","MIA","down",11247,78,1226,1,TRUE,5.20417042793042e-17,"the standard deviation is zero"
"macrophages","Alveolar macrophages","LUAD","normal","up",11333,100,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"macrophages","Alveolar macrophages","LUAD","AAH","up",11215,17,1226,1,TRUE,5.55111512312578e-17,"the standard deviation is zero"
"macrophages","__broad__","LUAD","normal","up",11529,422,1226,1,TRUE,4.9960036108132e-16,"the standard deviation is zero"
"macrophages","__broad__","LUAD","normal","down",11529,203,1226,1,TRUE,5.20417042793042e-17,"the standard deviation is zero"
"macrophages","__broad__","LUAD","AAH","up",11160,57,1226,1,TRUE,2.63677968348475e-16,"the standard deviation is zero"
