well,cell_set,cells,B_atac,null_mean,null_sd,null_pairs,split_control_r,split_control_z,reading,why
wildtype_PBS,AT2,5748,1146.0,0.00288,0.01619,300.0,0.0196,1.04,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
wildtype_PBS,transitional,48,,,,,,,not computable,"U1, fewer than 500 cells"
wildtype_SeV,AT2,4446,837.0,0.00121,0.01585,300.0,0.0127,0.73,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
wildtype_SeV,transitional,284,,,,,,,not computable,"U1, fewer than 500 cells"
AP1mut_PBS,AT2,10822,945.0,0.00226,0.00998,300.0,0.0062,0.39,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
AP1mut_PBS,transitional,46,,,,,,,not computable,"U1, fewer than 500 cells"
AP1mut_SeV,AT2,8042,1052.0,0.00385,0.01285,300.0,0.0069,0.24,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
AP1mut_SeV,transitional,195,,,,,,,not computable,"U1, fewer than 500 cells"
7wk_control,AT2,5799,2200.0,0.00507,0.01378,300.0,0.0208,1.14,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
7wk_control,transitional,131,,,,,,,not computable,"U1, fewer than 500 cells"
7wk_Cebpa_mutant,AT2,8281,2060.0,0.00534,0.01163,300.0,0.0242,1.62,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
7wk_Cebpa_mutant,transitional,344,,,,,,,not computable,"U1, fewer than 500 cells"
SeV_control,AT2,8624,1939.0,0.00503,0.01399,300.0,0.0157,0.76,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
SeV_control,transitional,121,,,,,,,not computable,"U1, fewer than 500 cells"
SeV_Cebpa_mutant,AT2,7364,2964.0,0.00514,0.01555,300.0,0.0299,1.59,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
SeV_Cebpa_mutant,transitional,773,5967.0,0.00765,0.03851,300.0,0.021,0.35,not computable,"R5c decision rule: the split-locus control did not clear, so Route B is closed on these deposits"
