gene	gene_group	mark	window	replicate	contrast	eligible	log2_ratio_difference	raw_mark_log2_ratio	H3_log2_ratio
SFTPC	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-1.5090631435881878	-1.281348396446668	0.22771474714151962
SFTPC	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.4199173829696805	0.07071434204306279	0.49063172501274344
SFTPC	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT2	True	-2.1340217919212936	-1.9718191404347551	0.1622026514865385
SFTPC	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT1	True	-0.6381767983490745	-0.6243354600357273	0.013841338313347138
ABCA3	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-2.600756201289042	-1.8359282311990939	0.7648279700899481
ABCA3	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-2.6257669289459136	-1.3141683208621286	1.3115986080837851
ABCA3	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT2	True	-2.9485892138110095	-2.096323451736166	0.8522657620748433
ABCA3	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT1	True	-2.7338033008198916	-1.4098251859433435	1.3239781148765486
NKX2-1	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	0.08888316817514408	-0.04675939142164695	-0.13564255959679097
NKX2-1	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-0.8191730336280472	-0.45506490920500176	0.36410812442304513
NKX2-1	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT2	True	-0.9598991721274852	-0.5064676555631568	0.4534315165643286
NKX2-1	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT1	True	-1.317297192077755	-0.768634604149142	0.5486625879286134
ETV5	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.9432396642930683	0.019803098907849575	0.9630427632009179
ETV5	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	0.4069554191593239	1.303072470161976	0.8961170510026522
ETV5	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT2	True	-1.0784680293372881	-0.3260374443021505	0.7524305850351383
ETV5	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT1	True	0.1147129366770483	1.0619799054909234	0.9472669688138752
SFTPB	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-8.762035217805446	-9.724970289722247	-0.9629350719168001
SFTPB	AT2	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-9.239688456492015	-9.43024060602643	-0.1905521495344163
SFTPB	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT2	True	-7.847615678995278	-7.327768203717488	0.5198474752777896
SFTPB	AT2	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT1	True	-7.5127872718840285	-6.981614035767291	0.531173236116737
AGER	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-1.9493067934733657	-0.8133822471448153	1.1359245463285506
AGER	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-2.3045091886940785	-2.716586694673904	-0.4120775059798253
AGER	AT1	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT2	True	-0.009669546977506105	0.4203432258450906	0.43001277282259665
AGER	AT1	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT1	True	-0.9657558926262975	-0.3478890113745463	0.6178668812517514
PDPN	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-2.079427974656264	-1.5802896363282493	0.499138338328015
PDPN	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT1	True	-4.4476495937778795	-3.0505978887711076	1.3970517050067714
PDPN	AT1	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT2	True	-1.8169254410307771	-1.470706353178397	0.34621908785238015
PDPN	AT1	H3K27ac	broad_promoter	CUT1	iATCs_minus_iAT1	True	-4.400450131840188	-3.1821954252943225	1.218254706545865
HOPX	AT1	H3K27ac	promoter	CUT1	iATCs_minus_iAT2	True	-0.6350054085691803	-0.6057157518085934	0.029289656760587448
