pair,n_donors,median_rank,q25,q75,median_lr_prob,ligand,receptor,overall_rank,rank_within_receptor
AREG to EGFR,26,15.5,10.25,40.0,0.02002479960338019,AREG,EGFR,13,1
HBEGF to EGFR,26,48.5,29.25,81.5,0.006372359519104335,HBEGF,EGFR,38,2
TGFA to EGFR,24,115.5,65.5,175.25,0.0005557542115941698,TGFA,EGFR,94,3
EREG to EGFR,22,131.5,83.5,192.25,0.0,EREG,EGFR,114,4
BTC to EGFR,22,201.5,155.75,244.0,0.0,BTC,EGFR,218,5
