pair,n_donors,median_rank,q25,q75,median_lr_prob,ligand,receptor,overall_rank
LAMA5 to ITGA1_ITGB1,26,76.0,53.5,97.5,0.003513762077110359,LAMA5,ITGA1_ITGB1,62
THBS1 to CD47,26,77.0,67.0,91.75,0.002219347692770779,THBS1,CD47,63
LAMB1 to ITGA1_ITGB1,21,77.0,27.0,128.0,0.0024544764408497423,LAMB1,ITGA1_ITGB1,64
CD46 to JAG1,26,78.5,60.5,148.0,0.0006437642959357406,CD46,JAG1,65
LAMB1 to SV2C,21,79.0,54.0,107.0,0.0023501069039006217,LAMB1,SV2C,66
LAMB2 to SV2C,25,81.0,58.0,105.0,0.0019781425459936474,LAMB2,SV2C,67
SEMA4A to NRP1_PLXNA2,25,82.0,59.0,122.0,0.0021529638649764645,SEMA4A,NRP1_PLXNA2,68
COL6A2 to ITGA9_ITGB1,21,82.0,48.0,167.0,0.005890276041251829,COL6A2,ITGA9_ITGB1,69
EFNA5 to EPHA3,22,84.0,41.0,150.75,0.0,EFNA5,EPHA3,70
LAMB2 to ITGA1_ITGB1,25,86.0,64.0,105.0,0.002609196737647711,LAMB2,ITGA1_ITGB1,71
LAMA4 to ITGA1_ITGB1,24,87.5,40.5,207.0,0.00296928569116443,LAMA4,ITGA1_ITGB1,72
ANGPTL4 to SDC2,25,88.0,51.0,157.0,0.0008641256966985216,ANGPTL4,SDC2,73
ANGPTL4 to CDH11,25,89.0,40.0,158.0,0.0,ANGPTL4,CDH11,74
COL4A3 to ITGA1_ITGB1,25,93.0,50.0,132.0,0.00225424281082769,COL4A3,ITGA1_ITGB1,75
LAMC1 to ITGA9_ITGB1,26,96.5,58.75,120.0,0.0023369353243142326,LAMC1,ITGA9_ITGB1,76
SEMA3B to NRP1_PLXNA2,24,97.5,65.75,116.25,0.0009390795618563284,SEMA3B,NRP1_PLXNA2,77
LAMA4 to SV2C,24,98.0,62.0,203.25,0.0018877263206036196,LAMA4,SV2C,78
LAMC2 to ITGA9_ITGB1,26,99.0,72.0,138.25,0.0011244818381665538,LAMC2,ITGA9_ITGB1,79
PDGFA to PDGFRB,25,100.0,81.0,127.0,0.0016585592702899837,PDGFA,PDGFRB,80
DLL1 to NOTCH2,25,100.0,79.0,139.0,0.0013092337389756636,DLL1,NOTCH2,81
FN1 to SDC4,23,101.0,81.0,153.5,0.0,FN1,SDC4,82
LAMB3 to ITGA9_ITGB1,26,101.5,67.25,138.0,0.001335738329929566,LAMB3,ITGA9_ITGB1,83
NRG1 to ERBB4,21,104.0,73.0,183.0,0.0,NRG1,ERBB4,84
SPP1 to ITGAV_ITGB1,19,105.0,68.5,151.5,0.0012156870872668483,SPP1,ITGAV_ITGB1,85
COL1A1 to ITGA9_ITGB1,24,105.0,87.0,182.75,0.00142557316839828,COL1A1,ITGA9_ITGB1,86
TGFB2 to TGFBR1_TGFBR2,26,105.0,94.0,152.75,0.0005167458183205288,TGFB2,TGFBR1_TGFBR2,87
COL1A2 to ITGA9_ITGB1,19,106.0,71.0,191.0,0.00065865645345508,COL1A2,ITGA9_ITGB1,88
SPP1 to ITGAV_ITGB5,19,107.0,86.0,150.5,0.0007404440681590724,SPP1,ITGAV_ITGB5,89
COL4A5 to ITGA9_ITGB1,26,107.0,67.5,152.5,0.0009920019661512638,COL4A5,ITGA9_ITGB1,90
TNC to ITGA9_ITGB1,26,109.5,83.25,141.0,0.0006392907992462098,TNC,ITGA9_ITGB1,91
LAMA3 to ITGA9_ITGB1,26,114.0,69.25,140.25,0.0009623791768016011,LAMA3,ITGA9_ITGB1,92
SEMA3A to NRP1_PLXNA2,25,114.0,94.0,158.0,0.000783569204153005,SEMA3A,NRP1_PLXNA2,93
TGFA to EGFR,24,115.5,65.5,175.25,0.0005557542115941698,TGFA,EGFR,94
F11R to JAM3,25,116.0,79.0,164.0,0.0006964659709953381,F11R,JAM3,95
TGFB1 to TGFBR1_TGFBR2,26,116.5,90.25,150.5,0.0007455625973249839,TGFB1,TGFBR1_TGFBR2,96
FN1 to ITGAV_ITGB8,24,117.0,70.75,226.25,0.0,FN1,ITGAV_ITGB8,97
COL4A2 to ITGA11_ITGB1,20,119.0,75.5,202.0,0.0,COL4A2,ITGA11_ITGB1,98
LAMA2 to ITGA9_ITGB1,26,119.5,80.25,174.75,0.001199235053440923,LAMA2,ITGA9_ITGB1,99
SPP1 to ITGA8_ITGB1,17,121.0,69.0,279.0,0.001059793546662137,SPP1,ITGA8_ITGB1,100
COL4A1 to ITGA11_ITGB1,20,121.5,71.0,202.5,0.0,COL4A1,ITGA11_ITGB1,101
COL4A3 to ITGA9_ITGB1,25,122.0,70.0,172.0,0.0,COL4A3,ITGA9_ITGB1,102
LAMA5 to ITGA9_ITGB1,26,122.0,75.75,154.5,0.0007097711366456242,LAMA5,ITGA9_ITGB1,103
LAMC1 to ITGAV_ITGB8,24,124.5,106.0,221.0,0.0,LAMC1,ITGAV_ITGB8,104
TNXB to ITGA8_ITGB1,23,125.0,116.0,171.0,0.0006484710177173962,TNXB,ITGA8_ITGB1,105
COL4A4 to ITGA9_ITGB1,23,126.0,70.0,161.0,0.0003211870385542399,COL4A4,ITGA9_ITGB1,106
SCGB3A2 to MARCO,19,127.0,86.0,191.5,0.0,SCGB3A2,MARCO,107
LAMC2 to ITGAV_ITGB8,24,127.0,90.5,220.5,0.0,LAMC2,ITGAV_ITGB8,108
LAMB2 to ITGA9_ITGB1,25,129.0,85.0,139.0,0.0009069990168789901,LAMB2,ITGA9_ITGB1,109
EDN1 to EDNRA,22,129.0,80.5,185.0,0.0014813547513743352,EDN1,EDNRA,110
ANGPTL4 to ITGA5_ITGB1,24,129.0,99.0,191.5,0.0,ANGPTL4,ITGA5_ITGB1,111
COL6A1 to ITGA9_ITGB1,20,129.5,89.75,187.25,0.0013599216051345382,COL6A1,ITGA9_ITGB1,112
LAMA3 to ITGAV_ITGB8,24,131.0,109.25,222.75,0.0,LAMA3,ITGAV_ITGB8,113
EREG to EGFR,22,131.5,83.5,192.25,0.0,EREG,EGFR,114
LAMB3 to ITGAV_ITGB8,24,132.5,108.75,232.75,0.0,LAMB3,ITGAV_ITGB8,115
HBEGF to ERBB4,21,133.0,95.0,184.0,0.0,HBEGF,ERBB4,116
