pair,n_donors,median_rank,q25,q75,median_lr_prob,ligand,receptor,overall_rank
LAMA2 to DAG1,24,232.5,199.25,272.0,0.0,LAMA2,DAG1,265
COL9A2 to SDC4,13,233.0,187.0,305.0,0.0,COL9A2,SDC4,266
COL6A1 to SDC4,19,233.0,144.0,251.0,0.0,COL6A1,SDC4,267
IL6 to IL6R_IL6ST,15,233.0,211.0,254.5,0.0,IL6,IL6R_IL6ST,268
BMP6 to ACVR1_BMPR2,19,235.0,192.5,311.0,0.0,BMP6,ACVR1_BMPR2,269
LAMA1 to DAG1,23,235.0,203.0,305.0,0.0,LAMA1,DAG1,270
THBS3 to SDC4,21,235.0,189.0,295.0,0.0,THBS3,SDC4,271
LAMA1 to ITGAV_ITGB8,23,236.0,195.5,299.0,0.0,LAMA1,ITGAV_ITGB8,272
BMP6 to ACVR1_ACVR2A,19,236.0,193.5,312.0,0.0,BMP6,ACVR1_ACVR2A,273
COL4A6 to SDC4,20,239.0,195.0,283.0,0.0,COL4A6,SDC4,274
COL4A3 to ITGA2_ITGB1,20,240.0,113.0,301.5,0.0,COL4A3,ITGA2_ITGB1,275
LAMB1 to DAG1,19,242.0,206.5,297.5,0.0,LAMB1,DAG1,276
TNFSF14 to TNFRSF14,13,245.0,197.0,318.0,0.0,TNFSF14,TNFRSF14,277
HLA-DQB1 to CD4,20,246.5,140.25,292.25,0.0,HLA-DQB1,CD4,278
PTPRC to MRC1,14,248.5,219.25,347.0,0.0,PTPRC,MRC1,279
LAMA4 to DAG1,22,249.0,222.5,307.5,0.0,LAMA4,DAG1,280
WNT5A to FZD1,13,253.0,162.0,339.0,0.0,WNT5A,FZD1,281
LAMA4 to ITGA2_ITGB1,20,258.0,159.75,336.75,0.0,LAMA4,ITGA2_ITGB1,282
SEMA6A to PLXNA4,21,259.0,183.0,308.0,0.0,SEMA6A,PLXNA4,283
SEMA4C to PLXNB2,16,259.5,216.5,293.25,0.0,SEMA4C,PLXNB2,284
SEMA3C to PLXND1,19,263.0,167.5,298.0,0.0,SEMA3C,PLXND1,285
SEMA3E to PLXND1,19,264.0,187.5,309.5,0.0,SEMA3E,PLXND1,286
COL4A6 to ITGA2_ITGB1,18,264.5,231.25,311.75,0.0,COL4A6,ITGA2_ITGB1,287
COL1A2 to ITGA2_ITGB1,17,266.0,73.0,330.0,0.0,COL1A2,ITGA2_ITGB1,288
JAG1 to NOTCH3,14,266.5,245.0,324.5,0.0,JAG1,NOTCH3,289
WNT5B to FZD1,20,267.5,139.25,307.25,0.0,WNT5B,FZD1,290
ANGPTL4 to SDC3,16,269.0,163.0,308.5,0.0,ANGPTL4,SDC3,291
FRAS1_FREM2_NPNT to ITGA8_ITGB1,19,276.0,233.5,342.5,0.0,FRAS1_FREM2_NPNT,ITGA8_ITGB1,292
ITGA9_ITGB1 to VCAM1,14,277.0,229.5,294.25,0.0,ITGA9_ITGB1,VCAM1,293
LRRC4C to NTNG1,16,286.0,253.25,312.0,0.0,LRRC4C,NTNG1,294
SEMA3B to NRP2_PLXNA4,16,291.0,226.25,378.5,0.0,SEMA3B,NRP2_PLXNA4,295
LAMA1 to ITGA2_ITGB1,20,295.0,247.5,338.75,0.0,LAMA1,ITGA2_ITGB1,296
WNT9A to FZD6_LRP6,16,295.5,228.75,350.75,0.0,WNT9A,FZD6_LRP6,297
WNT7B to FZD6_LRP6,15,297.0,219.5,348.0,0.0,WNT7B,FZD6_LRP6,298
WNT7B to FZD1_LRP6,15,301.0,274.5,318.5,0.0,WNT7B,FZD1_LRP6,299
HLA-DMB to CD4,19,303.0,267.0,347.0,0.0,HLA-DMB,CD4,300
WNT7B to FZD6_LRP5,13,304.0,261.0,318.0,0.0,WNT7B,FZD6_LRP5,301
WNT7B to FZD1_LRP5,13,305.0,263.0,320.0,0.0,WNT7B,FZD1_LRP5,302
COL9A2 to ITGAV_ITGB8,14,305.0,215.25,336.5,0.0,COL9A2,ITGAV_ITGB8,303
WNT9A to FZD6_LRP5,14,306.5,260.25,360.5,0.0,WNT9A,FZD6_LRP5,304
SEMA3C to NRP1_NRP2_PLXND1,16,307.5,286.5,344.75,0.0,SEMA3C,NRP1_NRP2_PLXND1,305
WNT9A to FZD1_LRP5,14,312.5,265.75,358.0,0.0,WNT9A,FZD1_LRP5,306
SEMA3C to NRP2_PLXNA4,16,317.5,236.75,382.5,0.0,SEMA3C,NRP2_PLXNA4,307
DLL1 to NOTCH3,14,320.0,263.0,385.0,0.0,DLL1,NOTCH3,308
WNT9A to FZD1_LRP6,16,321.5,279.0,352.5,0.0,WNT9A,FZD1_LRP6,309
SEMA3F to NRP2_PLXNA2,14,325.0,212.5,359.75,0.0,SEMA3F,NRP2_PLXNA2,310
ITGA4_ITGB1 to VCAM1,14,337.0,300.5,385.5,0.0,ITGA4_ITGB1,VCAM1,311
WNT2B to FZD1_LRP6,13,355.0,309.0,371.0,0.0,WNT2B,FZD1_LRP6,312
WNT2B to FZD6_LRP6,13,356.0,265.0,390.0,0.0,WNT2B,FZD6_LRP6,313
