counts_column	arm	mouse	library_total	genes_detected
Bleo_3G9_E_218	bleomycin_3G9	218	36057881	20441
Bleo_3G9_E_219	bleomycin_3G9	219	29348678	18818
Bleo_3G9_E_226R	bleomycin_3G9	226R	28236796	19081
Bleo_3G9_E_228	bleomycin_3G9	228	29737284	19194
Bleo_E_204	bleomycin_Axum8	204	32126288	20507
Bleo_E_206	bleomycin_Axum8	206	24751240	16879
Bleo_E_208R	bleomycin_Axum8	208R	32465809	18865
Bleo_E_225	bleomycin_Axum8	225	31401069	20770
Saline_E_207	saline_Axum8	207	29272704	17147
Saline_E_221	saline_Axum8	221	26809848	16085
Saline_E_230	saline_Axum8	230	30722665	18076
