gene_set	symbol	ensembl_id	in_counts_index
a0_frozen_transition_50	2200002D01Rik	ENSMUSG00000030587	True
a0_frozen_transition_50	Adprh	ENSMUSG00000002844	True
a0_frozen_transition_50	Arl5b	ENSMUSG00000017418	True
a0_frozen_transition_50	Atf3	ENSMUSG00000026628	True
a0_frozen_transition_50	Baz1a	ENSMUSG00000035021	True
a0_frozen_transition_50	Cacybp	ENSMUSG00000014226	True
a0_frozen_transition_50	Cmpk2	ENSMUSG00000020638	True
a0_frozen_transition_50	Dnajb1	ENSMUSG00000005483	True
a0_frozen_transition_50	Dnajb6	ENSMUSG00000029131	True
a0_frozen_transition_50	Dok1	ENSMUSG00000068335	True
a0_frozen_transition_50	Dusp1	ENSMUSG00000024190	True
a0_frozen_transition_50	Dusp3	ENSMUSG00000003518	True
a0_frozen_transition_50	Dusp8	ENSMUSG00000037887	True
a0_frozen_transition_50	Edn1	ENSMUSG00000021367	True
a0_frozen_transition_50	Efhd2	ENSMUSG00000040659	True
a0_frozen_transition_50	Egr1	ENSMUSG00000038418	True
a0_frozen_transition_50	Ehd1	ENSMUSG00000024772	True
a0_frozen_transition_50	Fam167a	ENSMUSG00000035095	True
a0_frozen_transition_50	Fn1	ENSMUSG00000026193	True
a0_frozen_transition_50	Gadd45a	ENSMUSG00000036390	True
a0_frozen_transition_50	Gtf2b	ENSMUSG00000028271	True
a0_frozen_transition_50	Gtpbp4	ENSMUSG00000021149	True
a0_frozen_transition_50	Hspa1a	ENSMUSG00000091971	True
a0_frozen_transition_50	Hspa4	ENSMUSG00000020361	True
a0_frozen_transition_50	Hspb1	ENSMUSG00000004951	True
a0_frozen_transition_50	Hsph1	ENSMUSG00000029657	True
a0_frozen_transition_50	Incenp	ENSMUSG00000024660	True
a0_frozen_transition_50	Lrrc8a	ENSMUSG00000007476	True
a0_frozen_transition_50	Mcam	ENSMUSG00000032135	True
a0_frozen_transition_50	Mfge8	ENSMUSG00000030605	True
a0_frozen_transition_50	Mthfd2	ENSMUSG00000005667	True
a0_frozen_transition_50	Myl9	ENSMUSG00000067818	True
a0_frozen_transition_50	Nop58	ENSMUSG00000026020	True
a0_frozen_transition_50	Pla2g15	ENSMUSG00000031903	True
a0_frozen_transition_50	Plk2	ENSMUSG00000021701	True
a0_frozen_transition_50	Prrg4	ENSMUSG00000027171	True
a0_frozen_transition_50	Rasal2	ENSMUSG00000070565	True
a0_frozen_transition_50	Rnf19a	ENSMUSG00000022280	True
a0_frozen_transition_50	Rnf6	ENSMUSG00000029634	True
a0_frozen_transition_50	Slc1a4	ENSMUSG00000020142	True
a0_frozen_transition_50	Slc7a6	ENSMUSG00000031904	True
a0_frozen_transition_50	Tnfrsf12a	ENSMUSG00000023905	True
a0_frozen_transition_50	Tnip3	ENSMUSG00000044162	True
a0_frozen_transition_50	Tor1aip2	ENSMUSG00000050565	True
a0_frozen_transition_50	Tubb2a	ENSMUSG00000058672	True
a0_frozen_transition_50	Ubc	ENSMUSG00000008348	True
a0_frozen_transition_50	Ube2c	ENSMUSG00000001403	True
a0_frozen_transition_50	Uspl1	ENSMUSG00000041264	True
a0_frozen_transition_50	Vcl	ENSMUSG00000021823	True
a0_frozen_transition_50	Zfand2a	ENSMUSG00000053581	True
a5a11_injury_residual	1110004F10Rik	ENSMUSG00000030663	True
a5a11_injury_residual	1500012F01Rik		False
a5a11_injury_residual	2200002D01Rik	ENSMUSG00000030587	True
a5a11_injury_residual	2410006H16Rik	ENSMUSG00000086841	True
a5a11_injury_residual	Actb	ENSMUSG00000029580	True
a5a11_injury_residual	Actg1	ENSMUSG00000062825	True
a5a11_injury_residual	Ahnak	ENSMUSG00000069833	True
a5a11_injury_residual	Akr1b8	ENSMUSG00000029762	True
a5a11_injury_residual	Aldoa	ENSMUSG00000030695	True
a5a11_injury_residual	Anxa1	ENSMUSG00000024659	True
a5a11_injury_residual	Anxa2	ENSMUSG00000032231	True
a5a11_injury_residual	Anxa3	ENSMUSG00000029484	True
a5a11_injury_residual	Anxa5	ENSMUSG00000027712	True
a5a11_injury_residual	Anxa7	ENSMUSG00000021814	True
a5a11_injury_residual	App	ENSMUSG00000022892	True
a5a11_injury_residual	Arf1	ENSMUSG00000048076	True
a5a11_injury_residual	Arl4c	ENSMUSG00000049866	True
