group	symbol	arm	mouse	ip_minus_input_log2cpm
epithelial_enrichment	Epcam	case	218	1.531
epithelial_enrichment	Epcam	case	219	1.1185
epithelial_enrichment	Epcam	case	226R	1.1722
epithelial_enrichment	Epcam	case	228	0.8717
epithelial_enrichment	Epcam	reference	204	1.1244
epithelial_enrichment	Epcam	reference	206	1.023
epithelial_enrichment	Epcam	reference	208R	0.7638
epithelial_enrichment	Epcam	reference	225	1.3792
epithelial_enrichment	Epcam	saline	207	0.7325
epithelial_enrichment	Epcam	saline	221	1.0059
epithelial_enrichment	Epcam	saline	230	1.2682
epithelial_enrichment	Cdh1	case	218	1.5313
epithelial_enrichment	Cdh1	case	219	1.0384
epithelial_enrichment	Cdh1	case	226R	0.7833
epithelial_enrichment	Cdh1	case	228	0.9813
epithelial_enrichment	Cdh1	reference	204	0.8003
epithelial_enrichment	Cdh1	reference	206	1.2679
epithelial_enrichment	Cdh1	reference	208R	0.5194
epithelial_enrichment	Cdh1	reference	225	0.9606
epithelial_enrichment	Cdh1	saline	207	0.5069
epithelial_enrichment	Cdh1	saline	221	1.0014
epithelial_enrichment	Cdh1	saline	230	0.8896
epithelial_enrichment	Nkx2-1	case	218	1.0859
epithelial_enrichment	Nkx2-1	case	219	0.8422
epithelial_enrichment	Nkx2-1	case	226R	0.5647
epithelial_enrichment	Nkx2-1	case	228	0.6252
epithelial_enrichment	Nkx2-1	reference	204	0.7218
epithelial_enrichment	Nkx2-1	reference	206	0.7849
epithelial_enrichment	Nkx2-1	reference	208R	0.4003
epithelial_enrichment	Nkx2-1	reference	225	0.8637
epithelial_enrichment	Nkx2-1	saline	207	-0.09
epithelial_enrichment	Nkx2-1	saline	221	0.2632
epithelial_enrichment	Nkx2-1	saline	230	0.986
non_epithelial_de_enrichment	Ptprc	case	218	-4.4662
non_epithelial_de_enrichment	Ptprc	case	219	-4.7452
non_epithelial_de_enrichment	Ptprc	case	226R	-5.5892
non_epithelial_de_enrichment	Ptprc	case	228	-4.5232
non_epithelial_de_enrichment	Ptprc	reference	204	-5.0401
non_epithelial_de_enrichment	Ptprc	reference	206	-4.7271
non_epithelial_de_enrichment	Ptprc	reference	208R	-4.6732
non_epithelial_de_enrichment	Ptprc	reference	225	-4.7258
non_epithelial_de_enrichment	Ptprc	saline	207	-5.8368
non_epithelial_de_enrichment	Ptprc	saline	221	-4.7051
non_epithelial_de_enrichment	Ptprc	saline	230	-5.6547
non_epithelial_de_enrichment	Pecam1	case	218	-3.6331
non_epithelial_de_enrichment	Pecam1	case	219	-3.5288
non_epithelial_de_enrichment	Pecam1	case	226R	-4.0451
non_epithelial_de_enrichment	Pecam1	case	228	-4.0405
non_epithelial_de_enrichment	Pecam1	reference	204	-4.4261
non_epithelial_de_enrichment	Pecam1	reference	206	-3.3565
non_epithelial_de_enrichment	Pecam1	reference	208R	-3.2302
non_epithelial_de_enrichment	Pecam1	reference	225	-4.5563
non_epithelial_de_enrichment	Pecam1	saline	207	-4.2255
non_epithelial_de_enrichment	Pecam1	saline	221	-3.223
non_epithelial_de_enrichment	Pecam1	saline	230	-4.6797
non_epithelial_de_enrichment	Col3a1	case	218	-3.6004
non_epithelial_de_enrichment	Col3a1	case	219	-4.2252
non_epithelial_de_enrichment	Col3a1	case	226R	-4.4352
non_epithelial_de_enrichment	Col3a1	case	228	-4.3234
non_epithelial_de_enrichment	Col3a1	reference	204	-4.5995
non_epithelial_de_enrichment	Col3a1	reference	206	-4.7511
non_epithelial_de_enrichment	Col3a1	reference	208R	-2.9942
non_epithelial_de_enrichment	Col3a1	reference	225	-4.0254
non_epithelial_de_enrichment	Col3a1	saline	207	-4.2965
non_epithelial_de_enrichment	Col3a1	saline	221	-3.1115
non_epithelial_de_enrichment	Col3a1	saline	230	-4.8691
macrophage_guard	Lyz2	case	218	0.3189
macrophage_guard	Lyz2	case	219	0.0504
macrophage_guard	Lyz2	case	226R	0.6741
macrophage_guard	Lyz2	case	228	0.2451
macrophage_guard	Lyz2	reference	204	0.626
macrophage_guard	Lyz2	reference	206	-0.646
macrophage_guard	Lyz2	reference	208R	-0.0578
macrophage_guard	Lyz2	reference	225	0.4869
macrophage_guard	Lyz2	saline	207	0.1203
macrophage_guard	Lyz2	saline	221	-0.0148
macrophage_guard	Lyz2	saline	230	0.978
macrophage_guard	Cd68	case	218	-3.6345
macrophage_guard	Cd68	case	219	-3.9048
macrophage_guard	Cd68	case	226R	-4.204
macrophage_guard	Cd68	case	228	-3.0241
macrophage_guard	Cd68	reference	204	-3.5038
macrophage_guard	Cd68	reference	206	-3.4118
macrophage_guard	Cd68	reference	208R	-2.9251
macrophage_guard	Cd68	reference	225	-3.751
macrophage_guard	Cd68	saline	207	-3.0025
macrophage_guard	Cd68	saline	221	-2.0194
macrophage_guard	Cd68	saline	230	-3.0466
macrophage_guard	Itgax	case	218	-4.1341
macrophage_guard	Itgax	case	219	-4.202
macrophage_guard	Itgax	case	226R	-4.9691
macrophage_guard	Itgax	case	228	-4.2981
macrophage_guard	Itgax	reference	204	-4.6345
macrophage_guard	Itgax	reference	206	-4.307
macrophage_guard	Itgax	reference	208R	-3.459
macrophage_guard	Itgax	reference	225	-4.4958
macrophage_guard	Itgax	saline	207	-4.6954
macrophage_guard	Itgax	saline	221	-4.0991
macrophage_guard	Itgax	saline	230	-4.7737
macrophage_guard	Mrc1	case	218	-3.7497
macrophage_guard	Mrc1	case	219	-3.8019
macrophage_guard	Mrc1	case	226R	-4.1196
macrophage_guard	Mrc1	case	228	-3.9524
macrophage_guard	Mrc1	reference	204	-4.3293
macrophage_guard	Mrc1	reference	206	-3.4377
macrophage_guard	Mrc1	reference	208R	-3.3287
macrophage_guard	Mrc1	reference	225	-4.9428
macrophage_guard	Mrc1	saline	207	-4.5074
macrophage_guard	Mrc1	saline	221	-3.3853
macrophage_guard	Mrc1	saline	230	-4.1783
