pair,n_donors,median_rank,ligand,receptor,winning_sources,winning_targets,overall_rank,resource
AREG to EGFR,22,10.5,AREG,EGFR,ATII;Aberrant_Basaloid;Ciliated;Club;Mesothelial,Fibroblast,7,cellchatdb
HBEGF to EGFR,22,41.0,HBEGF,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Mesothelial,Fibroblast,38,cellchatdb
EREG to EGFR,19,135.0,EREG,EGFR,ATII;Aberrant_Basaloid;Basal;Club;Goblet,Fibroblast,128,cellchatdb
TGFA to EGFR,21,136.0,TGFA,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,132,cellchatdb
BTC to EGFR,19,145.0,BTC,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,153,cellchatdb
AREG to EGFR,22,6.0,AREG,EGFR,ATII;Aberrant_Basaloid;Ciliated;Club;Mesothelial,Fibroblast,4,cellphonedb
GRN to EGFR,22,12.0,GRN,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Goblet;Mesothelial,Fibroblast,7,cellphonedb
TGFB1 to EGFR,22,20.0,TGFB1,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Club;Goblet;Mesothelial,Fibroblast,17,cellphonedb
BTC to EGFR,19,94.0,BTC,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,95,cellphonedb
EREG to EGFR,19,111.0,EREG,EGFR,ATII;Aberrant_Basaloid;Basal;Club;Goblet,Fibroblast,127,cellphonedb
GSTP1 to EGFR,22,6.0,GSTP1,EGFR,ATI;Aberrant_Basaloid;Ciliated;Goblet,Fibroblast,3,consensus
ANXA1 to EGFR,22,11.5,ANXA1,EGFR,ATII;Basal;Ciliated;Goblet;Mesothelial,Fibroblast,5,consensus
CDH1 to EGFR,22,11.5,CDH1,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Club;Goblet,Fibroblast,6,consensus
CEACAM6 to EGFR,21,24.0,CEACAM6,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Club;Goblet,Fibroblast,18,consensus
LRIG1 to EGFR,22,45.5,LRIG1,EGFR,ATII;Ciliated;Goblet,Fibroblast,33,consensus
NRG1 to EGFR,22,56.0,NRG1,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Mesothelial,Fibroblast,40,consensus
ST6GAL1 to EGFR,22,59.0,ST6GAL1,EGFR,ATI;ATII;Basal;Ciliated;Club;Goblet,Fibroblast,45,consensus
S100A4 to EGFR,22,65.0,S100A4,EGFR,ATI;Aberrant_Basaloid;Ciliated;Goblet;Mesothelial,Fibroblast,51,consensus
TNC to EGFR,20,79.5,TNC,EGFR,ATII;Aberrant_Basaloid;Basal;Club;Mesothelial,Fibroblast,63,consensus
GRN to EGFR,22,96.0,GRN,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Goblet;Mesothelial,Fibroblast,85,consensus
VEGFA to EGFR,21,102.0,VEGFA,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Club;Goblet;Mesothelial,Fibroblast,90,consensus
EFEMP1 to EGFR,22,107.5,EFEMP1,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Mesothelial,Fibroblast,98,consensus
NRG4 to EGFR,22,116.0,NRG4,EGFR,Basal;Ciliated,Fibroblast,111,consensus
TGFB1 to EGFR,22,122.5,TGFB1,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Club;Goblet;Mesothelial,Fibroblast,116,consensus
GNAI2 to EGFR,22,131.0,GNAI2,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated,Fibroblast,126,consensus
FGF13 to EGFR,22,143.5,FGF13,EGFR,ATII;Aberrant_Basaloid;Ciliated;Club;Goblet,Fibroblast,134,consensus
LRIG2 to EGFR,22,161.0,LRIG2,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Club;Goblet;Mesothelial,Fibroblast,148,consensus
CALM3 to EGFR,22,179.0,CALM3,EGFR,ATI;ATII;Aberrant_Basaloid;Ciliated;Goblet,Fibroblast,168,consensus
PTPN6 to EGFR,22,182.0,PTPN6,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Club;Goblet;Mesothelial,Fibroblast,172,consensus
NRG3 to EGFR,17,229.0,NRG3,EGFR,ATI;ATII;Aberrant_Basaloid;Ciliated;Club;Goblet;Mesothelial,Fibroblast,199,consensus
DCN to EGFR,19,281.0,DCN,EGFR,ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet;Mesothelial,Fibroblast,257,consensus
ICAM1 to EGFR,21,294.0,ICAM1,EGFR,ATI;ATII;Aberrant_Basaloid;Club;Mesothelial,Fibroblast,275,consensus
VCAN to EGFR,17,298.0,VCAN,EGFR,ATI;ATII;Aberrant_Basaloid;Basal;Ciliated;Goblet,Fibroblast,278,consensus
SPINK1 to EGFR,13,366.0,SPINK1,EGFR,ATII;Aberrant_Basaloid;Goblet,Fibroblast,353,consensus
