pair,median_rank_historical,overall_rank_historical,n_donors_historical,median_rank_corrected,overall_rank_corrected,n_donors_corrected,resource
ADGRE5 to CD55,54.0,46.0,26.0,37.5,32.0,22.0,cellchatdb
AGRN to DAG1,221.5,252.0,24.0,110.0,91.0,21.0,cellchatdb
ANGPT2 to ITGA5_ITGB1,221.0,251.0,14.0,,,,cellchatdb
ANGPTL4 to CDH11,89.0,74.0,25.0,74.0,53.0,19.0,cellchatdb
ANGPTL4 to ITGA5_ITGB1,129.0,111.0,24.0,106.0,84.0,18.0,cellchatdb
ANGPTL4 to SDC2,88.0,73.0,25.0,77.0,59.0,19.0,cellchatdb
ANGPTL4 to SDC3,269.0,291.0,16.0,133.5,126.0,12.0,cellchatdb
ANGPTL4 to SDC4,179.0,185.0,23.0,113.0,96.0,17.0,cellchatdb
APP to CD74,9.5,6.0,26.0,7.0,5.0,22.0,cellchatdb
AREG to EGFR,15.5,13.0,26.0,10.5,7.0,22.0,cellchatdb
BMP2 to ACVR2A_BMPR1A,154.0,140.0,25.0,102.0,82.0,21.0,cellchatdb
BMP2 to ACVR2A_BMPR1B,167.0,166.0,15.0,125.0,116.0,14.0,cellchatdb
BMP2 to BMPR1A_BMPR2,136.0,120.0,26.0,103.0,83.0,21.0,cellchatdb
BMP2 to BMPR1B_BMPR2,162.0,157.0,16.0,116.0,102.0,15.0,cellchatdb
BMP6 to ACVR1_ACVR2A,236.0,273.0,19.0,117.0,104.0,17.0,cellchatdb
BMP6 to ACVR1_BMPR2,235.0,269.0,19.0,118.0,107.0,17.0,cellchatdb
BMP6 to ACVR2A_BMPR1A,216.0,243.0,21.0,116.0,103.0,19.0,cellchatdb
BMP6 to ACVR2A_BMPR1B,,,,136.0,131.0,11.0,cellchatdb
BMP6 to BMPR1A_BMPR2,209.5,232.0,22.0,118.0,108.0,19.0,cellchatdb
BMP6 to BMPR1B_BMPR2,222.0,255.0,13.0,130.0,121.0,12.0,cellchatdb
BMP7 to ACVR1_ACVR2A,218.0,246.0,17.0,147.0,157.0,15.0,cellchatdb
BMP7 to ACVR1_BMPR2,221.0,250.0,17.0,148.0,158.0,15.0,cellchatdb
BMP7 to ACVR2A_BMPR1A,184.5,194.0,18.0,143.5,148.0,16.0,cellchatdb
BMP7 to ACVR2A_BMPR1B,203.0,221.0,13.0,153.5,173.0,12.0,cellchatdb
BMP7 to BMPR1A_BMPR2,184.5,193.0,18.0,145.0,152.0,16.0,cellchatdb
BMP7 to BMPR1B_BMPR2,206.0,226.0,14.0,152.0,165.0,13.0,cellchatdb
BTC to EGFR,201.5,218.0,22.0,145.0,153.0,19.0,cellchatdb
BTC to ERBB4,215.0,241.0,19.0,149.0,161.0,17.0,cellchatdb
C5 to C5AR1,220.5,248.0,18.0,140.0,139.0,16.0,cellchatdb
CD46 to JAG1,78.5,65.0,26.0,74.5,55.0,22.0,cellchatdb
CD6 to ALCAM,223.0,256.0,17.0,149.0,162.0,15.0,cellchatdb
CD99 to CD99L2,192.0,201.0,22.0,134.0,127.0,19.0,cellchatdb
CDH1 to ITGA2_ITGB1,176.0,178.0,21.0,85.0,71.0,18.0,cellchatdb
CNTN1 to NRCAM,,,,159.0,182.0,11.0,cellchatdb
COL1A1 to CD44,15.0,11.0,24.0,15.0,12.0,19.0,cellchatdb
COL1A1 to ITGA11_ITGB1,170.0,170.0,19.0,140.0,140.0,15.0,cellchatdb
COL1A1 to ITGA1_ITGB1,62.5,51.0,24.0,54.0,45.0,19.0,cellchatdb
COL1A1 to ITGA2_ITGB1,230.5,263.0,20.0,113.5,97.0,16.0,cellchatdb
COL1A1 to ITGA9_ITGB1,105.0,86.0,24.0,99.0,78.0,19.0,cellchatdb
COL1A1 to ITGAV_ITGB8,210.0,234.0,23.0,108.0,87.0,18.0,cellchatdb
COL1A1 to SDC4,208.0,230.0,22.0,120.0,110.0,17.0,cellchatdb
COL1A2 to CD44,14.0,10.0,19.0,74.0,54.0,13.0,cellchatdb
COL1A2 to ITGA11_ITGB1,193.0,203.0,15.0,,,,cellchatdb
COL1A2 to ITGA1_ITGB1,46.0,34.0,19.0,114.0,98.0,13.0,cellchatdb
COL1A2 to ITGA2_ITGB1,266.0,288.0,17.0,156.0,177.0,12.0,cellchatdb
COL1A2 to ITGA9_ITGB1,106.0,88.0,19.0,159.0,183.0,13.0,cellchatdb
COL1A2 to ITGAV_ITGB8,228.0,261.0,19.0,160.0,184.0,13.0,cellchatdb
COL1A2 to SDC4,202.0,219.0,19.0,160.0,185.0,13.0,cellchatdb
COL4A1 to CD44,9.0,4.0,25.0,41.0,37.0,18.0,cellchatdb
COL4A1 to ITGA11_ITGB1,121.5,101.0,20.0,170.5,198.0,14.0,cellchatdb
COL4A1 to ITGA1_ITGB1,47.0,35.0,25.0,100.0,79.0,18.0,cellchatdb
COL4A1 to ITGA2_ITGB1,161.0,156.0,20.0,141.5,143.0,14.0,cellchatdb
COL4A1 to ITGA9_ITGB1,69.0,59.0,25.0,108.0,88.0,18.0,cellchatdb
COL4A1 to ITGAV_ITGB8,137.0,121.0,23.0,135.5,130.0,16.0,cellchatdb
COL4A1 to SDC4,166.0,164.0,22.0,152.0,166.0,15.0,cellchatdb
COL4A2 to CD44,3.0,1.0,25.0,17.0,15.0,18.0,cellchatdb
COL4A2 to ITGA11_ITGB1,119.0,98.0,20.0,173.5,202.0,14.0,cellchatdb
COL4A2 to ITGA1_ITGB1,23.0,20.0,25.0,62.0,49.0,18.0,cellchatdb
COL4A2 to ITGA2_ITGB1,160.5,155.0,20.0,139.5,138.0,14.0,cellchatdb
COL4A2 to ITGA9_ITGB1,61.0,48.0,25.0,107.0,86.0,18.0,cellchatdb
COL4A2 to ITGAV_ITGB8,136.0,119.0,23.0,132.5,123.0,16.0,cellchatdb
COL4A2 to SDC4,149.5,134.0,22.0,146.0,155.0,15.0,cellchatdb
COL4A3 to CD44,22.0,19.0,25.0,27.0,22.0,21.0,cellchatdb
COL4A3 to ITGA11_ITGB1,166.5,165.0,20.0,148.0,159.0,17.0,cellchatdb
COL4A3 to ITGA1_ITGB1,93.0,75.0,25.0,80.0,64.0,21.0,cellchatdb
COL4A3 to ITGA2_ITGB1,240.0,275.0,20.0,133.0,124.0,17.0,cellchatdb
COL4A3 to ITGA9_ITGB1,122.0,102.0,25.0,111.0,92.0,21.0,cellchatdb
COL4A3 to ITGAV_ITGB8,150.0,135.0,23.0,122.0,115.0,19.0,cellchatdb
COL4A3 to SDC4,195.0,207.0,22.0,137.5,134.0,18.0,cellchatdb
COL4A4 to CD44,28.0,28.0,23.0,19.0,17.0,19.0,cellchatdb
COL4A4 to ITGA11_ITGB1,145.0,128.0,19.0,152.5,170.0,16.0,cellchatdb
