cohort,compartment,label,direction,ligand,pearson,status,rank,ranked_ligands
GSE136831,AT2,ATII,up,IL1A,,target_ineligible,,0
GSE136831,AT2,ATII,up,IL1B,,target_ineligible,,0
GSE136831,AT2,ATII,up,AREG,,target_ineligible,,0
GSE136831,AT2,ATII,up,HBEGF,,target_ineligible,,0
GSE136831,AT2,ATII,up,TGFB1,,target_ineligible,,0
GSE136831,AT2,ATII,down,IL1A,,target_ineligible,,0
GSE136831,AT2,ATII,down,IL1B,,target_ineligible,,0
GSE136831,AT2,ATII,down,AREG,,target_ineligible,,0
GSE136831,AT2,ATII,down,HBEGF,,target_ineligible,,0
GSE136831,AT2,ATII,down,TGFB1,,target_ineligible,,0
GSE136831,fibroblasts,__broad__,up,IL1A,-0.0004127490598156,eligible,8.0,8
GSE136831,fibroblasts,__broad__,up,IL1B,0.0241235067678232,eligible,7.0,8
GSE136831,fibroblasts,__broad__,up,AREG,0.0312662894577672,eligible,6.0,8
GSE136831,fibroblasts,__broad__,up,HBEGF,0.0531935942912398,eligible,2.0,8
GSE136831,fibroblasts,__broad__,up,TGFB1,0.0858643618094932,eligible,1.0,8
GSE136831,fibroblasts,__broad__,down,IL1A,0.0934494364428008,eligible,2.0,8
GSE136831,fibroblasts,__broad__,down,IL1B,0.0962570993307141,eligible,1.0,8
GSE136831,fibroblasts,__broad__,down,AREG,0.0412042085689653,eligible,7.0,8
GSE136831,fibroblasts,__broad__,down,HBEGF,0.0348836504628597,eligible,8.0,8
GSE136831,fibroblasts,__broad__,down,TGFB1,0.0918283382643291,eligible,3.0,8
GSE136831,macrophages,__broad__,up,IL1A,,source_receiver_expression_ineligible,,0
GSE136831,macrophages,__broad__,up,IL1B,,source_receiver_expression_ineligible,,0
GSE136831,macrophages,__broad__,up,AREG,,source_receiver_expression_ineligible,,0
GSE136831,macrophages,__broad__,up,HBEGF,0.009808151109614,eligible,6.0,7
GSE136831,macrophages,__broad__,up,TGFB1,0.0266444008083989,eligible,4.0,7
GSE136831,macrophages,__broad__,down,IL1A,,source_receiver_expression_ineligible,,0
GSE136831,macrophages,__broad__,down,IL1B,,source_receiver_expression_ineligible,,0
GSE136831,macrophages,__broad__,down,AREG,,source_receiver_expression_ineligible,,0
GSE136831,macrophages,__broad__,down,HBEGF,0.020783582436888,eligible,1.0,7
GSE136831,macrophages,__broad__,down,TGFB1,-0.0347729999610104,eligible,7.0,7
GSE135893,AT2,AT2,up,IL1A,,source_receiver_expression_ineligible,,0
GSE135893,AT2,AT2,up,IL1B,,source_receiver_expression_ineligible,,0
GSE135893,AT2,AT2,up,AREG,0.0586034343479417,eligible,2.0,4
GSE135893,AT2,AT2,up,HBEGF,0.0254231253141076,eligible,4.0,4
GSE135893,AT2,AT2,up,TGFB1,,source_receiver_expression_ineligible,,0
GSE135893,AT2,AT2,down,IL1A,,source_receiver_expression_ineligible,,0
GSE135893,AT2,AT2,down,IL1B,,source_receiver_expression_ineligible,,0
GSE135893,AT2,AT2,down,AREG,0.0025882380772254,eligible,1.0,4
GSE135893,AT2,AT2,down,HBEGF,-0.0162604971144913,eligible,4.0,4
GSE135893,AT2,AT2,down,TGFB1,,source_receiver_expression_ineligible,,0
GSE135893,fibroblasts,__broad__,up,IL1A,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,up,IL1B,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,up,AREG,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,up,HBEGF,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,up,TGFB1,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,down,IL1A,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,down,IL1B,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,down,AREG,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,down,HBEGF,,target_ineligible,,0
GSE135893,fibroblasts,__broad__,down,TGFB1,,target_ineligible,,0
GSE135893,macrophages,__broad__,up,IL1A,,source_receiver_expression_ineligible,,0
GSE135893,macrophages,__broad__,up,IL1B,,source_receiver_expression_ineligible,,0
GSE135893,macrophages,__broad__,up,AREG,,source_receiver_expression_ineligible,,0
GSE135893,macrophages,__broad__,up,HBEGF,,source_receiver_expression_ineligible,,0
GSE135893,macrophages,__broad__,up,TGFB1,0.133424269893204,eligible,1.0,5
GSE135893,macrophages,__broad__,down,IL1A,,source_receiver_expression_ineligible,,0
GSE135893,macrophages,__broad__,down,IL1B,,source_receiver_expression_ineligible,,0
GSE135893,macrophages,__broad__,down,AREG,,source_receiver_expression_ineligible,,0
GSE135893,macrophages,__broad__,down,HBEGF,,source_receiver_expression_ineligible,,0
GSE135893,macrophages,__broad__,down,TGFB1,0.0142334188823346,eligible,1.0,5
